,nu1,nu2,nu3
e,0.9946481970780715,9.602684687874356e-16,0.1033197176212824
mu,9.264233909176247e-16,0.9999999999999999,7.597403845644602e-16
tau,0.1033197176212822,7.019530245302043e-16,0.9946481970780717
