,nu1,nu2,nu3
e,0.9106353584015316,0.38623340571085557,0.14685707453816488
mu,0.39720376575379385,0.9161717673321209,0.05346457906449238
tau,0.11389649906787895,0.10701891915232552,0.9877117689101148
