kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,0.0,0.42,0.16,0.28,0.015,0.23,12,11.088,0.42,0.42,0.42,0.42,0.42,0.42,2.3392981066248556e-10,0.9999999999815584,4274786514.672997,4274786514.59416,4274786514.751831,1.8273799746030096e+19,19.261828861373022
0.42,0.25,0.42,0.16,0.28,0.015,0.23,12,10.611608108205015,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,6.065607568360117e-10,0.9999999999362523,1648639462.2960389,1648639462.1909406,1648639462.4011357,2.71801207663977e+18,18.434251382052974
0.42,0.5,0.42,0.16,0.28,0.015,0.23,12,10.183628768170756,0.17146428199482247,0.2424871130596428,0.29698484809834996,0.34292856398964494,0.38340579025361626,0.42,1.4276193983192353e-09,1.0000000000082423,700466805.9129202,700466805.9186939,700466805.9071468,4.9065374618584877e+17,17.690775119071077
0.42,0.75,0.42,0.16,0.28,0.015,0.23,12,9.798132254069397,0.10955592060513011,0.18425036181334892,0.24973349415057142,0.30987093751609,0.36632229878723693,0.42,3.0863875483711306e-09,1.0000000000109461,324003380.75746804,324003380.7610147,324003380.75392145,1.0497819074226885e+17,17.02109908360244
0.42,1.0,0.42,0.16,0.28,0.015,0.23,12,9.45,0.06999999999999999,0.13999999999999999,0.21,0.27999999999999997,0.35,0.42,6.192047682664041e-09,0.9999999999751709,161497464.36864716,161497464.3646373,161497464.372657,2.6081430997502456e+16,16.416331415942917
0.42,0.0,0.42,0.16,0.28,0.015,0.23,10,9.239999999999998,0.42,0.42,0.42,0.42,0.42,0.42,9.424058523572137e-09,1.0000000000024494,106111395.371615,106111395.37187476,106111395.37135509,1.1259628227711182e+16,16.051524051144185
0.42,1.25,0.42,0.16,0.28,0.015,0.23,12,9.134806572250971,0.044726017297239073,0.10637699599122294,0.17658824720328004,0.2530085610107565,0.33440497727152835,0.42,1.1630752786740747e-08,0.9999999999831779,85978957.53919013,85978957.53774379,85978957.54063648,7392381139525859.0,15.868784350328621
0.42,1.5,0.42,0.16,0.28,0.015,0.23,12,8.848719433537532,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,2.0611042376469523e-08,0.9999999999967888,48517682.0140666,48517682.01391081,48517682.0142224,2353965468018082.0,15.371800087581674
0.42,0.25,0.42,0.16,0.28,0.015,0.23,10,8.843006756837513,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,2.084788122696606e-08,1.0000000000035592,47966505.04256201,47966505.04273266,47966505.042391285,2300785605998123.5,15.361876151710812
0.42,1.75,0.42,0.16,0.28,0.015,0.23,12,8.588413760142778,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,3.4689544026508077e-08,0.9999999999940942,28827130.13569298,28827130.13552275,28827130.13586323,831003431860178.9,14.919602817327867
