sigma,phase_strength,circulation_sign,theta12,theta23,theta13,score
2.49873417721519,1.0274391068343978,-1,0.5520802598259692,0.6747602202436045,0.20735683869679175,0.08467687827915638
2.49873417721519,1.0274391068343978,1,0.5520802598259692,0.6747602202436045,0.20735683869679175,0.08467687827915638
1.4405063291139242,1.0274391068343978,-1,0.5524743728240148,0.6747602202436046,0.20735683869679186,0.08507099127720197
1.4405063291139242,1.0274391068343978,1,0.5524743728240148,0.6747602202436046,0.20735683869679186,0.08507099127720197
2.888607594936709,1.0669559955587977,-1,0.5516448246851536,0.6882411321669533,0.22220478387775866,0.08560847639595895
2.888607594936709,1.0669559955587977,1,0.5516448246851536,0.6882411321669533,0.22220478387775866,0.08560847639595895
1.2455696202531645,0.948405329385598,1,0.551324096627507,0.6452579349877731,0.18003317170718364,0.08609933334691752
1.2455696202531645,0.948405329385598,-1,0.551324096627507,0.6452579349877731,0.18003317170718364,0.08609933334691752
1.2177215189873418,0.9681637737477979,-1,0.5470395780395165,0.6529400310427445,0.18654118498826355,0.08656157590600258
1.2177215189873418,0.9681637737477979,1,0.5470395780395165,0.6529400310427445,0.18654118498826355,0.08656157590600258
1.9139240506329116,1.0669559955587977,-1,0.5472183336819983,0.6882411321669534,0.22220478387775855,0.08674531802880683
1.9139240506329116,1.0669559955587977,1,0.5472183336819983,0.6882411321669534,0.22220478387775855,0.08674531802880683
1.4126582278481012,1.0274391068343978,1,0.5455613703526982,0.6747602202436047,0.20735683869679175,0.0870352481004888
1.4126582278481012,1.0274391068343978,-1,0.5455613703526982,0.6747602202436047,0.20735683869679175,0.0870352481004888
1.579746835443038,0.948405329385598,1,0.5469890708072694,0.6452579349877731,0.18003317170718353,0.08778616591214103
1.579746835443038,0.948405329385598,-1,0.5469890708072694,0.6452579349877731,0.18003317170718353,0.08778616591214103
1.5518987341772155,1.0669559955587977,-1,0.5457615658788053,0.6882411321669534,0.22220478387775866,0.08820208583199998
1.5518987341772155,1.0669559955587977,1,0.5457615658788053,0.6882411321669534,0.22220478387775866,0.08820208583199998
2.6936708860759495,1.0669559955587977,-1,0.5452422720354385,0.6882411321669533,0.22220478387775874,0.08872137967536697
2.6936708860759495,1.0669559955587977,1,0.5452422720354385,0.6882411321669533,0.22220478387775874,0.08872137967536697
0.8,1.0867144399209976,1,0.5543460447286692,0.6946496018535495,0.2298906146124727,0.08958705748759233
0.8,1.0867144399209976,-1,0.5543460447286692,0.6946496018535495,0.2298906146124727,0.08958705748759233
2.2759493670886077,0.9681637737477979,-1,0.5564627377934002,0.6529400310427445,0.18654118498826358,0.09006389173891921
2.2759493670886077,0.9681637737477979,1,0.5564627377934002,0.6529400310427445,0.18654118498826358,0.09006389173891921
0.9113924050632912,1.1064728842831977,-1,0.5484482503002406,0.7008317449548691,0.23773892422648907,0.09012241888111769
0.9113924050632912,1.1064728842831977,1,0.5484482503002406,0.7008317449548691,0.23773892422648907,0.09012241888111769
0.8278481012658229,0.948405329385598,1,0.5444117297677361,0.645257934987773,0.18003317170718366,0.09036350695167461
0.8278481012658229,0.948405329385598,-1,0.5444117297677361,0.645257934987773,0.18003317170718366,0.09036350695167461
1.3569620253164558,0.908888440661198,-1,0.5521656878617248,0.6293096557938481,0.16773119528059366,0.09058722734847027
1.3569620253164558,0.908888440661198,1,0.5521656878617248,0.6293096557938481,0.16773119528059366,0.09058722734847027
0.8,0.948405329385598,-1,0.5560311777038865,0.645257934987773,0.1800331717071836,0.09080641442329712
0.8,0.948405329385598,1,0.5560311777038865,0.645257934987773,0.1800331717071836,0.09080641442329712
2.972151898734177,0.9879222181099979,-1,0.5417392437312916,0.6604208530967124,0.19327178684811494,0.09111169002011099
2.972151898734177,0.9879222181099979,1,0.5417392437312916,0.6604208530967124,0.19327178684811494,0.09111169002011099
2.7493670886075954,1.007680662472198,1,0.558861977222722,0.667695736180713,0.20021389179141183,0.09138013283342078
2.7493670886075954,1.007680662472198,-1,0.558861977222722,0.667695736180713,0.20021389179141183,0.09138013283342078
2.972151898734177,1.0867144399209976,-1,0.543570075683759,0.6946496018535495,0.22989061461247265,0.0916709370751641
2.972151898734177,1.0867144399209976,1,0.543570075683759,0.6946496018535495,0.22989061461247265,0.0916709370751641
1.6354430379746838,0.8891299962989981,1,0.5509552679277233,0.6210539063670565,0.1619611761650727,0.09186253772573943
1.6354430379746838,0.8891299962989981,-1,0.5509552679277233,0.6210539063670565,0.1619611761650727,0.09186253772573943
0.8835443037974684,1.0867144399209976,1,0.5570670230371585,0.6946496018535494,0.22989061461247268,0.09230803579608168
0.8835443037974684,1.0867144399209976,-1,0.5570670230371585,0.6946496018535494,0.22989061461247268,0.09230803579608168
2.415189873417722,1.007680662472198,1,0.5390237511417999,0.6676957361807131,0.20021389179141189,0.0934944044688989
2.415189873417722,1.007680662472198,-1,0.5390237511417999,0.6676957361807131,0.20021389179141189,0.0934944044688989
1.7189873417721522,1.007680662472198,-1,0.5615302675264336,0.6676957361807131,0.20021389179141177,0.09404842313713224
1.7189873417721522,1.007680662472198,1,0.5615302675264336,0.6676957361807131,0.20021389179141177,0.09404842313713224
1.6632911392405063,0.8891299962989981,-1,0.5463047908344942,0.6210539063670565,0.16196117616507258,0.09460247896352186
1.6632911392405063,0.8891299962989981,1,0.5463047908344942,0.6210539063670565,0.16196117616507258,0.09460247896352186
2.610126582278481,0.8891299962989981,1,0.5462886629873521,0.6210539063670564,0.16196117616507263,0.09461860681066414
2.610126582278481,0.8891299962989981,-1,0.5462886629873521,0.6210539063670564,0.16196117616507263,0.09461860681066414
2.387341772151899,1.0471975511965979,-1,0.5383616414598679,0.6816100427692559,0.21469040086746924,0.09471871663834552
2.387341772151899,1.0471975511965979,1,0.5383616414598679,0.6816100427692559,0.21469040086746924,0.09471871663834552
2.6936708860759495,1.007680662472198,-1,0.5625575185291325,0.6676957361807131,0.2002138917914119,0.09507567413983123
2.6936708860759495,1.007680662472198,1,0.5625575185291325,0.6676957361807131,0.2002138917914119,0.09507567413983123
3.0,0.9681637737477979,1,0.5615240683192985,0.6529400310427445,0.1865411849882636,0.09512522226481754
3.0,0.9681637737477979,-1,0.5615240683192985,0.6529400310427445,0.1865411849882636,0.09512522226481754
2.8050632911392404,1.0669559955587977,-1,0.5388045852823444,0.6882411321669533,0.22220478387775858,0.09515906642846089
2.8050632911392404,1.0669559955587977,1,0.5388045852823444,0.6882411321669533,0.22220478387775858,0.09515906642846089
2.7493670886075954,0.8693715519367982,1,0.5519358102944939,0.612617772177797,0.15646145252790306,0.09577949064459987
2.7493670886075954,0.8693715519367982,-1,0.5519358102944939,0.612617772177797,0.15646145252790306,0.09577949064459987
1.1063291139240508,1.0867144399209976,-1,0.5392987100681588,0.6946496018535495,0.2298906146124727,0.09594230269076442
1.1063291139240508,1.0867144399209976,1,0.5392987100681588,0.6946496018535495,0.2298906146124727,0.09594230269076442
1.8860759493670887,0.948405329385598,-1,0.5612457911553094,0.6452579349877728,0.18003317170718355,0.09602102787472
1.8860759493670887,0.948405329385598,1,0.5612457911553094,0.6452579349877728,0.18003317170718355,0.09602102787472
1.0506329113924051,1.0669559955587977,1,0.5374604789411423,0.6882411321669533,0.22220478387775877,0.09650317276966316
1.0506329113924051,1.0669559955587977,-1,0.5374604789411423,0.6882411321669533,0.22220478387775877,0.09650317276966316
1.0506329113924051,1.0867144399209976,-1,0.5381991130114695,0.6946496018535495,0.22989061461247276,0.09704189974745375
1.0506329113924051,1.0867144399209976,1,0.5381991130114695,0.6946496018535495,0.22989061461247276,0.09704189974745375
2.777215189873418,1.0669559955587977,1,0.5630839099909641,0.6882411321669533,0.22220478387775874,0.09704756170176954
2.777215189873418,1.0669559955587977,-1,0.5630839099909641,0.6882411321669533,0.22220478387775874,0.09704756170176954
1.4126582278481012,0.928646885023398,1,0.5607666472172633,0.6373794430662633,0.17375923049611566,0.09714643464711564
1.4126582278481012,0.928646885023398,-1,0.5607666472172633,0.6373794430662633,0.17375923049611566,0.09714643464711564
1.0784810126582278,0.8891299962989981,1,0.5436992290601586,0.6210539063670565,0.16196117616507255,0.09720804073785752
1.0784810126582278,0.8891299962989981,-1,0.5436992290601586,0.6210539063670565,0.16196117616507255,0.09720804073785752
1.7189873417721522,0.8891299962989981,-1,0.543373458738004,0.6210539063670565,0.16196117616507258,0.09753381106001208
1.7189873417721522,0.8891299962989981,1,0.543373458738004,0.6210539063670565,0.16196117616507258,0.09753381106001208
1.6075949367088609,0.9681637737477979,-1,0.5657344717155772,0.6529400310427445,0.18654118498826358,0.09933562566109627
1.6075949367088609,0.9681637737477979,1,0.5657344717155772,0.6529400310427445,0.18654118498826358,0.09933562566109627
2.8329113924050633,1.007680662472198,-1,0.5671394495635876,0.6676957361807129,0.20021389179141189,0.09965760517428657
2.8329113924050633,1.007680662472198,1,0.5671394495635876,0.6676957361807129,0.20021389179141189,0.09965760517428657
2.5822784810126587,1.0867144399209976,-1,0.5649472618626831,0.6946496018535493,0.22989061461247265,0.10018827462160634
2.5822784810126587,1.0867144399209976,1,0.5649472618626831,0.6946496018535493,0.22989061461247265,0.10018827462160634
1.4405063291139242,1.0867144399209976,1,0.5656699652388537,0.6946496018535494,0.22989061461247273,0.10091097799777696
1.4405063291139242,1.0867144399209976,-1,0.5656699652388537,0.6946496018535494,0.22989061461247273,0.10091097799777696
2.2202531645569623,0.9879222181099979,-1,0.5687411997568187,0.6604208530967125,0.19327178684811502,0.10159213350822113
2.2202531645569623,0.9879222181099979,1,0.5687411997568187,0.6604208530967125,0.19327178684811502,0.10159213350822113
2.387341772151899,1.007680662472198,-1,0.569339716430159,0.6676957361807128,0.20021389179141194,0.10185787204085811
2.387341772151899,1.007680662472198,1,0.569339716430159,0.6676957361807128,0.20021389179141194,0.10185787204085811
1.2455696202531645,0.8496131075745982,-1,0.5448707606688037,0.6040070876897736,0.1512443274535795,0.10236647909500218
1.2455696202531645,0.8496131075745982,1,0.5448707606688037,0.6040070876897736,0.1512443274535795,0.10236647909500218
1.7468354430379747,0.948405329385598,1,0.5323402224935379,0.645257934987773,0.18003317170718355,0.10243501422587276
1.7468354430379747,0.948405329385598,-1,0.5323402224935379,0.645257934987773,0.18003317170718355,0.10243501422587276
1.9417721518987343,0.8693715519367982,1,0.5413673352585694,0.612617772177797,0.15646145252790303,0.10247634509153664
1.9417721518987343,0.8693715519367982,-1,0.5413673352585694,0.612617772177797,0.15646145252790303,0.10247634509153664
0.9949367088607596,0.9681637737477979,1,0.530923051444719,0.6529400310427443,0.1865411849882636,0.10267810250080031
