N_gen,condition_mean,stable_rank_mean,surviving_modes_mean,nonorth_mean,p3_gap_mean,tau_relative,gamma_relative,virtual_state
3,6.115581312628585,1.9570187938363577,2.75,0.6462398792209023,,1.0,1.0,False
4,15.067367978889203,2.4991129110735026,3.75,0.8252164563889439,4.996597903561473,1.321358658934301e-07,7567967.9641749775,False
5,37.710625121365645,3.096501754978343,4.25,0.9753577604040353,2.4959496949419724,1.3247118161861294e-14,75488116568554.44,False
6,45.64717092925575,3.689543513240729,5.25,1.1128381741040194,1.5723319348418836,4.623700789167312e-16,2162769706774411.0,False
7,58.791240548962215,4.244185080822324,6.038467261904762,1.2324728152238804,1.2153537759451563,5.4258639380460034e-18,1.8430244683948458e+17,True
8,75.44146389909857,4.772840030007428,6.75,1.3456892252091708,1.0862425912176523,6.793235109341482e-20,1.472052687569851e+19,True
