N_gen,winding,asym,score,unitarity_defect,condition_number,rank_eff,mixing_entropy,J_like,absJ_like,min_singular,max_singular,singular_values
4,12,0.14,1.928518833952413,0.49676934733879624,1.4307389396999084,4,1.4791867042203515,8.673617379884035e-19,8.673617379884035e-19,0.8066952203373915,1.1541702642065035,"1.154170e+00,1.056222e+00,9.829120e-01,8.066952e-01"
5,11,0.2,1.918517944425517,0.8373644553760543,1.6207947203001962,5,1.796747845662309,8.673617379884035e-19,8.673617379884035e-19,0.7544317150253448,1.222778940540101,"1.222779e+00,1.186019e+00,1.013862e+00,8.229079e-01,7.544317e-01"
5,-11,0.2,1.918517944425517,0.8373644553760543,1.6207947203001962,5,1.796747845662309,-8.673617379884035e-19,8.673617379884035e-19,0.7544317150253448,1.222778940540101,"1.222779e+00,1.186019e+00,1.013862e+00,8.229079e-01,7.544317e-01"
4,11,0.10999999999999999,1.9155273421415573,0.5146677206871261,1.3913919528362397,4,1.485054269503126,2.168404344971009e-19,2.168404344971009e-19,0.8245805907532757,1.1473147984390606,"1.147315e+00,1.099343e+00,9.287615e-01,8.245806e-01"
4,-11,0.10999999999999999,1.9155273421415573,0.5146677206871261,1.3913919528362397,4,1.485054269503126,-2.168404344971009e-19,2.168404344971009e-19,0.8245805907532757,1.1473147984390606,"1.147315e+00,1.099343e+00,9.287615e-01,8.245806e-01"
4,11,-0.07,1.9128366774321555,0.5067235495187757,1.44269451761589,4,1.4864797699635073,0.0,0.0,0.7949928960245345,1.1469318926381753,"1.146932e+00,1.070399e+00,9.876760e-01,7.949929e-01"
4,-11,-0.07,1.9128366774321555,0.5067235495187757,1.44269451761589,4,1.4864797699635073,0.0,0.0,0.7949928960245345,1.1469318926381753,"1.146932e+00,1.070399e+00,9.876760e-01,7.949929e-01"
5,11,-0.16,1.9121143420182785,0.8077358585108121,1.7958193602653547,5,1.8013944504551933,0.0,0.0,0.6845738283158295,1.2293709344205377,"1.229371e+00,1.143811e+00,1.002230e+00,9.400147e-01,6.845738e-01"
5,-11,-0.16,1.9121143420182785,0.8077358585108121,1.7958193602653547,5,1.8013944504551933,0.0,0.0,0.6845738283158295,1.2293709344205377,"1.229371e+00,1.143811e+00,1.002230e+00,9.400147e-01,6.845738e-01"
4,-12,0.15000000000000002,1.8997810699929443,0.5153702959145712,1.4515072331937007,4,1.4856621946664355,4.336808689942018e-18,4.336808689942018e-18,0.7979039902826568,1.1581634132893925,"1.158163e+00,1.061177e+00,9.827559e-01,7.979040e-01"
4,12,0.15000000000000002,1.8997810699929443,0.5153702959145712,1.4515072331937007,4,1.4856621946664355,-4.336808689942018e-18,4.336808689942018e-18,0.7979039902826568,1.1581634132893925,"1.158163e+00,1.061177e+00,9.827559e-01,7.979040e-01"
4,-11,0.12,1.8982477853804254,0.5274406552547819,1.3964414875055333,4,1.4887617183034474,2.710505431213761e-19,2.710505431213761e-19,0.8250587401652555,1.1521462543958108,"1.152146e+00,1.101949e+00,9.208462e-01,8.250587e-01"
4,11,0.12,1.8982477853804254,0.5274406552547819,1.3964414875055333,4,1.4887617183034474,-2.710505431213761e-19,2.710505431213761e-19,0.8250587401652555,1.1521462543958108,"1.152146e+00,1.101949e+00,9.208462e-01,8.250587e-01"
4,-11,-0.08000000000000002,1.8941136250820978,0.5190801315837079,1.455767125979603,4,1.4902775427987582,0.0,0.0,0.7926780118015101,1.1539545910675102,"1.153955e+00,1.069004e+00,9.843635e-01,7.926780e-01"
4,11,-0.08000000000000002,1.8941136250820978,0.5190801315837079,1.455767125979603,4,1.4902775427987582,0.0,0.0,0.7926780118015101,1.1539545910675102,"1.153955e+00,1.069004e+00,9.843635e-01,7.926780e-01"
5,-11,-0.17,1.885952481187273,0.8287008600791163,1.816836174988996,5,1.8076584469050396,0.0,0.0,0.6821300405355981,1.239318533691785,"1.239319e+00,1.145798e+00,9.975898e-01,9.351637e-01,6.821300e-01"
5,11,-0.17,1.885952481187273,0.8287008600791163,1.816836174988996,5,1.8076584469050396,0.0,0.0,0.6821300405355981,1.239318533691785,"1.239319e+00,1.145798e+00,9.975898e-01,9.351637e-01,6.821300e-01"
4,-11,0.13,1.8799843711786421,0.5411268943888146,1.4021402460738415,4,1.4927962633647152,5.421010862427522e-20,5.421010862427522e-20,0.8252678488009675,1.1571412645946184,"1.157141e+00,1.104618e+00,9.129729e-01,8.252678e-01"
4,11,0.13,1.8799843711786421,0.5411268943888146,1.4021402460738415,4,1.4927962633647152,-5.421010862427522e-20,5.421010862427522e-20,0.8252678488009675,1.1571412645946184,"1.157141e+00,1.104618e+00,9.129729e-01,8.252678e-01"
4,11,-0.09000000000000001,1.8743162866308332,0.5324635410031986,1.469459054286126,4,1.4943691413435505,0.0,0.0,0.790315585159734,1.161336392356409,"1.161336e+00,1.067611e+00,9.807369e-01,7.903156e-01"
4,-11,-0.09000000000000001,1.8743162866308332,0.5324635410031986,1.469459054286126,4,1.4943691413435505,0.0,0.0,0.790315585159734,1.161336392356409,"1.161336e+00,1.067611e+00,9.807369e-01,7.903156e-01"
4,-12,0.15999999999999998,1.8712560610321216,0.5342746232908131,1.4730490665285698,4,1.492382309004072,0.0,0.0,0.7889991634374363,1.162234481193338,"1.162234e+00,1.066201e+00,9.825650e-01,7.889992e-01"
4,12,0.15999999999999998,1.8712560610321216,0.5342746232908131,1.4730490665285698,4,1.492382309004072,0.0,0.0,0.7889991634374363,1.162234481193338,"1.162234e+00,1.066201e+00,9.825650e-01,7.889992e-01"
4,-11,0.14,1.8608636304715842,0.5556520206720044,1.4085805561534017,4,1.4971456895032447,0.0,0.0,0.8251426116912396,1.1622798388819167,"1.162280e+00,1.107345e+00,9.052325e-01,8.251426e-01"
