scale,i13,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.008,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.89284275197234,47.42780344007925,8.454993667334582,-0.03151116159601094,0.03151116159601094,3.82363906381468e-16,0.0,3.6042106673227416
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.006,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.89284275197233,47.42780344007924,8.454993667334582,-0.03151116159601092,0.03151116159601092,2.813890453422454e-16,0.0,3.604210667322744
2.2,-0.45,0.077,0.177,0.1,-0.006,-0.018000000000000002,-0.012,-0.024,0.061000000000000006,0.085,34.77393544328263,47.26491910634553,8.63092760650179,-0.030403993936223055,0.030403993936223055,3.655145106045465e-16,0.0,3.6260261992782086
2.2,-0.45,0.077,0.177,0.1,-0.004,-0.016,-0.012,-0.024,0.061000000000000006,0.085,34.773935443282646,47.264919106345516,8.63092760650179,-0.030403993936223065,0.030403993936223065,3.602298551399734e-16,0.0,3.626026199278269
2.2,-0.45,0.077,0.177,0.1,-0.002,-0.014,-0.012,-0.024,0.061000000000000006,0.085,34.773935443282646,47.264919106345516,8.63092760650179,-0.03040399393622306,0.03040399393622306,4.950516034274051e-16,0.0,3.6260261992782694
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.014,-0.008,-0.024,0.061000000000000006,0.085,35.08809740531024,47.875078992704296,8.678772732123951,-0.03296627631434049,0.03296627631434049,2.6878979086192102e-16,0.0,3.6287123421538294
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.012,-0.008,-0.024,0.061000000000000006,0.085,35.08809740531025,47.8750789927043,8.678772732123953,-0.03296627631434048,0.03296627631434048,4.127202092842894e-16,0.0,3.6287123421538454
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.01,-0.008,-0.024,0.061000000000000006,0.085,35.08809740531024,47.875078992704275,8.678772732123951,-0.032966276314340466,0.032966276314340466,5.698348783846843e-16,0.0,3.628712342153852
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.016,-0.01,-0.024,0.061000000000000006,0.085,35.05997267460305,47.87464942236319,8.726609456116629,-0.03308534884899795,0.03308534884899795,1.668293699715287e-16,0.0,3.631916845071164
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.014,-0.01,-0.024,0.061000000000000006,0.085,35.05997267460307,47.87464942236319,8.72660945611663,-0.033085348848997956,0.033085348848997956,5.631423317631128e-16,0.0,3.6319168450712147
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.012,-0.01,-0.024,0.061000000000000006,0.085,35.05997267460306,47.87464942236316,8.726609456116627,-0.033085348848997935,0.033085348848997935,4.577239116907683e-16,0.0,3.6319168450712156
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.012,-0.006,-0.024,0.061000000000000006,0.085,35.11565311198689,47.8740151065869,8.630878730079175,-0.03284512518740318,0.03284512518740318,4.653862524197144e-16,0.0,3.6570552061816324
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.01,-0.006,-0.024,0.061000000000000006,0.085,35.11565311198689,47.8740151065869,8.630878730079177,-0.032845125187403214,0.032845125187403214,3.7344531339667486e-16,0.0,3.6570552061816373
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.008,-0.006,-0.024,0.061000000000000006,0.085,35.1156531119869,47.87401510658692,8.630878730079177,-0.032845125187403235,0.032845125187403235,4.1955928891754187e-16,0.0,3.6570552061816706
2.2,-0.45,0.077,0.177,0.1,-0.002,-0.012,-0.01,-0.024,0.061000000000000006,0.085,34.793055819040376,47.27325398822841,8.590505866713652,-0.030312450690671407,0.030312450690671407,3.026980626040126e-16,0.0,3.661310451964195
2.2,-0.45,0.077,0.177,0.1,-0.006,-0.016,-0.01,-0.024,0.061000000000000006,0.085,34.793055819040376,47.273253988228404,8.590505866713652,-0.03031245069067141,0.03031245069067141,3.019839192730379e-16,0.0,3.6613104519642055
2.2,-0.45,0.077,0.177,0.1,-0.004,-0.014,-0.01,-0.024,0.061000000000000006,0.085,34.79305581904038,47.273253988228404,8.590505866713654,-0.030312450690671407,0.030312450690671407,3.89508197605485e-16,0.0,3.6613104519642263
2.5,-0.4,0.055,0.165,0.11,-0.006,-0.016,-0.01,-0.024,0.061000000000000006,0.085,34.781788521282074,47.18295115209859,8.491375769600987,-0.031485202776543514,0.031485202776543514,4.792965347979625e-16,0.0,3.6638120315753615
2.5,-0.4,0.055,0.165,0.11,-0.002,-0.012,-0.01,-0.024,0.061000000000000006,0.085,34.78178852128207,47.182951152098575,8.491375769600987,-0.03148520277654351,0.03148520277654351,3.9257210512992106e-16,0.0,3.6638120315753686
2.5,-0.4,0.055,0.165,0.11,-0.004,-0.014,-0.01,-0.024,0.061000000000000006,0.085,34.78178852128207,47.18295115209857,8.491375769600987,-0.031485202776543486,0.031485202776543486,5.76843242382838e-16,0.0,3.6638120315753824
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.016,-0.012,-0.024,0.061000000000000006,0.085,35.031280825873786,47.8727252043869,8.77438420343094,-0.033202302807652594,0.033202302807652594,5.907848578045352e-16,0.0,3.6665603420641224
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.014,-0.012,-0.024,0.061000000000000006,0.085,35.031280825873786,47.8727252043869,8.77438420343094,-0.0332023028076526,0.0332023028076526,2.899133497868663e-16,0.0,3.6665603420641237
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.018000000000000002,-0.012,-0.024,0.061000000000000006,0.085,35.031280825873786,47.872725204386896,8.774384203430937,-0.0332023028076526,0.0332023028076526,4.3417325094710396e-16,0.0,3.6665603420641273
2.8,-0.35,0.055,0.145,0.09,-0.002,-0.01,-0.008,-0.024,0.061000000000000006,0.085,34.45064980837672,48.130882448404996,7.988777218490813,-0.03132859348675883,0.03132859348675883,2.5706441511965795e-16,0.0,3.6689671992634074
2.8,-0.35,0.055,0.145,0.09,-0.004,-0.012,-0.008,-0.024,0.061000000000000006,0.085,34.45064980837673,48.130882448404996,7.988777218490815,-0.03132859348675884,0.03132859348675884,3.6289372361167357e-16,0.0,3.668967199263422
2.8,-0.35,0.055,0.145,0.09,-0.006,-0.014,-0.008,-0.024,0.061000000000000006,0.085,34.45064980837673,48.13088244840502,7.988777218490811,-0.03132859348675884,0.03132859348675884,3.227810989141183e-16,0.0,3.6689671992634274
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.008,-0.004,-0.024,0.0385,0.0625,34.44218185068354,46.98904577298077,8.359795750133435,-0.030116170396163752,0.030116170396163752,4.533440185889993e-16,0.0,3.6749167937612115
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.006,-0.004,-0.024,0.0385,0.0625,34.44218185068354,46.98904577298076,8.359795750133435,-0.030116170396163773,0.030116170396163773,3.8460036175232065e-16,0.0,3.6749167937612213
