N_gen,kappa_mean,tau_decoh_mean,tau_decoh_std,final_survival_mean
3,6.112087400763521,301.0,0.0,0.9925408229124233
4,15.03059308248011,299.29226190476186,9.051178819528872,0.9678307648918302
5,36.917228614732274,299.29047619047617,6.360572092577635,0.9367865394456002
6,44.50279358975991,301.0,0.0,0.9597599860766588
7,56.40219886634264,300.76726190476194,1.1960793033305575,0.9508526995001555
8,61.5078822633389,301.0,0.0,0.9655288126754344
