w_ckm,w_pmns,spread,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score_ckm,score_pmns,score
0.5,2.5,1.6,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.23400852408486109,0.5862595150027182,0.37247808755177675,-0.008658598943334947,0.002870043617315652,0.14178311906664604,0.6522100484641975,0.7939931675308436
0.5,2.5,1.5526315789473686,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2309655568314473,0.5813481914399659,0.370136457209303,-0.008658598943334947,0.0027534091847394053,0.14178311906664604,0.6578227089378899,0.799605828004536
0.25,2.5,1.6,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.23400852408486109,0.5862595150027182,0.37247808755177675,-0.007477649339246589,0.002870043617315652,0.14984895620546532,0.6522100484641975,0.8020590046696628
0.5,2.5,1.505263157894737,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.22777896963947425,0.5760104181172653,0.36761784417609267,-0.008658598943334947,0.002686687410009737,0.14178311906664604,0.6638284564193532,0.8056115754859992
0.0,2.5,1.6,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.23400852408486109,0.5862595150027182,0.37247808755177675,-0.006158559966820482,0.002870043617315652,0.15492659023205516,0.6522100484641975,0.8071366386962526
0.25,2.5,1.5526315789473686,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2309655568314473,0.5813481914399659,0.370136457209303,-0.007477649339246589,0.0027534091847394053,0.14984895620546532,0.6578227089378899,0.8076716651433552
0.5,2.5,1.4578947368421054,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.22447608713230643,0.5702352660296645,0.3649071711613792,-0.008658598943334947,0.002669553678828666,0.14178311906664604,0.6701958179994083,0.8119789370660544
0.0,2.5,1.5526315789473686,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2309655568314473,0.5813481914399659,0.370136457209303,-0.006158559966820482,0.0027534091847394053,0.15492659023205516,0.6578227089378899,0.812749299169945
0.25,2.5,1.505263157894737,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.22777896963947425,0.5760104181172653,0.36761784417609267,-0.007477649339246589,0.002686687410009737,0.14984895620546532,0.6638284564193532,0.8136774126248185
0.5,2.5,1.4105263157894736,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.22109383068633207,0.5640138213829549,0.3619882141595497,-0.008658598943334947,0.002699503030724493,0.14178311906664604,0.6768805620902628,0.8186636811569088
