p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.0,0.1,0.07874999999999999,4.863197238200476,0.8542768136084797,1.0,1.1705807579816938,1.1705807579816934,1.1705807579816938,1.3702593109569963,0.1368027617995242
1.0,0.125,0.09843749999999998,4.828996547750594,0.8212932885576412,1.0,1.2175918322140498,1.217591832214049,1.2175918322140498,1.4825298698743659,0.17100345224940564
1.0,0.15000000000000002,0.118125,4.794795857300714,0.7895832534429091,0.9999999999999996,1.266490893315667,1.2664908933156656,1.2664908933156678,1.6039991828515152,0.2052041426992867
1.0,0.17500000000000002,0.13781249999999998,4.760595166850832,0.7590975389709812,1.0,1.3173537637278905,1.317353763727889,1.3173537637278905,1.7354209388080368,0.23940483314916777
1.0,0.2,0.15749999999999997,4.726394476400952,0.7297888742690571,0.9999999999999998,1.3702593109569974,1.3702593109569956,1.3702593109569976,1.8776105792643434,0.2736055235990487
1.0,0.225,0.17718749999999997,4.69219378595107,0.7016118135870515,0.9999999999999998,1.425289569865441,1.4252895698654398,1.4252895698654413,2.0314503579672127,0.3078062140489296
1.0,0.25,0.19687499999999997,4.657993095501189,0.674522665829825,1.0000000000000007,1.482529869874366,1.4825298698743656,1.4825298698743652,2.1978948150697026,0.342006904498811
1.0,0.275,0.2165625,4.623792405051308,0.6484794268101685,1.0,1.5420689672746297,1.5420689672746293,1.5420689672746297,2.3779766998314424,0.3762075949486917
1.0,0.30000000000000004,0.23625,4.589591714601427,0.6234417141174894,1.0000000000000002,1.603999182851514,1.603999182851514,1.6039991828515137,2.5728133785883243,0.41040828539857266
1.0,0.325,0.2559375,4.555391024151546,0.5993707045012127,1.0,1.6684165450364905,1.6684165450364896,1.6684165450364905,2.7836137677514983,0.44460897584845416
1.0,0.35,0.27562499999999995,4.521190333701665,0.5762290736718002,1.0,1.7354209388080357,1.7354209388080353,1.7354209388080357,3.0116858348533633,0.4788096662983349
1.0,0.375,0.2953125,4.486989643251784,0.5539809384260438,0.9999999999999998,1.8051162605723843,1.8051162605723832,1.8051162605723847,3.2584447141828266,0.5130103567482162
1.0,0.4,0.31499999999999995,4.452788952801903,0.5325918010068975,1.0000000000000009,1.8776105792643432,1.8776105792643436,1.8776105792643414,3.52542148736538,0.5472110471980971
1.0,0.42500000000000004,0.33468749999999997,4.418588262352022,0.5120284956115656,1.0,1.9530163039180126,1.9530163039180122,1.9530163039180126,3.814272683369574,0.5814117376479782
1.0,0.45000000000000007,0.354375,4.38438757190214,0.4922591369649111,1.0000000000000002,2.031450357967215,2.0314503579672136,2.0314503579672145,4.126790556885122,0.6156124280978598
1.0,0.475,0.3740624999999999,4.3501868814522595,0.4732530708784361,1.0,2.1130343605459014,2.1130343605459005,2.1130343605459014,4.464914208847625,0.6498131185477403
1.0,0.5,0.39374999999999993,4.315986191002379,0.45498082671817375,1.0,2.197894815069702,2.197894815069701,2.197894815069702,4.830741618110277,0.6840138089976215
1.0,0.55,0.433125,4.247584810102616,0.4205255669960444,0.9999999999999998,2.3779766998314447,2.3779766998314424,2.377976699831445,5.654773184941245,0.7524151898973839
1.0,0.5750000000000001,0.45281249999999995,4.213384119652735,0.4042891254204582,1.000000000000001,2.473477363409186,2.473477363409187,2.473477363409183,6.118090267297654,0.7866158803472648
1.0,0.6000000000000001,0.4725,4.179183429202855,0.38867957090175326,1.0000000000000007,2.572813378588327,2.572813378588326,2.572813378588325,6.619368681043075,0.8208165707971458
1.0,0.625,0.4921874999999999,4.144982738752973,0.37367269940604325,1.0000000000000004,2.6761387748944765,2.676138774894476,2.676138774894475,7.161718742493705,0.8550172612470266
1.0,0.65,0.511875,4.110782048303092,0.35924524141428,1.0000000000000009,2.7836137677514987,2.783613767751499,2.783613767751496,7.748505608015689,0.8892179516969081
1.0,0.675,0.5315624999999999,4.076581357853211,0.34537482584074813,0.9999999999999998,2.895405006910086,2.895405006910082,2.8954050069100865,8.383370154039985,0.9234186421467889
1.0,0.7000000000000001,0.5512499999999999,4.04238066740333,0.33203994534466075,1.0000000000000004,3.011685834853366,3.0116858348533655,3.0116858348533646,9.07025156785641,0.9576193325966702
1.0,0.7250000000000001,0.5709375,4.008179976953449,0.3192199229810737,1.0000000000000004,3.132636555580179,3.132636555580178,3.1326365555801776,9.81341178935724,0.9918200230465513
1.0,0.75,0.590625,3.973979286503568,0.30689488013940014,1.0000000000000009,3.258444714182826,3.258444714182828,3.258444714182823,10.617461955385995,1.026020713496432
1.0,0.775,0.6103124999999999,3.939778596053687,0.2950457057198177,1.000000000000001,3.389305387652799,3.3893053876528016,3.3893053876527954,11.487391010772285,1.0602214039463134
1.0,0.8,0.6299999999999999,3.9055779056038054,0.28365402649977056,1.000000000000001,3.5254214873653824,3.5254214873653837,3.5254214873653784,12.428596663577537,1.0944220943961944
1.0,0.825,0.6496874999999999,3.8713772151539247,0.272702178644616,0.9999999999999998,3.6670040737122074,3.667004073712203,3.6670040737122083,13.446918876621911,1.1286227848460755
1.0,0.8500000000000001,0.6693749999999999,3.8371765247040432,0.262173180318243,1.0000000000000007,3.814272683369577,3.814272683369577,3.814272683369574,14.548676103099343,1.1628234752959565
1.0,0.875,0.6890624999999999,3.8029758342541626,0.25205070535119106,0.9999999999999996,3.967455669710051,3.967455669710047,3.967455669710053,15.740704491114423,1.1970241657458376
1.0,0.9,0.7087499999999999,3.768775143804281,0.24231905792543917,1.0000000000000004,4.126790556885119,4.126790556885118,4.126790556885117,17.03040030039618,1.2312248561957186
1.0,0.925,0.7284375,3.7345744533544,0.2329631482366128,1.0000000000000002,4.292524408127994,4.292524408127993,4.292524408127993,18.425765794374577,1.2654255466456
1.0,0.95,0.7481249999999998,3.700373762904519,0.22396846909586993,1.0000000000000007,4.464914208847628,4.464914208847628,4.464914208847626,19.935458892369432,1.299626237095481
1.0,0.9750000000000001,0.7678124999999999,3.6661730724546384,0.21532107343518528,1.0,4.644227265107961,4.644227265107957,4.644227265107961,21.56884688997215,1.3338269275453618
1.0,1.0,0.7874999999999999,3.631972382004757,0.2070075526811528,1.0000000000000009,4.830741618110278,4.830741618110278,4.830741618110274,23.33606458094269,1.3680276179952429
1.0,1.1,0.86625,3.4951696202052327,0.17684175249734455,1.0000000000000009,5.654773184941243,5.654773184941248,5.654773184941238,31.97645977313053,1.5048303797947675
1.0,1.1500000000000001,0.9056249999999999,3.4267682393054706,0.16344969693323896,1.0000000000000004,6.118090267297651,6.118090267297654,6.1180902672976485,37.43102851880224,1.5732317606945294
1.0,1.2000000000000002,0.945,3.3583668584057085,0.15107180883637092,0.9999999999999996,6.619368681043077,6.619368681043071,6.619368681043079,43.81604173557395,1.6416331415942917
1.0,1.25,0.9843749999999998,3.2899654775059464,0.13963128628139906,1.0000000000000004,7.1617187424937105,7.16171874249371,7.161718742493707,51.29021534658566,1.7100345224940536
1.0,1.3,1.02375,3.221564096606184,0.12905714347880426,1.0000000000000004,7.748505608015691,7.748505608015691,7.748505608015687,60.039339157450584,1.7784359033938162
1.0,1.35,1.0631249999999999,3.153162715706422,0.119283770324527,1.000000000000001,8.383370154039987,8.383370154039994,8.383370154039978,70.28089513964841,1.8468372842935779
1.0,1.4000000000000001,1.1024999999999998,3.08476133480666,0.11025052530448529,0.9999999999999998,9.070251567856408,9.070251567856404,9.07025156785641,82.26946350420161,1.9152386651933402
1.0,1.4500000000000002,1.141875,3.016359953906898,0.10190135922804261,1.0000000000000009,9.81341178935724,9.813411789357243,9.81341178935723,96.3030509474956,1.9836400460931023
1.0,1.5,1.18125,2.9479585730071354,0.09418446745577674,0.9999999999999996,10.617461955386005,10.617461955385991,10.61746195538601,112.73049837406911,2.0520414269928646
1.0,1.55,1.2206249999999998,2.8795571921073733,0.08705196846370525,1.0000000000000004,11.487391010772281,11.487391010772289,11.487391010772276,131.96015223437183,2.1204428078926267
1.0,1.6,1.2599999999999998,2.811155811207611,0.08045960674953252,1.0,12.428596663577542,12.42859666357753,12.428596663577542,154.47001502589066,2.188844188792389
1.0,1.65,1.2993749999999997,2.742754430307849,0.07436647823751998,0.9999999999999998,13.446918876621913,13.44691887662191,13.446918876621917,180.8196272744507,2.257245569692151
1.0,1.7000000000000002,1.3387499999999999,2.6743530494080865,0.06873477647818192,1.0000000000000009,14.548676103099357,14.548676103099353,14.548676103099345,211.66397635289405,2.3256469505919135
1.0,1.75,1.3781249999999998,2.6059516685083244,0.0635295580680329,1.0000000000000004,15.74070449111443,15.74070449111443,15.740704491114423,247.76977787658987,2.3940483314916756
1.0,1.8,1.4174999999999998,2.5375502876085623,0.05871852583387232,1.000000000000001,17.030400300396195,17.0304003003962,17.030400300396177,290.03453439173455,2.4624497123914377
