beta_u,beta_d,tw12,tw23,tw13,cp_phase,theta12,theta23,theta13,J,Hu,Hd,LOSS
4.75,4.2,0.422,0.062,0.0,0.011,12.972253875987311,2.3237761450413306,0.2258783543682424,2.1152559138825494e-06,8.251595156231623,7.296147296115358,1.3349168580543267
4.75,4.2,0.422,0.062,0.0,0.0115,12.972935975566584,2.324494439230187,0.24884556945435318,1.919212320437673e-06,8.251595156231623,7.296147296259691,1.435499426672297
4.75,4.2,0.422,0.062,0.0,0.011999999999999999,12.973618416567753,2.325216552139543,0.27183141804299477,1.714491860175301e-06,8.251595156231623,7.296147295891837,1.5574385970472893
4.75,4.2,0.422,0.062,0.0,0.012499999999999999,12.97430119924564,2.325942481625894,0.29483151871875735,1.501092910802422e-06,8.251595156231623,7.296147296101695,1.7078989810321823
4.75,4.2,0.422,0.062,0.0,0.013,12.974984323711297,2.326672225535964,0.3178427551822585,1.2790138637962592e-06,8.251595156231623,7.296147295949397,1.8982972270622616
4.75,4.2,0.422,0.062,0.0,0.013499999999999998,12.975667790172851,2.3274057817065565,0.34086285064315214,1.0482531245690693e-06,8.251595156231623,7.296147295879243,2.1483104506788147
4.75,4.2,0.422,0.062,0.0,0.013999999999999999,12.97635159879687,2.3281431479647323,0.36389010303278063,8.08809112302477e-07,8.251595156231623,7.296147295757586,2.4958981513664527
4.75,4.2,0.422,0.062,0.0,0.014499999999999999,12.977035749793707,2.3288843221278213,0.3869232144030252,5.606802602133205e-07,8.251595156231623,7.296147296076211,3.0285320120420427
4.75,4.2,0.422,0.062,0.0,0.015,12.977720243275424,2.3296293020034864,0.40996117764280504,3.0386501528303564e-07,8.251595156231623,7.296147295947579,4.0278738690842975
4.75,4.2,0.422,0.062,0.0,0.015499999999999998,12.978405079464544,2.330378085389842,0.4330031992522943,3.83618384142137e-08,8.251595156231623,7.296147296055343,8.430814386093225
4.75,4.2,0.422,0.062,0.0,0.016,12.979090258498006,2.331130670075238,0.45604864546781315,2.358307955338361e-07,8.251595156231623,7.296147295879214,4.500155559213784
4.75,4.2,0.422,0.062,0.0,0.016499999999999997,12.979775780598638,2.331887053838771,0.479097003900127,5.187143979385085e-07,8.251595156231623,7.296147296124251,3.188603755357987
4.75,4.2,0.422,0.062,0.0,0.016999999999999998,12.980461645889502,2.332647234449907,0.5021478557156717,8.102904661246371e-07,8.251595156231623,7.296147296093681,2.556608290486826
4.75,4.2,0.422,0.062,0.0,0.017499999999999998,12.98114785455684,2.333411209668735,0.5252008551301087,1.1105604836459532e-06,8.251595156231623,7.296147295989163,2.160158828425686
4.75,4.2,0.422,0.062,0.0,0.018,12.98183440678537,2.334178977246107,0.5482557140667838,1.4195259200535e-06,8.251595156231623,7.29614729600736,1.8816358422521324
4.75,4.2,0.422,0.06225,0.0,0.011,12.972307788084361,2.3374750146146717,0.2254979649584775,2.150766515112909e-06,8.251595156231623,7.296147296044522,1.3169350762540841
4.75,4.2,0.422,0.06225,0.0,0.0115,12.972992615662085,2.338192990874941,0.24846368288144974,1.954353814162188e-06,8.251595156231623,7.296147296017338,1.4153666785125252
4.75,4.2,0.422,0.06225,0.0,0.011999999999999999,12.973677784803401,2.3389147666845838,0.27144829183300784,1.7492663390355698e-06,8.251595156231623,7.296147296075714,1.5344604637050283
4.75,4.2,0.422,0.06225,0.0,0.012499999999999999,12.974363295671377,2.339640339936597,0.2944473445838001,1.535502462077145e-06,8.251595156231623,7.296147295993512,1.6810167464589314
4.75,4.2,0.422,0.06225,0.0,0.013,12.975049148456527,2.3403697085142667,0.31745767950444315,1.3130605695452213e-06,8.251595156231623,7.2961472959530145,1.8657881838487975
4.75,4.2,0.422,0.06225,0.0,0.013499999999999998,12.975735343344605,2.3411028702912615,0.3404769876116897,1.081939061588471e-06,8.251595156231623,7.296147296070877,2.1071104282579296
4.75,4.2,0.422,0.06225,0.0,0.013999999999999999,12.97642188048207,2.3418398231317092,0.3635035433698263,8.421363521804448e-07,8.251595156231623,7.296147295915623,2.4397992053530415
4.75,4.2,0.422,0.06225,0.0,0.014499999999999999,12.977108760074847,2.342580564890159,0.38653603133604647,5.936508691620733e-07,8.251595156231623,7.296147295906415,2.9419985291472175
4.75,4.2,0.422,0.06225,0.0,0.015,12.977795982286533,2.343325093411698,0.409573431099886,3.364810543505202e-07,8.251595156231623,7.296147295873825,3.8518437808259756
4.75,4.2,0.422,0.06225,0.0,0.015499999999999998,12.978483547295756,2.3440734065320052,0.43261493887673147,7.062536336701133e-08,8.251595156231623,7.296147295869113,6.965948400200879
4.75,4.2,0.422,0.06225,0.0,0.016,12.979171455276779,2.34482550207739,0.4556599128280756,2.0391773427599555e-07,8.251595156231623,7.296147295890941,4.768566032978153
4.75,4.2,0.422,0.06225,0.0,0.016499999999999997,12.97985970640845,2.3455813778648205,0.4787078341388191,4.871497551379479e-07,8.251595156231623,7.2961472960123315,3.2840858132792774
4.75,4.2,0.422,0.06225,0.0,0.016999999999999998,12.98054830083888,2.346341031701928,0.5017582787996797,7.790722019239242e-07,8.251595156231623,7.296147295874862,2.6090713097039155
4.75,4.2,0.422,0.06225,0.0,0.017499999999999998,12.981237238787443,2.3471044613872762,0.5248108968119259,1.0796865633593e-06,8.251595156231623,7.296147296141904,2.1940151423405143
4.75,4.2,0.422,0.06225,0.0,0.018,12.981926520380542,2.347871664710236,0.5478653966332748,1.3889943143636542e-06,8.251595156231623,7.296147296175441,1.9053991983131942
4.75,4.2,0.422,0.0625,0.0,0.011,12.972361854415203,2.3511738937073496,0.2251176537566931,2.1864877475848837e-06,8.251595156231623,7.296147295666988,1.2996076104010956
4.75,4.2,0.422,0.0625,0.0,0.0115,12.973049410004775,2.3518915558413296,0.24808186114457922,1.989706398777564e-06,8.251595156231623,7.296147295866013,1.3959560782803002
4.75,4.2,0.422,0.0625,0.0,0.011999999999999999,12.973737307248005,2.3526129985882336,0.27106521997377164,1.7842523788833171e-06,8.251595156231623,7.2961472960131895,1.5123045466699208
4.75,4.2,0.422,0.0625,0.0,0.012499999999999999,12.974425546320617,2.3533382198768344,0.2940632163614529,1.5701240550017315e-06,8.251595156231623,7.296147296055243,1.6551124873500962
4.75,4.2,0.422,0.0625,0.0,0.013,12.975114127405808,2.354067217626398,0.3170726427980738,1.3473198081262287e-06,8.251595156231623,7.29614729604766,1.8345175757969998
4.75,4.2,0.422,0.0625,0.0,0.013499999999999998,12.975803050659364,2.354799989746745,0.3400911577338532,1.115838033151871e-06,8.251595156231623,7.296147295681341,2.0676303396707625
4.75,4.2,0.422,0.0625,0.0,0.013999999999999999,12.976492316357994,2.355536534138336,0.36311701190448187,8.756771387873237e-07,8.251595156231623,7.296147296350324,2.3864547980548423
4.75,4.2,0.422,0.0625,0.0,0.014499999999999999,12.977181924542295,2.3562768486922714,0.38614887218456867,6.268355476394226e-07,8.251595156231623,7.296147296131157,2.861080266519249
4.75,4.2,0.422,0.0625,0.0,0.015,12.977871875459755,2.3570209312903665,0.4091857047261729,3.6931169616763806e-07,8.251595156231623,7.296147296027652,3.6947909989762575
4.75,4.2,0.422,0.0625,0.0,0.015499999999999998,12.978562169294515,2.35776877980519,0.4322266953563804,1.0310403479596442e-07,8.251595156231623,7.29614729615623,6.128269728675353
4.75,4.2,0.422,0.0625,0.0,0.016,12.979252806182748,2.358520392100206,0.45527119408285976,1.717889722861396e-07,8.251595156231623,7.296147295971201,5.095934314762451
4.75,4.2,0.422,0.0625,0.0,0.016499999999999997,12.979943786321893,2.359275766029598,0.4783186756034628,4.55368846857037e-07,8.251595156231623,7.296147295791548,3.3888223304868523
4.75,4.2,0.422,0.0625,0.0,0.016999999999999998,12.980635109916188,2.3600348994385425,0.5013687106851127,7.476370968862583e-07,8.251595156231623,7.29614729604466,2.665133244828189
4.75,4.2,0.422,0.0625,0.0,0.017499999999999998,12.981326777071233,2.360797790163232,0.5244209450763996,1.0485952164872303e-06,8.251595156231623,7.296147295777839,2.2298436131105475
4.75,4.2,0.422,0.0625,0.0,0.018,12.982018788046725,2.361564436030877,0.5474750837386215,1.3582446857438035e-06,8.251595156231623,7.2961472962230935,1.9304677248589823
4.75,4.2,0.422,0.06275,0.0,0.011,12.97241607505892,2.364872781746004,0.22473742118296028,2.2224195947969164e-06,8.251595156231623,7.296147296162974,1.282927117595159
4.75,4.2,0.422,0.06275,0.0,0.0115,12.97310635862479,2.3655901334899654,0.24770010456146976,2.025270059087189e-06,8.251595156231623,7.296147296303436,1.3772573617986148
4.75,4.2,0.422,0.06275,0.0,0.011999999999999999,12.973796983933696,2.3663112471410765,0.27068220270968546,1.8194499658893276e-06,8.251595156231623,7.296147296233393,1.4909557522712276
4.75,4.2,0.422,0.06275,0.0,0.012499999999999999,12.97448795120431,2.3670361206631836,0.29367913424194203,1.6049576770709936e-06,8.251595156231623,7.296147296501531,1.6301625428734359
4.75,4.2,0.422,0.06275,0.0,0.013,12.975179260546529,2.367764752010862,0.31668764521229825,1.3817915683711317e-06,8.251595156231623,7.296147296122781,1.8044450517115393
4.75,4.2,0.422,0.06275,0.0,0.013499999999999998,12.97587091220303,2.3684971391294636,0.33970536112696015,1.1499500293938973e-06,8.251595156231623,7.296147295990616,2.02979278260969
4.75,4.2,0.422,0.06275,0.0,0.013999999999999999,12.976562906361677,2.3692332799550755,0.362730508728935,9.094314635809016e-07,8.251595156231623,7.296147296242109,2.335687551957216
4.75,4.2,0.422,0.06275,0.0,0.014499999999999999,12.97725524312797,2.3699731724146664,0.38576173702060873,6.602342882871051e-07,8.251595156231623,7.2961472958607825,2.785225937862844
4.75,4.2,0.422,0.06275,0.0,0.015,12.977947922762658,2.370716814426102,0.4087979985772613,4.0235693474265435e-07,8.251595156231623,7.296147296022432,3.553409461549092
4.75,4.2,0.422,0.06275,0.0,0.015499999999999998,12.978640945419759,2.3714642038982063,0.4318384687333015,1.357978480186206e-07,8.251595156231623,7.296147296410249,5.5525308285130635
4.75,4.2,0.422,0.06275,0.0,0.016,12.979334311202715,2.372215338730768,0.45488248926294067,1.3944451284463033e-07,8.251595156231623,7.296147296004179,5.5097790285071335
4.75,4.2,0.422,0.06275,0.0,0.016499999999999997,12.980028020396546,2.3729702168146862,0.4779295283153454,4.233716750135126e-07,8.251595156231623,7.296147296349913,3.504314165953276
4.75,4.2,0.422,0.06275,0.0,0.016999999999999998,12.980722073094995,2.3737288360318547,0.5009791513851802,7.159851517384887e-07,8.251595156231623,7.296147296308354,2.7251294612909995
4.75,4.2,0.422,0.06275,0.0,0.017499999999999998,12.981416469464719,2.3744911942554703,0.5240309999298335,1.0172864423219768e-06,8.251595156231623,7.296147295777381,2.267764822166282
4.75,4.2,0.422,0.06275,0.0,0.018,12.982111209794754,2.375257289349688,0.5470847753831481,1.3272770321738625e-06,8.251595156231623,7.296147296376188,1.9568967038296308
4.75,4.2,0.422,0.063,0.0,0.011,12.972470449907549,2.3785716781687904,0.2243572676605201,2.2585620400045886e-06,8.251595156231623,7.296147296059518,1.2668865366661812
4.75,4.2,0.422,0.063,0.0,0.0115,12.973163461426417,2.379288723194508,0.24731841345213115,2.0610447796854184e-06,8.251595156231623,7.296147296027287,1.3592607071031306
4.75,4.2,0.422,0.063,0.0,0.011999999999999999,12.97385681480442,2.380009511648293,0.27029924028683416,1.8548590859637434e-06,8.251595156231623,7.296147296004066,1.4703997268107223
4.75,4.2,0.422,0.063,0.0,0.012499999999999999,12.974550510225066,2.380734041528463,0.29329509841676704,1.6400033155104278e-06,8.251595156231623,7.29614729602859,1.6061445945775619
4.75,4.2,0.422,0.063,0.0,0.013,12.97524454785283,2.3814623108242645,0.316302686897265,1.41647583881601e-06,8.251595156231623,7.296147295870306,1.7755329701636764
4.75,4.2,0.422,0.063,0.0,0.013499999999999998,12.97593892788177,2.3821943175158173,0.3393195979091162,1.184275040135626e-06,8.251595156231623,7.296147295738647,1.9935267063391593
4.75,4.2,0.422,0.063,0.0,0.013999999999999999,12.976633650535241,2.382930059574262,0.36234403393600195,9.433993177370738e-07,8.251595156231623,7.296147296254786,2.2873387514558696
4.75,4.2,0.422,0.063,0.0,0.014499999999999999,12.977328715888234,2.3836695349618005,0.3853746259167016,6.938470836896117e-07,8.251595156231623,7.296147295958011,2.713964877346549
4.75,4.2,0.422,0.063,0.0,0.015,12.978024124219969,2.3844127416316705,0.40841031270918743,4.3561676395546464e-07,8.251595156231623,7.296147296277583,3.4251847993825657
4.75,4.2,0.422,0.063,0.0,0.015499999999999998,12.978719875609588,2.3851596775281765,0.43145025904990986,1.6870679829354696e-07,8.251595156231623,7.296147295830542,5.119338218477933
4.75,4.2,0.422,0.063,0.0,0.016,12.979415970311852,2.385910340586926,0.4544937983994105,1.0688435950895192e-07,8.251595156231623,7.296147295717804,6.061682445505905
4.75,4.2,0.422,0.063,0.0,0.016499999999999997,12.980112408488505,2.3866647287347234,0.4775403922960071,3.911582418828982e-07,8.251595156231623,7.296147295738427,3.6324588443677963
4.75,4.2,0.422,0.063,0.0,0.016999999999999998,12.98080919031847,2.3874228398895445,0.5005896009133125,6.841163673020068e-07,8.251595156231623,7.296147295940802,2.789447922683732
4.75,4.2,0.422,0.063,0.0,0.017499999999999998,12.981506315948106,2.38818467196083,0.5236410613786939,9.857602404558796e-07,8.251595156231623,7.2961472959276215,2.3079128503368476
4.75,4.2,0.422,0.063,0.0,0.018,12.982203785557232,2.3889502228492083,0.5466944715673553,1.2960913519980376e-06,8.251595156231623,7.29614729576978,1.9847462434217011
4.75,4.2,0.422,0.06325,0.0,0.011,12.972524978983627,2.3922705824248394,0.22397719361577736,2.2949150662288607e-06,8.251595156231623,7.29614729574648,1.2514790739533452
4.75,4.2,0.422,0.06325,0.0,0.0115,12.973220718460944,2.392987324341066,0.24693678813883826,2.0970305448656315e-06,8.251595156231623,7.296147295835741,1.3419567095565876
4.75,4.2,0.422,0.06325,0.0,0.011999999999999999,12.973916799912399,2.393707791429146,0.26991633295298595,1.8904797247864223e-06,8.251595156231623,7.2961472961283915,1.4506228093124278
4.75,4.2,0.422,0.06325,0.0,0.012499999999999999,12.974613223472975,2.394431981721265,0.2929111090787128,1.675260957343435e-06,8.251595156231623,7.296147295963091,1.5830375676472082
4.75,4.2,0.422,0.06325,0.0,0.013,12.975309989346872,2.3951598932405807,0.3159177680040959,1.4513726077514805e-06,8.251595156231623,7.296147295678728,1.747746164869273
4.75,4.2,0.422,0.06325,0.0,0.013499999999999998,12.976007097785512,2.3958915240015006,0.3389338681992081,1.2188130550814733e-06,8.251595156231623,7.296147296264255,1.9587667435387264
4.75,4.2,0.422,0.06325,0.0,0.013999999999999999,12.976704548863196,2.3966268720095325,0.3619575876191401,9.775806922734422e-07,8.251595156231623,7.296147296234922,2.2412658462162516
4.75,4.2,0.422,0.06325,0.0,0.014499999999999999,12.977402342797005,2.397365935261375,0.3849875389458956,7.276739261347955e-07,8.251595156231623,7.296147296124314,2.6468922355619844
4.75,4.2,0.422,0.06325,0.0,0.015,12.978100479776565,2.398108711745024,0.40802264717838316,4.690911773433566e-07,8.251595156231623,7.2961472960862785,3.308162602495853
4.75,4.2,0.422,0.06325,0.0,0.015499999999999998,12.97879895996063,2.398855199439772,0.4310620663489834,2.018308804902988e-07,8.251595156231623,7.296147295850128,4.775194189773425
4.75,4.2,0.422,0.06325,0.0,0.016,12.979497783584092,2.3996053963161823,0.45410512152364363,7.410851600789248e-08,8.251595156231623,7.296147296223981,6.86587601755159
4.75,4.2,0.422,0.06325,0.0,0.016499999999999997,12.980196950706247,2.400359300336401,0.4771512675672339,3.587285498530407e-07,8.251595156231623,7.296147295556903,3.775700377073214
4.75,4.2,0.422,0.06325,0.0,0.016999999999999998,12.980896461682738,2.4011169094537883,0.5002000592831531,6.520307447807107e-07,8.251595156231623,7.296147296371242,2.8585405274815203
4.75,4.2,0.422,0.06325,0.0,0.017499999999999998,12.981596316499397,2.4018782216133214,0.523251129429655,9.540166107046243e-07,8.251595156231623,7.2961472959969464,2.350437319827646
4.75,4.2,0.422,0.06325,0.0,0.018,12.982296515447734,2.4026432347515745,0.5463041722919004,1.2646876436281894e-06,8.251595156231623,7.296147296080244,2.014081841796461
4.75,4.2,0.422,0.0635,0.0,0.011,12.972579662328531,2.4059694939741347,0.223597199478358,2.331478656289465e-06,8.251595156231623,7.296147295861754,1.236698190009358
4.75,4.2,0.422,0.0635,0.0,0.0115,12.973278129747765,2.4066859363280613,0.24655522894618234,2.1332273388179925e-06,8.251595156231623,7.296147296052728,1.3253363586002884
4.75,4.2,0.422,0.0635,0.0,0.011999999999999999,12.973976939211598,2.40740608581671,0.26953348095762203,1.926311867810407e-06,8.251595156231623,7.29614729601086,1.4316119880243532
4.75,4.2,0.422,0.0635,0.0,0.012499999999999999,12.974676090923008,2.408129940505455,0.29252716642184584,1.7107305893080543e-06,8.251595156231623,7.296147296026754,1.560821541175361
4.75,4.2,0.422,0.0635,0.0,0.013,12.975375585038153,2.408857498450915,0.31553288868493273,1.4864818633037943e-06,8.251595156231623,7.296147295742249,1.7210517347183496
4.75,4.2,0.422,0.0635,0.0,0.013499999999999998,12.976075421798136,2.40958875770105,0.33854817211692184,1.2535640636184009e-06,8.251595156231623,7.296147295994665,1.9254526275320212
4.75,4.2,0.422,0.0635,0.0,0.013999999999999999,12.976775601324585,2.410323716295087,0.36157116987243,1.0119755778719396e-06,8.251595156231623,7.296147295959134,2.1973403557556703
4.75,4.2,0.422,0.0635,0.0,0.014499999999999999,12.977476123786563,2.4110623722636992,0.3846004761817606,7.617148076641787e-07,8.251595156231623,7.296147295475624,2.5836574009852398
4.75,4.2,0.422,0.0635,0.0,0.015,12.978176989507258,2.4118047236289435,0.4076350020417473,5.027801683850711e-07,8.251595156231623,7.296147296573809,3.2007952618820457
4.75,4.2,0.422,0.0635,0.0,0.015499999999999998,12.97887819842831,2.41255076840436,0.4306738906736506,2.3517008933705147e-07,8.251595156231623,7.2961472959131495,4.491682977689573
4.75,4.2,0.422,0.0635,0.0,0.016,12.979579750902964,2.413300504595034,0.4537164586673268,4.1116986351699e-08,8.251595156231623,7.296147295957814,8.26596662808616
4.75,4.2,0.422,0.0635,0.0,0.016499999999999997,12.980281647062563,2.4140539301976243,0.4767621541510707,3.2608260157850066e-07,8.251595156231623,7.296147296058691,3.9372561287393206
4.75,4.2,0.422,0.0635,0.0,0.016999999999999998,12.980983887070469,2.4148110432003054,0.4998105265085612,6.197282854530917e-07,8.251595156231623,7.296147296023105,2.9329376323988905
4.75,4.2,0.422,0.0635,0.0,0.017499999999999998,12.981686471125066,2.4155718415830596,0.522861204089598,9.220555530955327e-07,8.251595156231623,7.2961472961637055,2.395505831854436
4.75,4.2,0.422,0.0635,0.0,0.018,12.982389399348655,2.4163363233175046,0.5459138775576151,1.233065905841338e-06,8.251595156231623,7.296147295731993,2.044975033834943
4.75,4.2,0.422,0.06375,0.0,0.011,12.972634499898845,2.419668412287067,0.22321728568110807,2.3682527927368184e-06,8.251595156231623,7.296147295864934,1.2225375871592508
4.75,4.2,0.422,0.06375,0.0,0.0115,12.973335695222879,2.4203845585656927,0.24617373620105548,2.169635145466385e-06,8.251595156231623,7.296147295842956,1.3093910162449829
