we,wnu,ae,anu,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity_defect,raw_leakage,total_loss
-9.950000000000001,12.0,0.051,-0.1,0.06,-0.12,-0.18,32.87821539345125,50.83049241978052,8.613781975253966,-0.026834547693573844,0.026834547693573844,0.9663081646991774,0.210783326397828,21.64680895343121
-9.950000000000001,12.0,0.051,-0.1,-0.03,-0.12,-0.09,32.87821539345123,50.83049241978057,8.613781975253792,-0.026834547693573484,0.026834547693573484,0.9663081646991772,0.21078332639782782,21.646808953431346
-9.950000000000001,12.0,0.051,-0.1,0.06,-0.03,-0.09,32.87821539345069,50.83049241978045,8.61378197525411,-0.026834547693573053,0.026834547693573053,0.9663081646991764,0.21078332639782696,21.646808953431627
-9.950000000000001,12.0,0.051,-0.1,0.06,0.06,0.0,32.87821539345091,50.830492419780875,8.613781975253758,-0.026834547693572817,0.026834547693572817,0.9663081646991761,0.2107833263978266,21.646808953431748
-9.950000000000001,12.0,0.051,-0.1,-0.03,-0.03,0.0,32.87821539345068,50.830492419780505,8.613781975253945,-0.02683454769357273,0.02683454769357273,0.9663081646991764,0.21078332639782674,21.646808953431748
-9.950000000000001,12.0,0.051,-0.1,-0.09,-0.12,-0.03,32.87821539345184,50.83049241978061,8.613781975252971,-0.026834547693571797,0.026834547693571797,0.9663081646991769,0.21078332639782757,21.646808953431762
-9.950000000000001,12.0,0.051,-0.1,-0.03,0.06,0.09,32.8782153934509,50.8304924197809,8.613781975253596,-0.02683454769357248,0.02683454769357248,0.966308164699176,0.21078332639782635,21.64680895343186
-9.950000000000001,12.0,0.051,-0.1,-0.12,-0.12,0.0,32.87821539345169,50.83049241978064,8.613781975253103,-0.026834547693571395,0.026834547693571395,0.966308164699177,0.210783326397828,21.64680895343202
-9.950000000000001,12.0,0.051,-0.1,0.09,-0.12,-0.21,32.87821539345176,50.83049241978054,8.613781975252916,-0.026834547693571083,0.026834547693571083,0.9663081646991771,0.210783326397828,21.646808953432068
-9.950000000000001,12.0,0.051,-0.1,-0.09,-0.03,0.06,32.87821539345125,50.830492419780555,8.613781975253117,-0.02683454769357106,0.02683454769357106,0.9663081646991758,0.21078332639782646,21.646808953432163
-9.950000000000001,12.0,0.051,-0.1,0.0,-0.12,-0.12,32.87821539345146,50.83049241978064,8.613781975253072,-0.026834547693571114,0.026834547693571114,0.9663081646991771,0.21078332639782738,21.646808953432163
-9.950000000000001,12.0,0.051,-0.1,-0.09,0.06,0.15,32.878215393451505,50.83049241978094,8.61378197525277,-0.02683454769357084,0.02683454769357084,0.9663081646991757,0.21078332639782596,21.64680895343225
-9.950000000000001,12.0,0.051,-0.1,0.06,0.09,0.03,32.87821539345053,50.830492419780846,8.613781975253632,-0.02683454769357184,0.02683454769357184,0.9663081646991776,0.2107833263978286,21.646808953432345
-9.950000000000001,12.0,0.051,-0.1,0.09,-0.03,-0.12,32.87821539345121,50.830492419780484,8.61378197525308,-0.026834547693570403,0.026834547693570403,0.9663081646991764,0.21078332639782685,21.64680895343244
-9.950000000000001,12.0,0.051,-0.1,-0.03,0.09,0.12,32.87821539345055,50.83049241978092,8.613781975253465,-0.02683454769357156,0.02683454769357156,0.9663081646991775,0.2107833263978283,21.64680895343244
-9.950000000000001,12.0,0.051,-0.1,-0.12,-0.03,0.09,32.8782153934511,50.83049241978057,8.61378197525325,-0.026834547693570552,0.026834547693570552,0.9663081646991762,0.21078332639782696,21.64680895343247
-9.950000000000001,12.0,0.051,-0.1,0.06,0.0,-0.06,32.87821539344975,50.83049241978042,8.6137819752537,-0.02683454769357134,0.02683454769357134,0.9663081646991762,0.21078332639782668,21.64680895343252
-9.950000000000001,12.0,0.051,-0.1,-0.12,0.06,0.18,32.87821539345136,50.830492419781024,8.613781975252904,-0.026834547693570427,0.026834547693570427,0.966308164699176,0.2107833263978265,21.646808953432537
-9.950000000000001,12.0,0.051,-0.1,0.0,-0.03,-0.03,32.8782153934509,50.830492419780555,8.613781975253222,-0.02683454769357033,0.02683454769357033,0.9663081646991762,0.2107833263978264,21.646808953432583
-9.950000000000001,12.0,0.051,-0.1,0.09,0.06,-0.03,32.87821539345143,50.83049241978092,8.613781975252722,-0.026834547693570125,0.026834547693570125,0.9663081646991761,0.2107833263978265,21.646808953432583
-9.950000000000001,12.0,0.051,-0.1,-0.03,0.0,0.03,32.87821539344974,50.830492419780455,8.613781975253547,-0.02683454769357102,0.02683454769357102,0.9663081646991761,0.21078332639782627,21.64680895343262
-9.950000000000001,12.0,0.051,-0.1,0.0,0.06,0.06,32.87821539345114,50.83049241978099,8.613781975252886,-0.026834547693570125,0.026834547693570125,0.966308164699176,0.21078332639782596,21.646808953432682
-9.950000000000001,12.0,0.051,-0.1,-0.09,0.09,0.18,32.87821539345113,50.83049241978092,8.613781975252635,-0.026834547693569813,0.026834547693569813,0.966308164699177,0.21078332639782804,21.64680895343287
-9.950000000000001,12.0,0.051,-0.1,0.03,-0.12,-0.15,32.87821539345169,50.830492419780576,8.613781975252472,-0.026834547693569046,0.026834547693569046,0.9663081646991768,0.21078332639782785,21.646808953432874
-9.950000000000001,12.0,0.051,-0.1,-0.09,0.0,0.09,32.878215393450304,50.830492419780505,8.613781975252715,-0.026834547693569306,0.026834547693569306,0.9663081646991757,0.21078332639782615,21.646808953433066
-9.950000000000001,12.0,0.051,-0.1,0.06,0.03,-0.03,32.87821539344947,50.83049241978105,8.613781975253541,-0.026834547693570594,0.026834547693570594,0.9663081646991764,0.21078332639782701,21.646808953433126
-9.950000000000001,12.0,0.051,-0.1,-0.12,0.09,0.21,32.878215393451,50.83049241978102,8.613781975252776,-0.02683454769356946,0.02683454769356946,0.9663081646991775,0.21078332639782857,21.646808953433137
-9.950000000000001,12.0,0.051,-0.1,0.09,0.09,0.0,32.878215393451086,50.83049241978087,8.613781975252605,-0.026834547693569147,0.026834547693569147,0.9663081646991775,0.21078332639782846,21.64680895343316
-9.950000000000001,12.0,0.051,-0.1,0.06,-0.09,-0.15,32.87821539344896,50.83049241978031,8.6137819752536,-0.026834547693569896,0.026834547693569896,0.9663081646991755,0.2107833263978259,21.646808953433236
-9.950000000000001,12.0,0.051,-0.1,-0.03,0.03,0.06,32.87821539344948,50.83049241978111,8.613781975253385,-0.026834547693570278,0.026834547693570278,0.9663081646991762,0.2107833263978267,21.64680895343324
-9.950000000000001,12.0,0.051,-0.1,0.12,-0.12,-0.24,32.878215393451924,50.83049241978061,8.613781975252156,-0.026834547693567908,0.026834547693567908,0.9663081646991772,0.21078332639782782,21.64680895343325
-9.950000000000001,12.0,0.051,-0.1,0.0,0.09,0.09,32.878215393450766,50.83049241978095,8.613781975252762,-0.026834547693569164,0.026834547693569164,0.9663081646991772,0.21078332639782793,21.646808953433265
-9.950000000000001,12.0,0.051,-0.1,0.03,-0.03,-0.06,32.87821539345113,50.83049241978047,8.613781975252612,-0.02683454769356824,0.02683454769356824,0.9663081646991759,0.2107833263978268,21.646808953433283
-9.950000000000001,12.0,0.051,-0.1,-0.12,0.0,0.12,32.878215393450176,50.830492419780505,8.61378197525285,-0.026834547693568862,0.026834547693568862,0.9663081646991759,0.21078332639782657,21.64680895343333
-9.950000000000001,12.0,0.051,-0.1,0.09,0.0,-0.09,32.87821539345026,50.83049241978045,8.613781975252671,-0.02683454769356861,0.02683454769356861,0.966308164699176,0.21078332639782651,21.646808953433357
-9.950000000000001,12.0,0.051,-0.1,-0.03,-0.09,-0.06,32.878215393448954,50.83049241978035,8.613781975253447,-0.02683454769356949,0.02683454769356949,0.9663081646991754,0.2107833263978256,21.64680895343338
-9.950000000000001,12.0,0.051,-0.1,0.03,0.06,0.03,32.87821539345133,50.8304924197809,8.613781975252268,-0.026834547693567995,0.026834547693567995,0.9663081646991758,0.21078332639782638,21.646808953433414
-9.950000000000001,12.0,0.051,-0.1,-0.06,-0.12,-0.06,32.878215393451526,50.83049241978061,8.613781975252362,-0.02683454769356773,0.02683454769356773,0.9663081646991769,0.21078332639782793,21.646808953433464
-9.950000000000001,12.0,0.051,-0.1,0.0,0.0,0.0,32.878215393449956,50.830492419780555,8.613781975252817,-0.02683454769356856,0.02683454769356856,0.9663081646991759,0.21078332639782602,21.6468089534335
-9.950000000000001,12.0,0.051,-0.1,0.12,-0.03,-0.15,32.87821539345134,50.830492419780505,8.613781975252296,-0.026834547693567183,0.026834547693567183,0.9663081646991762,0.2107833263978267,21.646808953433627
-9.950000000000001,12.0,0.051,-0.1,-0.09,0.03,0.12,32.87821539345006,50.83049241978116,8.613781975252536,-0.02683454769356865,0.02683454769356865,0.9663081646991759,0.21078332639782651,21.646808953433638
