N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
3,-12,-0.1,0.001,300,30,1.216817404666421,301.0,0.0,0.9822572915652129,0.010567639170637399
3,-12,-0.07,0.001,300,30,1.190483601187008,301.0,0.0,0.9826091520173591,0.010864932939863011
3,-12,-0.03,0.001,300,30,1.16820949040514,301.0,0.0,0.9778533197838716,0.01613666674818472
3,-12,0.0,0.001,300,30,1.1644569550340398,301.0,0.0,0.9734464280567089,0.01597213091302451
3,-12,0.03,0.001,300,30,1.1731945700472746,301.0,0.0,0.9747758511186686,0.014008217815824068
3,-12,0.07,0.001,300,30,1.2025629408612368,301.0,0.0,0.9852985102923285,0.007226555438661665
3,-12,0.1,0.001,300,30,1.2349108509908895,301.0,0.0,0.9864248672386654,0.009246486713626715
3,-10,-0.1,0.001,300,30,1.8836562149808236,301.0,0.0,0.9963905505965123,0.0029132021264714142
3,-10,-0.07,0.001,300,30,1.843764211219528,301.0,0.0,0.9951564234838719,0.004216570692475136
3,-10,-0.03,0.001,300,30,1.7986995971577835,301.0,0.0,0.9926372384812472,0.0073353852125265795
3,-10,0.0,0.001,300,30,1.7759218908799979,301.0,0.0,0.9902977215493746,0.010026861355055722
3,-10,0.03,0.001,300,30,1.7662481765845668,301.0,0.0,0.991119199405072,0.009945421225794896
3,-10,0.07,0.001,300,30,1.7700326464243097,301.0,0.0,0.9944906835354004,0.0035752131755453875
3,-10,0.1,0.001,300,30,1.7801841754863408,301.0,0.0,0.996321447640388,0.0026536320916176388
3,-8,-0.1,0.001,300,30,4.581188206317576,301.0,0.0,0.9984355465882884,0.0014410470534893392
3,-8,-0.07,0.001,300,30,4.503747923258593,301.0,0.0,0.9983269390214432,0.001496391869951669
3,-8,-0.03,0.001,300,30,4.419470507475414,301.0,0.0,0.9974143040386311,0.0024726652389279115
3,-8,0.0,0.001,300,30,4.375308282829125,301.0,0.0,0.9967786952040297,0.0037922498488531273
3,-8,0.03,0.001,300,30,4.3494956943355865,301.0,0.0,0.9968922885067644,0.0023140097221820677
3,-8,0.07,0.001,300,30,4.340414061359758,301.0,0.0,0.9982610611159899,0.0017411936838803198
3,-8,0.1,0.001,300,30,4.347724295815314,301.0,0.0,0.998197486255448,0.0016105870384513664
3,-6,-0.1,0.001,300,30,17.56177958662861,301.0,0.0,0.9998024902451106,0.0001232278589228705
3,-6,-0.07,0.001,300,30,17.377636152274153,301.0,0.0,0.999788231282729,0.0001587278968400488
3,-6,-0.03,0.001,300,30,17.15274502390327,301.0,0.0,0.999810395241535,0.00010874726021663297
3,-6,0.0,0.001,300,30,17.00025537991552,301.0,0.0,0.9997632802383326,0.00014908938273731757
3,-6,0.03,0.001,300,30,16.8621025075229,301.0,0.0,0.9997892317328849,0.00012197694418437932
3,-6,0.07,0.001,300,30,16.700658825255985,301.0,0.0,0.9997672408453323,0.00013496609237775771
3,-6,0.1,0.001,300,30,16.596778048561426,301.0,0.0,0.999752506933301,0.00014809219554277376
3,6,-0.1,0.001,300,30,17.56177958662861,301.0,0.0,0.9997982065965917,0.000106478560628658
3,6,-0.07,0.001,300,30,17.377636152274153,301.0,0.0,0.9998156255829845,0.0001118924904748155
