Nmodes,spread,skew,penalty,cond,entropy,cp,unitarity_residual,fragility,collapse,survival_cost,viability
6,1.1400000000000001,-0.5,0.1,98.42648009247634,3.3439483036502624,0.036133410879114716,2.4415913057921127e-15,4.866364818926928e-15,False,-0.9980099892803324,502.50985591022925
6,0.8,0.0,0.1,6.032519970722889,3.4964916869702827,0.019955060445389763,1.906793411942836e-15,1.4882499094616982e-15,False,-0.995623649364474,228.50088653369747
6,0.8,0.10000000000000009,0.1,6.041787132528644,3.4946212421249117,0.019371054645420317,2.1477730696198136e-15,1.6777660518044966e-15,False,-0.9892493149942502,93.01732861349453
6,0.9133333333333333,-0.5,0.1,11.911844098652404,3.4286261577244934,0.023851819032290788,2.435293848026732e-15,2.6203250411732936e-15,False,-0.988076829677333,83.87031074268164
6,1.1400000000000001,-0.4,0.1,93.27957969765376,3.3502759612330966,0.03430618018931361,3.36893795205952e-15,6.636088768707134e-15,False,-0.9836521341453437,61.170063963741995
6,0.8,0.20000000000000007,0.1,6.078323597109513,3.491459097778811,0.018688006872439364,2.7771878534499282e-15,2.1767148970814353e-15,False,-0.9813664614410471,53.66667189037631
6,0.9133333333333333,-0.4,0.1,11.53376096374614,3.435378411101304,0.02265764146032245,3.5848793682930826e-15,3.807037735657018e-15,False,-0.9792239227334728,48.13228152607627
6,0.8,0.30000000000000004,0.1,6.147291628814183,3.486758066897859,0.017851901012140358,2.1925174857714393e-15,1.7292030587097257e-15,False,-0.9713401451826927,34.89201206267503
6,0.9133333333333333,-0.3,0.1,11.26821836980035,3.4399881832919315,0.021598280420603955,2.1391306930564084e-15,2.2500558599890187e-15,False,-0.9707943245586504,34.23992031987709
6,1.0266666666666666,-0.5,0.1,26.009004980270582,3.3751161877126097,0.02672990363884977,2.3736616238680624e-15,3.3590249094946993e-15,False,-0.9695657095343486,32.85767417934766
6,1.1400000000000001,-0.3,0.1,89.58543721432174,3.3567745813343106,0.03232587458215901,2.0166328853343982e-15,3.9369461762513e-15,False,-0.9672286493981788,30.51445795292996
6,0.9133333333333333,-0.19999999999999996,0.1,11.085706940140337,3.442706720163457,0.02061795472735761,2.9085604800212685e-15,3.0387575172292753e-15,False,-0.9623798879670893,26.581526368799302
2,2.5,0.30000000000000004,0.1,1.2788263429278006,2.157628688345575,0.04319539448104,8.688869536365456e-16,9.280718301931978e-17,False,-0.9606799595113669,25.432323760935237
2,2.5,0.4,0.1,1.2741922736663007,2.143006554304476,0.04347104334064704,5.162835502930473e-16,5.433108254179724e-17,False,-0.9599385752508084,24.961668394486612
6,0.8,0.4,0.1,6.258393790729516,3.4800768107621836,0.016782527083732283,2.090491280404174e-15,1.6649987190855657e-15,False,-0.9581981848925973,23.922406178551576
2,2.5,0.20000000000000007,0.1,1.2935226176196677,2.1727033198172236,0.04257043642505268,7.950410101044416e-16,8.886493523764902e-17,False,-0.957702791516384,23.64222216667928
6,1.0266666666666666,-0.4,0.1,24.9159915695463,3.3818708435384304,0.025030191214001983,2.3626852295414156e-15,3.29943835805515e-15,False,-0.9561218054989697,22.79036344525343
2,2.5,0.5,0.1,1.2796285332832744,2.1290677818234984,0.043239675290873504,5.255267395909837e-16,5.627546095498185e-17,False,-0.9539553068184828,21.718029395001178
6,0.9133333333333333,-0.09999999999999998,0.1,10.971941331792966,3.443659922067602,0.019670700956556722,2.5205040720821908e-15,2.622038739185403e-15,False,-0.953593642410732,21.54877158967677
2,2.5,0.10000000000000009,0.1,1.3178487640242247,2.1883279899302335,0.04170321250582444,5.568435337205102e-16,6.674636957353651e-17,False,-0.9521275651810375,20.888847700804526
