Nmodes,spread,skew,effective_rank,singular_min,singular_max,condition_number,qr_residual,svd_residual,entropy,collapse,stability_score
6,0.8,-0.09999999999999998,6,0.25285339160149023,1.529294654167489,6.048147681474389,8.035820259430735e-16,2.1847509418062995e-15,3.4971872158615147,False,-0.15922691305172046
6,0.8,0.0,6,0.2534887789679934,1.5291761214785804,6.032519970722889,6.035516653657818e-16,1.906793411942836e-15,3.4964916869702827,False,-0.15921460898211556
6,0.8,-0.19999999999999996,6,0.25129229404895403,1.5299880207536383,6.0884796588930925,1.0594074146854461e-15,2.1835831443514953e-15,3.496719152417751,False,-0.15914578043221528
6,0.8,0.10000000000000009,6,0.2531760278296776,1.5296356672060598,6.041787132528644,8.010430638691073e-16,2.1477730696198136e-15,3.4946212421249117,False,-0.1591077537080096
6,0.8,-0.3,6,0.24876188820496276,1.531289192171543,6.155642261847866,1.3465031497339864e-15,1.9921787578494257e-15,3.49499081433772,False,-0.1589640732637389
6,0.8,0.20000000000000007,6,0.2518310638418563,1.5307106978351472,6.078323597109513,5.437073588678156e-16,2.7771878534499282e-15,3.491459097778811,False,-0.15889727854333147
6,0.8,-0.4,6,0.24512460466740985,1.5332791198990225,6.255100837304388,1.115481079576427e-15,3.481033399850315e-15,3.491765139368301,False,-0.15866357066309947
6,0.8,0.30000000000000004,6,0.24929337358991854,1.532479068588153,6.147291628814183,8.842847255653013e-16,2.1925174857714393e-15,3.486758066897859,False,-0.158564227012258
6,0.8,-0.5,6,0.2400721982308019,1.5361150455548251,6.398554505166095,9.229641025971263e-16,2.0052685305635352e-15,3.486585107065335,False,-0.15820761787775586
6,0.8,0.4,6,0.24528282097621534,1.5350764837701656,6.258393790729516,1.0754116287379556e-15,2.090491280404174e-15,3.4800768107621836,False,-0.15807458281105483
6,0.8,0.5,6,0.23929495537084386,1.5387337182647518,6.430280637885248,7.562361358727756e-16,2.1510365153567826e-15,3.4706441594312696,False,-0.15736760942497247
6,0.9133333333333333,0.0,6,0.14573969882693463,1.5916154118429382,10.920946212006214,1.2699025504802995e-15,2.445183035127922e-15,3.4428634582059257,False,-0.1513779675479541
6,0.9133333333333333,-0.09999999999999998,6,0.145050417727623,1.591484673459542,10.971941331792966,1.2787218970813204e-15,2.5205040720821908e-15,3.443659922067602,False,-0.15137732656903324
6,0.9133333333333333,-0.19999999999999996,6,0.143612845596715,1.592049919124806,11.085706940140337,1.342174418911706e-15,2.9085604800212685e-15,3.442706720163457,False,-0.15124006813870314
6,0.9133333333333333,0.10000000000000009,6,0.14566111436624446,1.5924448921457528,10.932532674037995,1.0445919706398986e-15,2.04340692752316e-15,3.4402291531437124,False,-0.15123704197730528
6,0.9133333333333333,-0.3,6,0.1414016965889789,1.5933451950248674,11.26821836980035,9.023260933693146e-16,2.1391306930564084e-15,3.4399881832919315,False,-0.15096230407052263
6,0.9133333333333333,0.20000000000000007,6,0.14475361389619584,1.5940103210281464,11.011886184556511,9.459615213365887e-16,2.3406325168542486e-15,3.435554258337552,False,-0.15094047863664845
5,0.8,-0.09999999999999998,5,0.4109424066442687,1.4073554996439022,3.4247025298174596,8.617368730111927e-16,1.3439450708269463e-15,3.2272843470664316,False,-0.15067176026168108
5,0.8,-0.19999999999999996,5,0.4087737934316545,1.4082850494153354,3.445145143950613,6.838287863407748e-16,1.356934042201419e-15,3.22795655634713,False,-0.1506536773482785
5,0.8,0.0,5,0.4123560376457203,1.4068765043667144,3.411800424698634,6.924133054259554e-16,1.8029732260691357e-15,3.2254430540335766,False,-0.1506124803232033
5,0.8,-0.3,5,0.40572053082784887,1.4096926061123747,3.4745409684739883,7.528500030151656e-16,1.7134876571752039e-15,3.2272643109759955,False,-0.15054526681215585
6,0.9133333333333333,-0.4,6,0.13832885324029834,1.5954519276627217,11.53376096374614,1.13100895158842e-15,3.5848793682930826e-15,3.435378411101304,False,-0.1505295016260508
