N_gen,eps_H,eps_D,kappa0,width_mean,width_std,max_imag_mean,gap_min_mean,final_imag_mean
3,0.001,0.0001,16.8621025075229,0.00043814420975118236,0.00010431203167290331,0.0015002906241927808,0.736943662309534,0.0007246918250897045
3,0.001,0.0003,16.8621025075229,0.001385709153390418,0.00044593773135633556,0.004380622067288378,0.734761587468947,0.0022475577971622406
3,0.001,0.001,16.8621025075229,0.0044054150621351,0.0013194704654000734,0.0140826652123626,0.7367880334546748,0.00693445739369009
3,0.001,0.003,16.8621025075229,0.013206801636518248,0.0034274155530595618,0.04187683469259093,0.7131802515225798,0.01925476898258937
3,0.001,0.01,16.8621025075229,0.04514783303835511,0.014808069722813726,0.13933429424912327,0.6530004062870827,0.0712009699904146
3,0.003,0.0001,16.8621025075229,0.0003895140225865357,9.45796255226938e-05,0.0013874437661874736,0.7192500183128622,0.0006552419904296404
3,0.003,0.0003,16.8621025075229,0.0014275141198161517,0.0004773115706258598,0.004319229161286013,0.7125953839039277,0.002144854115548466
3,0.003,0.001,16.8621025075229,0.004044735586586608,0.0013115636491569157,0.012966032881100686,0.7199882547392769,0.006023083641465962
3,0.003,0.003,16.8621025075229,0.012023824072224378,0.0028541549338429225,0.036834906958218325,0.709834411854193,0.017275421635489927
3,0.003,0.01,16.8621025075229,0.044774552613350206,0.01002929599009196,0.14528471456465347,0.689699316826147,0.06282157861247226
3,0.01,0.0001,16.8621025075229,0.0004517049972488393,0.0001350555208404312,0.0013829706996066871,0.643728686672318,0.0005820559475916923
3,0.01,0.0003,16.8621025075229,0.0013682569779043033,0.000412360546528152,0.004115714297407608,0.6232623863357252,0.0020588883831374983
3,0.01,0.001,16.8621025075229,0.00454718883742994,0.0015086271687685638,0.0137870358246216,0.6210343093039958,0.006077098591256316
3,0.01,0.003,16.8621025075229,0.013735657906931098,0.0041278840447562725,0.04276796869070962,0.6158938338184495,0.021355742007760543
3,0.01,0.01,16.8621025075229,0.040518643970351646,0.012127092393699154,0.13798648369945427,0.5948159256318087,0.06812163520286972
4,0.001,0.0001,47.10100408344988,0.00037284590640858037,0.0001011724043297072,0.0012862779507378367,0.3107530603781563,0.0005828350289618586
