kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.38,0.18,0.24,13.153019860057968,2.3834244928436905,0.22617311193044976,2.643146176455058e-05,2.643146176455058e-05,3.5945054829489673e-16,0.0,0.16305223198149804
0.42,2.4,0.23,0.015,0.42,0.17,0.26,13.152759091691626,2.465495230480778,0.2191674105122525,2.78878569884497e-05,2.78878569884497e-05,4.634232678484829e-16,0.0,0.16305763014918645
0.42,2.4,0.23,0.015,0.42,0.17,0.27999999999999997,13.152762288765304,2.4680033954452947,0.22271536326361577,3.0080293519925416e-05,3.0080293519925416e-05,3.86341383661599e-16,0.0,0.17000364270707327
0.42,2.4,0.23,0.015,0.44,0.16,0.27999999999999997,13.15269553791823,2.487065159768226,0.21205778575641948,2.895251850939043e-05,2.895251850939043e-05,4.78653341313322e-16,0.0,0.1803458047210678
0.42,2.4,0.23,0.015,0.42,0.17,0.24,13.15275703718918,2.4629907210435436,0.21685679083079948,2.5695410439140198e-05,2.5695410439140198e-05,5.009992070113453e-16,0.0,0.1818310270885193
0.42,2.4,0.23,0.015,0.38,0.17,0.26,13.153209946469394,2.326052389511878,0.2196913601927844,2.7389323778416463e-05,2.7389323778416463e-05,7.174578586094416e-16,0.0,0.18295811950328084
0.42,2.4,0.23,0.015,0.38,0.17,0.27999999999999997,13.15321453415912,2.32841476949289,0.22475302516882426,2.9538211646831097e-05,2.9538211646831097e-05,3.47854367985731e-16,0.0,0.18527163736641422
0.42,2.4,0.23,0.015,0.4,0.18,0.24,13.152800538255894,2.4507078484187583,0.22643371926241615,2.6659751054793068e-05,2.6659751054793068e-05,3.0379971707233393e-16,0.0,0.1864743761076563
0.42,2.4,0.23,0.015,0.4,0.18,0.26,13.152803427709625,2.453054208617528,0.22954117900859927,2.8932121763549506e-05,2.8932121763549506e-05,2.9464282707770237e-16,0.0,0.18661652944049192
0.42,2.4,0.23,0.015,0.4,0.17,0.22,13.152985570638135,2.3902275121989005,0.21425427977452374,2.3298153625315315e-05,2.3298153625315315e-05,2.6689736855848936e-16,0.0,0.18733690949194667
0.42,2.4,0.23,0.015,0.44,0.16,0.3,13.1526990426208,2.489725917354242,0.2160720891062396,3.1065005587228856e-05,3.1065005587228856e-05,5.57236884404049e-16,0.0,0.190750112740781
0.42,2.4,0.23,0.015,0.44,0.16,0.26,13.152693175783291,2.484407709010499,0.20930875642063182,2.6840021033751327e-05,2.6840021033751327e-05,4.723317276254668e-16,0.0,0.1924693206530906
0.42,2.4,0.23,0.015,0.38,0.18,0.22,13.153017417898605,2.381160667708215,0.22350999163293467,2.4180852206259068e-05,2.4180852206259068e-05,3.552203728367548e-16,0.0,0.19384457357031298
