,nu1,nu2,nu3
e,0.9868073201485743,0.13651616755573934,0.08703245887071305
mu,0.10568094962704751,0.9504024175655246,0.29251800213240176
tau,0.12264929590957441,0.2794612328776564,0.9522912209672969
