winding,spread,phase_offset,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score
2.5,2.2,3.2781836385284797,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.425710367714797,0.3600050201269621,0.2422275542402562,2.7743590100378333e-05,-0.012450456774630251,0.798501996215409
2.5,2.2,4.370911518037973,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.425710367714797,0.360005020126962,0.24222755424025622,2.7743590100378333e-05,-0.01245045677463023,0.798501996215409
2.5,2.2,4.644093487915346,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147971,0.36000502012696195,0.2422275542402562,2.7743590100378333e-05,-0.012450456774630254,0.798501996215409
2.5,2.2,1.3659098493868664,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147969,0.360005020126962,0.24222755424025613,2.7743590100378333e-05,-0.012450456774630244,0.798501996215409
2.5,2.2,0.5463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42571036771479703,0.360005020126962,0.2422275542402562,2.7743590100378333e-05,-0.012450456774630261,0.798501996215409
2.5,2.2,2.1854557590189865,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42571036771479703,0.3600050201269621,0.24222755424025635,2.7743590100378333e-05,-0.012450456774630244,0.798501996215409
2.5,2.2,0.0,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147972,0.3600050201269619,0.24222755424025633,2.7743590100378333e-05,-0.012450456774630258,0.798501996215409
2.5,2.2,5.463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147971,0.36000502012696206,0.2422275542402563,2.7743590100378333e-05,-0.012450456774630246,0.798501996215409
2.5,2.2,2.4586377288963597,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42571036771479703,0.36000502012696217,0.24222755424025638,2.7743590100378333e-05,-0.01245045677463024,0.798501996215409
2.5,2.2,6.010003337302213,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147971,0.3600050201269619,0.24222755424025627,2.7743590100378333e-05,-0.01245045677463024,0.7985019962154092
2.5,2.2,1.6390918192642399,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147972,0.3600050201269619,0.24222755424025635,2.7743590100378333e-05,-0.012450456774630261,0.7985019962154092
2.5,2.2,1.9122737891416133,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42571036771479714,0.36000502012696184,0.24222755424025644,2.7743590100378333e-05,-0.012450456774630244,0.7985019962154092
2.5,2.2,4.917275457792719,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4257103677147969,0.36000502012696195,0.24222755424025633,2.7743590100378333e-05,-0.01245045677463025,0.7985019962154092
