obs_generation,N_source,mass_proxy_C,mass_proxy_C_norm,mass_eV
1,3,24.737121480700278,1.0,0.0011684767589265693
2,4,179.65560662850757,7.262591436464165,0.008486169303087505
3,5,1062.4009485318384,42.947638404925804,0.05018331732693796
