scale,best_loss,theta12,theta23,theta13,best_J,best_absJ
1.0,702.1247125274426,15.063873574217537,23.4976388978058,8.261107672196205,0.0066255883171106,0.0066255883171106
1.5,441.30557010809093,20.03354009604887,31.46505111241287,11.950141072196086,0.013945178074012743,0.013945178074012743
2.0,353.2416808615395,21.208765632513607,34.14719699327104,11.658774507012819,0.0174095879600372,0.0174095879600372
2.5,390.35029213329096,22.552344017719648,37.57095229090688,13.81693007219208,0.019580218459057892,0.019580218459057892
3.0,486.1480932560921,21.97640332381192,36.866642539139285,14.790231100118124,0.016349633434197423,0.016349633434197423
