N_gen,kappa0,chi_width,chi_maximag,chi_finalimag,chi_kappa,width_mean,gap_min_mean,chi_fit,instability_simple,instability_full,gap_collapse_factor,log_instability_full
3,16.8621025075229,4.384140230209897,13.934341506870275,6.644573388858006,73.92582196915433,0.0125243664136386,0.6816517645627681,4.47909749018532,108.4510094631275,475.46443359417157,1.4670247360709614,2.6771180357392654
4,47.10100408344988,3.803431541376269,12.746355791234455,5.580283375208023,179.1454445614857,0.0112547872729415,0.2621738612413332,3.737355432916781,683.3078008359531,2598.9144421679175,3.8142627768658137,3.4147919824998696
5,120.48090401739432,3.4654402777870663,12.368362897020182,5.219215115846326,417.5193774860758,0.0104681602484095,0.1134043641281479,3.1672051991474697,3681.6870382014167,12758.666552389759,8.818002796347338,4.1058052873004875
6,135.45931566503225,3.1277846623923318,11.62492663261479,4.791503346556731,423.6875699152491,0.009560393839075,0.0236929974051308,3.102465644334237,17882.396332998294,55932.28497717294,42.20656352173687,4.747662561733168
7,153.4784763340595,2.9975521708738,11.595912708848784,4.539828102976549,460.0597399175631,0.0097259266571542,0.0080561320911032,3.034923178300469,57106.77713758327,171180.54378036901,124.12904712726238,5.233454401643702
8,160.81846402907615,2.7735481925821976,11.210531506418636,4.253774641927379,446.0377602416893,0.0089885730958587,0.0018508957823654,3.010037937968562,240984.80556893582,668382.9719254943,540.2789338695364,5.825025377048708
