N_gen,kappa0,chi_width,chi_maximag,chi_finalimag,chi_kappa,width_mean,gap_min_mean,chi_fit
3,16.8621025075229,4.384140230209897,13.934341506870275,6.644573388858006,73.92582196915433,0.012524366413638613,0.6816517645627681,4.47909749018532
4,47.10100408344988,3.8034315413762685,12.746355791234455,5.5802833752080225,179.1454445614857,0.011254787272941573,0.26217386124133324,3.737355432916781
5,120.48090401739432,3.4654402777870663,12.368362897020182,5.219215115846326,417.5193774860758,0.010468160248409507,0.1134043641281479,3.1672051991474697
6,135.45931566503225,3.1277846623923313,11.62492663261479,4.791503346556731,423.6875699152491,0.009560393839075013,0.02369299740513088,3.102465644334237
7,153.4784763340595,2.9975521708737998,11.595912708848783,4.539828102976549,460.0597399175631,0.009725926657154214,0.008056132091103287,3.034923178300469
8,160.81846402907615,2.7735481925821976,11.210531506418636,4.253774641927379,446.03776024168934,0.00898857309585872,0.0018508957823654532,3.010037937968562
