label,scale,i13_weight,cp_e,cp_nu,cp_rel,eff_cp_rel,beta_e,beta_nu,beta_rel,eff_beta_rel,phase_e,phase_nu,phase_rel,eff_phase_rel,r23,i23,d3,d8,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,L12,L23,L13,LJ,loss,delta_theta12,delta_theta23,delta_theta13,delta_J,delta_absJ,delta_loss
base_best,2.43,-0.4375,0.07,0.1735,0.1035,0.251505,-0.005,-0.012799999999999999,-0.0078,-0.018954000000000002,-0.0195,0.051000000000000004,0.07050000000000001,0.17131500000000002,1.25,1.45,1.0,-0.72,33.56443426049678,49.042128753631566,8.577247098588092,-0.031910425314813445,0.031910425314813445,3.093065954476819e-16,0.0,0.6881726749058453,0.7692385935161633,0.05835604216169316,0.12837798762032787,1.6441452982040297,0.0,0.0,0.0,0.0,0.0,0.0
ablate_d3_zero,2.43,-0.4375,0.07,0.1735,0.1035,0.251505,-0.005,-0.012799999999999999,-0.0078,-0.018954000000000002,-0.0195,0.051000000000000004,0.07050000000000001,0.17131500000000002,1.25,1.45,0.0,-0.72,33.58824020637535,49.06456473205667,8.399130813544438,-0.03113287851121923,0.03113287851121923,4.465220011294948e-16,0.0,0.9766737238314649,0.5661330803359031,32.44030986665061,12.030394820886098,46.01351149170408,0.023805945878571322,0.0224359784251007,-0.17811628504365373,0.000777546803594216,-0.000777546803594216,44.36936619350005
ablate_d8_zero,2.43,-0.4375,0.07,0.1735,0.1035,0.251505,-0.005,-0.012799999999999999,-0.0078,-0.018954000000000002,-0.0195,0.051000000000000004,0.07050000000000001,0.17131500000000002,1.25,1.45,1.0,0.0,33.602404102739385,49.01610801045936,8.497249494286127,-0.031551731927682375,0.031551731927682375,4.57572572472605e-16,0.0,1.172226337181575,1.0437118462103414,5.880706757360386,3.2151082345497626,11.311753175302066,0.037969842242603136,-0.02602074317220371,-0.07999760430196545,0.00035869338713107046,-0.00035869338713107046,9.667607877098035
ablate_d3_d8_zero,2.43,-0.4375,0.07,0.1735,0.1035,0.251505,-0.005,-0.012799999999999999,-0.0078,-0.018954000000000002,-0.0195,0.051000000000000004,0.07050000000000001,0.17131500000000002,1.25,1.45,0.0,0.0,33.62616248061814,49.03265219877295,8.319106299218426,-0.030773487307255185,0.030773487307255185,4.0653273343327434e-16,0.0,1.540287519551147,0.8643606967755855,69.94183232430477,24.069334167426206,96.41581470805771,0.06172822012135981,-0.009476554858615316,-0.2581407993696665,0.00113693800755826,-0.00113693800755826,94.77166940985369
