p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.0,2.0,1.5749999999999997,2.263944764009514,0.04285212686704021,0.9999999999999996,23.336064580942704,23.33606458094269,23.336064580942715,544.5719101259284,2.736055235990486
1.0,2.05,1.6143749999999997,2.195543383109752,0.039606976579061016,1.0000000000000009,25.248077141254704,25.248077141254704,25.248077141254683,637.4653993307478,2.804456616890248
1.0,2.1,1.6537499999999998,2.127142002209989,0.03660757839632142,1.0000000000000007,27.31674816546969,27.31674816546968,27.316748165469672,746.2047303356909,2.872857997790011
1.0,2.15,1.6931249999999995,2.058740621310228,0.03383532174862593,1.000000000000002,29.554913277590188,29.554913277590234,29.554913277590128,873.4928988458764,2.941259378689772
1.0,2.2,1.7325,1.990339240410465,0.031273005426332066,1.0,31.976459773130532,31.976459773130525,31.976459773130532,1022.4939796226349,3.009660759589535
1.0,2.25,1.7718749999999996,1.9219378595107033,0.028904730850833827,0.9999999999999991,34.59641278656477,34.59641278656472,34.5964127865648,1196.9117776983817,3.0780621404892967
1.0,2.3,1.8112499999999996,1.8535364786109412,0.026715803427567665,0.9999999999999993,37.431028518802265,37.43102851880222,37.43102851880229,1401.0818959753876,3.146463521389059
1.0,2.35,1.8506249999999997,1.7851350977111786,0.02469264136946104,1.0000000000000047,40.497895103144565,40.49789510314471,40.49789510314437,1640.0795077852986,3.2148649022888214
1.0,2.4,1.8899999999999997,1.716733716811417,0.022822691425092995,0.9999999999999956,43.81604173557395,43.81604173557374,43.81604173557414,1919.8455133735574,3.283266283188583
1.0,2.45,1.9293749999999998,1.6483323359116544,0.021094350988680087,0.9999999999999949,47.40605674650209,47.40605674650182,47.40605674650233,2247.3342162525746,3.3516676640883456
1.0,2.5,1.9687499999999996,1.5799309550118927,0.019496896108598023,0.9999999999999958,51.29021534658567,51.29021534658541,51.29021534658588,2630.68619029913,3.4200690449881073
1.0,2.55,2.0081249999999997,1.5115295741121302,0.018020414947748507,0.9999999999999964,55.49261783924358,55.49261783924336,55.49261783924378,3079.4306346523335,3.48847042588787
1.0,2.6,2.0475,1.4431281932123676,0.016655746282908668,1.0000000000000018,60.03933915745061,60.03933915745067,60.039339157450506,3604.722246463379,3.5568718067876324
1.0,2.65,2.0868749999999996,1.3747268123126064,0.015394422661465217,0.9999999999999933,64.95859065265017,64.9585906526497,64.9585906526506,4219.618499578569,3.6252731876873936
1.0,2.7,2.1262499999999998,1.3063254314128439,0.014228617862834497,1.0000000000000013,70.28089513964846,70.28089513964854,70.28089513964836,4939.404221630261,3.693674568587156
1.0,2.75,2.1656249999999995,1.2379240505130822,0.013151098338578674,0.9999999999999991,76.03927628360178,76.03927628360171,76.03927628360185,5781.9715377339235,3.762075949486918
1.0,2.8,2.2049999999999996,1.1695226696133196,0.012155178329914952,1.0000000000000095,82.26946350420161,82.26946350420236,82.26946350420083,6768.2646252691575,3.8304773303866804
1.0,2.85,2.244375,1.101121288713557,0.011234678384132753,1.0000000000000027,89.01011366843807,89.01011366843827,89.01011366843782,7922.800335268262,3.898878711286443
1.0,2.9,2.2837499999999995,1.0327199078137954,0.010383887012522585,0.9999999999999991,96.30305094749559,96.30305094749548,96.30305094749568,9274.277621795929,3.9672800921862046
1.0,2.95,2.3231249999999997,0.9643185269140329,0.00959752525191299,1.0000000000000144,104.19352632603696,104.19352632603841,104.19352632603545,10856.29092825455,4.035681473085967
1.0,3.0,2.3625,0.8959171460142699,0.00887071390992826,1.0000000000000218,112.7304983740692,112.73049837407157,112.73049837406674,12708.16526366601,4.10408285398573
1.0,3.05,2.4018749999999995,0.8275157651145086,0.008198943290731151,0.9999999999999958,121.96693702351786,121.96693702351727,121.96693702351837,14875.933726898762,4.172484234885491
1.0,3.1,2.4412499999999997,0.7591143842147465,0.00757804521340593,1.0000000000000324,131.9601522343719,131.9601522343762,131.9601522343676,17413.481777718607,4.2408856157852535
