N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,unitarity_defect_mean,unitarity_defect_std
1,-12,-0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-12,-0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.003328977478243e-05,8.49985994773245e-05
1,-12,-0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003016536900749278,0.00028283378412922793
1,-12,-0.1,0.001,1.0,1.570092458683775e-17,1.0,0.0,1.0,0.0,0.0009021302162969125,0.0006575273037328221
1,-12,-0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.00328052579593638,0.0025566493901819144
1,-12,-0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.014281671910815405,0.010040973053515508
1,-12,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-12,-0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011048230027479455,7.33963215655873e-05
1,-12,-0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003084729840343048,0.00023968753413567608
1,-12,-0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0014521779107828437,0.0009835166797068071
1,-12,-0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003096029067817667,0.0020522762734674085
1,-12,-0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.01055650220114668,0.009063992215214528
1,-12,-0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-12,-0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011786963641306158,8.488203748739895e-05
1,-12,-0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00032698273300982403,0.00023776278552555975
1,-12,-0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0013530944533632061,0.0008578985525414664
1,-12,-0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.00383926197397654,0.0028669199650382137
1,-12,-0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012355424615425735,0.008814362752333237
1,-12,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-12,0.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011877352901745075,9.117897723490811e-05
1,-12,0.0,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0002729006684479507,0.000238795701274136
1,-12,0.0,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0009626819324916913,0.0007473449149909618
1,-12,0.0,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003414503063929708,0.0022660958010570077
1,-12,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010898922265230784,0.008659360466493772
1,-12,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-12,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012410494245674198,7.865626025781378e-05
1,-12,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0002887324924589252,0.00022350046002294995
1,-12,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0009912313697816688,0.0008151361642934242
1,-12,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003309839052798238,0.0025051497309832166
1,-12,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.009946383594402522,0.006977994313364924
1,-12,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-12,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00010985684848057841,7.318707276338038e-05
1,-12,0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003341219424441921,0.000266476167567866
1,-12,0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011606049826594833,0.0008004658509085562
1,-12,0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0032887486766648654,0.0024110539253596173
1,-12,0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011351397246877474,0.007343232036364167
1,-12,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-12,0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.868279296840975e-05,6.815726764486114e-05
1,-12,0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003690502124696704,0.00025970541635855245
1,-12,0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0010405655547236293,0.0008167656326050157
