scale,best_loss,theta12,theta23,theta13,J,absJ
1.5,210.19520259240662,25.593823203985664,37.607615273469996,10.441033094851877,-0.0009312782856330248,0.0009312782856330248
2.0,201.56173010580326,27.099491994130638,37.17588200158739,10.642580661278227,-0.0004947939626040176,0.0004947939626040176
2.5,201.187633146943,26.865139624638587,39.316037228745024,11.32920339530228,-0.003047277570911437,0.003047277570911437
3.0,202.54219319534323,26.059375530917013,40.01931848958439,11.304455070937975,-0.003837646856125851,0.003837646856125851
3.5,257.26061204850515,27.86944131848831,43.06467608618842,13.093166337572537,-0.005927147781312311,0.005927147781312311
