cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity,raw_leakage,gap_e,gap_nu,s1,s2,s3,L12,L23,L13,LJ,Lleak,Lunit,Lsign,Lgap,loss,P_overlap,P_misalignment
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.01,0.04,33.41778847120281,48.91948137577961,8.485024242631651,-0.0310051349648849,0.0310051349648849,0.952671783136512,0.1976304018986574,1.0904309218585813,1.0810593149391958,0.9953725237546864,0.9427179189167904,0.2321532995796959,0.0003426055635473,0.0349736437931116,0.1155340694451933,0.1099729375660439,6.917064066453011,14.29007674704768,0.0,0.0921043630858272,21.560068432954413,0.6444595633994393,0.3555404366005606
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.04,0.04,33.41778847120467,48.91948137577968,8.485024242630999,-0.0310051349648845,0.0310051349648845,0.952671783136512,0.1976304018986575,1.0904309218585806,1.0810593149391954,0.995372523754687,0.9427179189167908,0.2321532995796957,0.0003426055634899,0.0349736437930939,0.1155340694469661,0.1099729375661413,6.917064066453015,14.29007674704768,0.0,0.0921043630858272,21.56006843295621,0.64445956339944,0.35554043660056
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.04,0.05,33.41778847120431,48.91948137577972,8.485024242631459,-0.0310051349648854,0.0310051349648854,0.952671783136512,0.1976304018986575,1.0904309218585817,1.0810593149391954,0.9953725237546864,0.9427179189167912,0.2321532995796958,0.0003426055635011,0.0349736437930851,0.115534069445715,0.1099729375659442,6.917064066453014,14.29007674704768,0.0,0.0921043630858272,21.560068432954765,0.6444595633994399,0.3555404366005601
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.04,0.06,33.4177884712047,48.91948137577981,8.485024242630946,-0.0310051349648842,0.0310051349648842,0.9526717831365122,0.1976304018986577,1.0904309218585804,1.0810593149391954,0.9953725237546864,0.9427179189167912,0.2321532995796955,0.000342605563489,0.034973643793062,0.115534069447111,0.1099729375662165,6.917064066453019,14.290076747047683,0.0,0.0921043630858272,21.56006843295641,0.6444595633994398,0.3555404366005602
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.03,0.08,0.05,33.41778847120483,48.9194813757789,8.485024242629796,-0.0310051349648792,0.0310051349648792,0.9526717831365124,0.1976304018986581,1.0904309218585793,1.0810593149391945,0.9953725237546864,0.9427179189167916,0.2321532995796946,0.0003426055634851,0.0349736437932888,0.1155340694502362,0.1099729375673164,6.917064066453033,14.290076747047683,0.0,0.0921043630858273,21.560068432960872,0.6444595633994398,0.3555404366005602
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.04,0.07,33.41778847120442,48.919481375779775,8.485024242631765,-0.0310051349648867,0.0310051349648867,0.9526717831365128,0.1976304018986581,1.0904309218585813,1.0810593149391954,0.9953725237546862,0.9427179189167908,0.2321532995796946,0.0003426055634978,0.0349736437930709,0.1155340694448842,0.109972937565645,6.917064066453035,14.29007674704769,0.0,0.0921043630858272,21.560068432953653,0.6444595633994392,0.3555404366005608
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.08,0.09,33.417788471204496,48.91948137577894,8.48502424263172,-0.0310051349648863,0.0310051349648863,0.9526717831365128,0.1976304018986582,1.0904309218585817,1.0810593149391945,0.9953725237546868,0.9427179189167912,0.2321532995796944,0.0003426055634954,0.0349736437932782,0.115534069445005,0.1099729375657486,6.917064066453039,14.290076747047692,0.0,0.0921043630858272,21.56006843295409,0.6444595633994399,0.3555404366005601
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.01,0.08,0.07,33.41778847120443,48.91948137577885,8.48502424263074,-0.031005134964882,0.031005134964882,0.9526717831365128,0.1976304018986582,1.0904309218585797,1.0810593149391945,0.9953725237546868,0.9427179189167912,0.2321532995796944,0.0003426055634974,0.034973643793303,0.1155340694476713,0.1099729375666981,6.917064066453039,14.29007674704769,0.0,0.0921043630858273,21.560068432957724,0.6444595633994399,0.3555404366005601
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.03,0.0499999999999999,33.4177884712045,48.91948137577987,8.485024242630736,-0.0310051349648835,0.0310051349648835,0.9526717831365128,0.1976304018986582,1.0904309218585804,1.0810593149391954,0.995372523754687,0.9427179189167908,0.2321532995796944,0.0003426055634952,0.0349736437930479,0.1155340694476809,0.1099729375663607,6.917064066453039,14.29007674704769,0.0,0.0921043630858272,21.56006843295714,0.6444595633994398,0.3555404366005602
0.1,0.145,0.0449999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.08,0.08,33.41778847120484,48.91948137577885,8.485024242631251,-0.0310051349648853,0.0310051349648853,0.9526717831365128,0.1976304018986583,1.0904309218585806,1.0810593149391945,0.9953725237546872,0.9427179189167902,0.2321532995796943,0.0003426055634849,0.0349736437933012,0.1155340694462802,0.109972937565971,6.91706406645304,14.290076747047694,0.0,0.0921043630858273,21.5600684329556,0.6444595633994396,0.3555404366005604
