beta_u,beta_d,tw12,tw23,eps_cp,q_cp,theta12,theta23,theta13,J,Hu,Hd,cp_total,LOSS
4.75,4.2,0.422,0.062,0.011,0.5,13.094229952667494,3.1118063756124412,0.233820825088319,5.00705758615461e-06,8.251595156157334,7.296147295591723,0.048642801360373425,1.1441250466827535
4.75,4.2,0.422,0.062,0.011,0.75,13.056914128724449,2.9099394555925535,0.22786944277380292,5.0762845669953104e-06,8.251595156157334,7.296147295850334,0.04294538843237179,0.8771723169686565
4.75,4.2,0.422,0.062,0.011,1.0,13.032535311676918,2.7666999818322613,0.22372580871410763,5.456906736269872e-06,8.251595156157334,7.296147296282665,0.0385,0.6979676810319515
4.75,4.2,0.422,0.062,0.011,1.25,13.016142367821026,2.6632809128667576,0.2206807833710024,5.93880800492055e-06,8.251595156157334,7.296147296034541,0.034967030444081657,0.5760070625818042
4.75,4.2,0.422,0.062,0.011,1.5,13.004826955659663,2.5872409169068384,0.2183478966689236,6.432002529260664e-06,8.251595156157334,7.296147295755667,0.032110118593648415,0.4917469553040732
4.75,4.2,0.422,0.062,0.011,1.75,12.99683241472117,2.530312710653584,0.2165017845468941,6.899695619614742e-06,8.251595156157334,7.2961472960054525,0.029762649237113078,0.4321134690809946
4.75,4.2,0.422,0.062,0.011,2.0,12.991068087384736,2.486951017357931,0.21500304992110486,7.328821888833922e-06,8.251595156157334,7.296147295946809,0.027805555555555552,0.38867954026082546
4.75,4.2,0.422,0.062,0.011,2.25,12.986838516925264,2.453388165996326,0.21376108018518958,7.716788664386028e-06,8.251595156157334,7.296147295961032,0.02615251694213973,0.3561027955637512
4.75,4.2,0.422,0.062,0.011,2.5,12.983688824558438,2.4270253873686563,0.21271448353362588,8.065427444445532e-06,8.251595156157334,7.296147296083785,0.024740017170649865,0.33098281583560907
4.75,4.2,0.422,0.062,0.011,2.75,12.981314278947343,2.406040914374427,0.21182019694850426,8.378225853855007e-06,8.251595156157334,7.296147295930077,0.023520612707451875,0.3111210844884843
