label,theta12,theta23,theta13,J,absJ,loss,delta_theta12,delta_theta23,delta_theta13,delta_J,unitarity_defect,kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13
base_best,13.150166023996354,2.5579176316155636,0.2215113130081917,3.0323787206743003e-05,3.0323787206743003e-05,0.3882024025945846,0.15016602399635381,0.1579176316155637,0.01151131300819172,3.237872067430018e-07,5.306230315376659e-16,0.42,2.3,0.23,0.015,0.42,0.16,0.28
ablate_a23_r,13.15312298658478,1.4867021732192258,0.3187089072530808,2.3496031056981226e-05,2.3496031056981226e-05,11.292815301061296,0.15312298658477985,-0.9132978267807741,0.10870890725308083,-6.503968943018775e-06,3.8635586631469526e-16,0.42,2.3,0.23,0.015,0.0,0.16,0.28
ablate_a23_i,13.151624249038159,2.082224150716715,0.04909246882287935,6.857946727747283e-06,6.857946727747283e-06,6.330590719122469,0.15162424903815896,-0.31777584928328473,-0.16090753117712064,-2.3142053272252718e-05,2.7287867470295393e-16,0.42,2.3,0.23,0.015,0.42,0.0,0.28
ablate_a13,13.150238133005658,2.521813572322826,0.2905771858102738,-6.283335723424044e-07,6.283335723424044e-07,2.9950300006342214,0.15023813300565791,0.12181357232282597,0.08057718581027382,-2.9371666427657596e-05,2.57260865927441e-16,0.42,2.3,0.23,0.015,0.42,0.16,0.0
force_p1,13.048325304857482,5.619555504831324,0.5363752435446296,7.450642469695144e-05,7.450642469695144e-05,135.78750049728063,0.048325304857481655,3.2195555048313245,0.32637524354462966,4.4506424696951445e-05,3.9264492072528045e-16,0.42,1.0,0.23,0.015,0.42,0.16,0.28
force_p0,12.70165883090701,10.643975379246758,1.1878772124252477,0.00021342714421261968,0.00021342714421261968,972.2060541686534,-0.29834116909298913,8.243975379246757,0.9778772124252477,0.0001834271442126197,2.612933533952357e-16,0.42,0.0,0.23,0.015,0.42,0.16,0.28
