N_gen,kappa0,chi_width,chi_maximag,chi_finalimag,chi_kappa,width_mean,gap_min_mean,chi_fit,instability_simple,instability_full,gap_collapse_factor,log_instability_full,obs_gen,m_A_inv_gap,m_B_kappa,m_C_kappa_over_gap,m_D_instability,m_E_sqrt_instability,m_F_chi_kappa
3,16.8621025075229,4.384140230209897,13.934341506870275,6.644573388858006,73.92582196915433,0.0125243664136386,0.6816517645627681,4.47909749018532,108.4510094631275,475.4644335941716,1.4670247360709614,2.677118035739265,1,1.4670247360709614,16.8621025075229,24.737121480700278,475.4644335941716,21.805146951904995,73.92582196915433
4,47.10100408344988,3.803431541376269,12.746355791234455,5.580283375208023,179.1454445614857,0.0112547872729415,0.2621738612413332,3.737355432916781,683.3078008359531,2598.914442167917,3.8142627768658137,3.4147919824998696,2,3.8142627768658137,47.10100408344988,179.65560662850757,2598.914442167917,50.97954925426388,179.1454445614857
5,120.48090401739432,3.4654402777870663,12.368362897020182,5.219215115846326,417.5193774860758,0.0104681602484095,0.1134043641281479,3.1672051991474697,3681.6870382014167,12758.66655238976,8.818002796347338,4.105805287300488,3,8.818002796347338,120.48090401739432,1062.4009485318384,12758.66655238976,112.95426752624161,417.5193774860758
