# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983033768e+01 
       1.318525239892e-05       5.930165383782e+01 
       1.659924930592e-05       7.408252295139e+01 
       2.089721676792e-05       9.254736088999e+01 
       2.630803722491e-05       1.156142276295e+02 
       3.311985659687e-05       1.444298326342e+02 
       4.169542910477e-05       1.804263567944e+02 
       5.249143525566e-05       2.253922703005e+02 
       6.608280174490e-05       2.815604484684e+02 
       8.319331839921e-05       3.517176478278e+02 
       1.047341826243e-04       4.393399378426e+02 
       1.318525239892e-04       5.487594191065e+02 
       1.659924930592e-04       6.853676949515e+02 
       2.089721676792e-04       8.558608874519e+02 
       2.630803722491e-04       1.068528675710e+03 
       3.311985659687e-04       1.333584745168e+03 
       4.169542910477e-04       1.663527312248e+03 
       5.249143525566e-04       2.073506650512e+03 
       6.608280174490e-04       2.581663347405e+03 
       8.319331839921e-04       3.209379302010e+03 
       1.047341826243e-03       3.981311802989e+03 
       1.318525239892e-03       4.924921210193e+03 
       1.659924930592e-03       6.068964411578e+03 
       2.089721676792e-03       7.441346094084e+03 
       2.630803722491e-03       9.064571162811e+03 
       3.311985659687e-03       1.094947393457e+04 
       4.169542910477e-03       1.308621094648e+04 
       5.249143525566e-03       1.543228421384e+04 
       6.608280174490e-03       1.789864796251e+04 
       8.319331839921e-03       2.033376052407e+04 
       1.047341826243e-02       2.250622415478e+04 
       1.318525239892e-02       2.409799185644e+04 
       1.659924930589e-02       2.471666845155e+04 
       2.089721660966e-02       2.397862551882e+04 
       2.630791517064e-02       2.170215873719e+04 
       3.310278266545e-02       1.822987328760e+04 
       4.112178767552e-02       1.474173798098e+04 
       4.790628827007e-02       1.272389797015e+04 
       5.282242665187e-02       1.172270234202e+04 
       5.687266276680e-02       1.109205254181e+04 
       6.048713924368e-02       1.061353339684e+04 
       6.385726918410e-02       1.019408423844e+04 
       6.708422356736e-02       9.790391375205e+03 
       7.022860457005e-02       9.376544926392e+03 
       7.333018959056e-02       8.942181865148e+03 
       7.641699559410e-02       8.484368030884e+03 
       7.950991500338e-02       8.006300867598e+03 
       8.262529000559e-02       7.516751744152e+03 
       8.577643711185e-02       7.027098016532e+03 
       8.897459779263e-02       6.550319588329e+03 
       9.222955666815e-02       6.099205918791e+03 
       9.555005766204e-02       5.684887387114e+03 
       9.894409227589e-02       5.316078053367e+03 
       1.024191040344e-01       4.997693512147e+03 
       1.059821362664e-01       4.730347648411e+03 
       1.096399405347e-01       4.511010584311e+03 
       1.133990570783e-01       4.331069820585e+03 
       1.172658749375e-01       4.180195853375e+03 
       1.212466770795e-01       4.044398096307e+03 
       1.253476743179e-01       3.909068017694e+03 
       1.295750308144e-01       3.760877668055e+03 
       1.339348832875e-01       3.590546294134e+03 
       1.384333556058e-01       3.394791914777e+03 
       1.430765701509e-01       3.177594140809e+03 
       1.478706571398e-01       2.949355178247e+03 
       1.528217629711e-01       2.724214344639e+03 
       1.579360585777e-01       2.516909492236e+03 
       1.632197487220e-01       2.338891405096e+03 
       1.686790831324e-01       2.195194021625e+03 
       1.743203703668e-01       2.083752841594e+03 
       1.801499952696e-01       1.995686616958e+03 
       1.861744408844e-01       1.917811153612e+03 
       1.924003156767e-01       1.836118946577e+03 
       1.988343869261e-01       1.739807899340e+03 
       2.054836211606e-01       1.626921312998e+03 
       2.123552325365e-01       1.505420438907e+03 
       2.194567401281e-01       1.387635352702e+03 
       2.267960351861e-01       1.284541928152e+03 
       2.343814595738e-01       1.201476111772e+03 
       2.422218968055e-01       1.137009591347e+03 
       2.503268774194e-01       1.082350006153e+03 
       2.587067008331e-01       1.026871066397e+03 
       2.673725763982e-01       9.642355735953e+02 
       2.763367871231e-01       8.953625367015e+02 
       2.856128805309e-01       8.273693107430e+02 
       2.952158924385e-01       7.682786860951e+02 
       3.051626111909e-01       7.203132643234e+02 
       3.154718922124e-01       6.794271020095e+02 
       3.261650358600e-01       6.392719489128e+02 
       3.372662458022e-01       5.961348238055e+02 
       3.488031909594e-01       5.523441188058e+02 
       3.608077021238e-01       5.123442132875e+02 
       3.733166457798e-01       4.781939193929e+02 
       3.863730339830e-01       4.472853941806e+02 
       4.000274529746e-01       4.164287501756e+02 
       4.143399285751e-01       3.854317751247e+02 
       4.293823999897e-01       3.565556753762e+02 
       4.452420566722e-01       3.305689686633e+02 
       4.620259246691e-01       3.060815709233e+02 
       4.798673037780e-01       2.818922464879e+02 
       4.989350181030e-01       2.588370848350e+02 
       5.194470707474e-01       2.375267760478e+02 
       5.416914282045e-01       2.168509311741e+02 
       5.660588009166e-01       1.968475587417e+02 
       5.930965292408e-01       1.777937103278e+02 
       6.236015761018e-01       1.591300281598e+02 
       6.587904759211e-01       1.409210163838e+02 
       7.006315492442e-01       1.228285080259e+02 
       7.525461085357e-01       1.046339653741e+02 
       8.210079804976e-01       8.593998222699e+01 
       9.193237378170e-01       6.639465062660e+01 
       1.074684017740e+00       4.630457324265e+01 
       1.322179872172e+00       2.849582993952e+01 
       1.661679345453e+00       1.653666517841e+01 
       2.091875609933e+00       9.475789339629e+00 
       2.633515156926e+00       5.386659576637e+00 
       3.315399153289e+00       3.039761939406e+00 
       4.173840244316e+00       1.704033856193e+00 
       5.254553548339e+00       9.494206254502e-01 
