# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982965730e+01 
       1.318525239892e-05       5.930165249324e+01 
       1.659924930592e-05       7.408252028856e+01 
       2.089721676792e-05       9.254735561279e+01 
       2.630803722491e-05       1.156142171902e+02 
       3.311985659687e-05       1.444298119633e+02 
       4.169542910477e-05       1.804263158601e+02 
       5.249143525566e-05       2.253921892363e+02 
       6.608280174490e-05       2.815602880070e+02 
       8.319331839921e-05       3.517173301380e+02 
       1.047341826243e-04       4.393393088813e+02 
       1.318525239892e-04       5.487581739807e+02 
       1.659924930592e-04       6.853652304107e+02 
       2.089721676792e-04       8.558560097548e+02 
       2.630803722491e-04       1.068519024259e+03 
       3.311985659687e-04       1.333565655072e+03 
       4.169542910477e-04       1.663489572935e+03 
       5.249143525566e-04       2.073432102488e+03 
       6.608280174490e-04       2.581516261376e+03 
       8.319331839921e-04       3.209089563336e+03 
       1.047341826243e-03       3.980742324117e+03 
       1.318525239892e-03       4.923805318570e+03 
       1.659924930592e-03       6.066786726119e+03 
       2.089721676792e-03       7.437119535870e+03 
       2.630803722491e-03       9.056427451650e+03 
       3.311985659687e-03       1.093393191863e+04 
       4.169542910477e-03       1.305691696509e+04 
       5.249143525566e-03       1.537795479583e+04 
       6.608280174490e-03       1.780003028815e+04 
       8.319331839921e-03       2.015960191396e+04 
       1.047341826243e-02       2.220970854825e+04 
       1.318525239892e-02       2.361713888903e+04 
       1.659924930589e-02       2.398694673516e+04 
       2.089721660966e-02       2.296400317978e+04 
       2.630791517064e-02       2.044213926693e+04 
       3.310278266545e-02       1.685389060777e+04 
       4.112178767552e-02       1.339435977960e+04 
       4.790628827007e-02       1.144004326609e+04 
       5.282242665187e-02       1.048245034748e+04 
       5.687266276680e-02       9.885519635119e+03 
       6.048713924368e-02       9.438493567649e+03 
       6.385726918410e-02       9.052848911666e+03 
       6.708422356736e-02       8.686671780150e+03 
       7.022860457005e-02       8.316138204727e+03 
       7.333018959056e-02       7.930136434627e+03 
       7.641699559410e-02       7.525579716747e+03 
       7.950991500338e-02       7.105020917093e+03 
       8.262529000559e-02       6.675654120460e+03 
       8.577643711185e-02       6.246901452823e+03 
       8.897459779263e-02       5.829934908406e+03 
       9.222955666815e-02       5.435829130806e+03 
       9.555005766204e-02       5.074656487986e+03 
       9.894409227589e-02       4.753771736972e+03 
       1.024191040344e-01       4.477743836657e+03 
       1.059821362664e-01       4.247225116170e+03 
       1.096399405347e-01       4.059251431903e+03 
       1.133990570783e-01       3.907078117997e+03 
       1.172658749375e-01       3.780406773681e+03 
       1.212466770795e-01       3.667543821812e+03 
       1.253476743179e-01       3.554577009562e+03 
       1.295750308144e-01       3.429813535943e+03 
       1.339348832875e-01       3.284294335310e+03 
       1.384333556058e-01       3.114854381591e+03 
       1.430765701509e-01       2.924822977046e+03 
       1.478706571398e-01       2.723448940368e+03 
       1.528217629711e-01       2.523941379816e+03 
       1.579360585777e-01       2.339741652745e+03 
       1.632197487220e-01       2.181555680753e+03 
       1.686790831324e-01       2.054658092449e+03 
       1.743203703668e-01       1.957015581027e+03 
       1.801499952696e-01       1.880670342392e+03 
       1.861744408844e-01       1.813630291752e+03 
       1.924003156767e-01       1.742361749561e+03 
       1.988343869261e-01       1.656521673264e+03 
       2.054836211606e-01       1.554353851751e+03 
       2.123552325365e-01       1.443045660645e+03 
       2.194567401281e-01       1.334578078891e+03 
       2.267960351861e-01       1.239376903106e+03 
       2.343814595738e-01       1.162960999778e+03 
       2.422218968055e-01       1.103985591496e+03 
       2.503268774194e-01       1.054131593594e+03 
       2.587067008331e-01       1.003066803882e+03 
       2.673725763982e-01       9.446238583385e+02 
       2.763367871231e-01       8.795951523614e+02 
       2.856128805309e-01       8.150399086612e+02 
       2.952158924385e-01       7.588315134883e+02 
       3.051626111909e-01       7.132704288499e+02 
       3.154718922124e-01       6.744533949267e+02 
       3.261650358600e-01       6.361109745340e+02 
       3.372662458022e-01       5.945564408391e+02 
       3.488031909594e-01       5.521060165984e+02 
       3.608077021238e-01       5.132206352902e+02 
       3.733166457798e-01       4.799774598135e+02 
       3.863730339830e-01       4.498670839887e+02 
       4.000274529746e-01       4.196340276628e+02 
       4.143399285751e-01       3.891137013058e+02 
       4.293823999897e-01       3.605988405787e+02 
       4.452420566722e-01       3.348887849327e+02 
       4.620259246691e-01       3.105926626913e+02 
       4.798673037780e-01       2.865007066589e+02 
       4.989350181030e-01       2.634733132055e+02 
       5.194470707474e-01       2.421430855102e+02 
       5.416914282045e-01       2.213851638422e+02 
       5.660588009166e-01       2.012484592275e+02 
       5.930965292408e-01       1.820133946105e+02 
       6.236015761018e-01       1.631509643183e+02 
       6.587904759211e-01       1.446805853383e+02 
       7.006315492442e-01       1.262705072380e+02 
       7.525461085357e-01       1.077200731400e+02 
       8.210079804976e-01       8.860824976339e+01 
       9.193237378170e-01       6.856765214188e+01 
       1.074684017740e+00       4.790370038134e+01 
       1.322179872172e+00       2.952841333198e+01 
       1.661679345453e+00       1.715639436304e+01 
       2.091875609933e+00       9.838472538748e+00 
       2.633515156926e+00       5.595629790624e+00 
       3.315399153289e+00       3.158568967141e+00 
       4.173840244316e+00       1.770992602240e+00 
       5.254553548339e+00       9.868511547518e-01 
