# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.648406199995e-10       7.614430337724e-15       2.361576901149e-13       0.000000000000e+00       8.346714111533e-11       8.210068374092e-12      -7.436011589454e-15 
   41       1.673008121280e-10       8.271803120179e-15       2.268711797482e-13       0.000000000000e+00       7.933248183908e-11       7.832145340401e-12      -6.839055627689e-15 
   42       1.697886010206e-10       8.964458546973e-15       2.161870955300e-13       0.000000000000e+00       7.547379765234e-11       7.480988382455e-12      -6.484859467548e-15 
   43       1.723037525359e-10       9.692938986223e-15       2.041516550159e-13       0.000000000000e+00       7.184931080622e-11       7.150392036182e-12      -6.492170808863e-15 
   44       1.748489264557e-10       1.045787742704e-14       1.907249380674e-13       0.000000000000e+00       6.845337574338e-11       6.839410830580e-12      -6.812959589859e-15 
   45       1.774254123678e-10       1.125991142018e-14       1.758378213803e-13       0.000000000000e+00       6.528247844404e-11       6.547854433773e-12      -7.335086568799e-15 
   46       1.800313214337e-10       1.209964955661e-14       1.594133635374e-13       0.000000000000e+00       6.232170511723e-11       6.274518224445e-12      -7.920567672837e-15 
   47       1.826612950258e-10       1.297767039605e-14       1.413662330333e-13       0.000000000000e+00       5.954385372274e-11       6.017103390716e-12      -8.404059261906e-15 
   48       1.853090271386e-10       1.389447056968e-14       1.216163826938e-13       0.000000000000e+00       5.691779656734e-11       5.772943809827e-12      -8.638461874217e-15 
   49       1.879763522716e-10       1.485029428914e-14       1.001359656834e-13       0.000000000000e+00       5.443842874058e-11       5.541615416428e-12      -8.650467095502e-15 
   50       1.906662187158e-10       1.584525393731e-14       7.691466182763e-14       0.000000000000e+00       5.210363527143e-11       5.322925104149e-12      -8.526254960899e-15 
   51       1.933799542800e-10       1.687937312366e-14       5.194673695639e-14       0.000000000000e+00       4.990537089295e-11       5.116130379562e-12      -8.369071081317e-15 
