# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982998464e+01 
       1.318525239892e-05       5.930165314014e+01 
       1.659924930592e-05       7.408252156969e+01 
       2.089721676792e-05       9.254735815174e+01 
       2.630803722491e-05       1.156142222127e+02 
       3.311985659687e-05       1.444298219084e+02 
       4.169542910477e-05       1.804263355543e+02 
       5.249143525566e-05       2.253922282376e+02 
       6.608280174490e-05       2.815603652076e+02 
       8.319331839921e-05       3.517174829835e+02 
       1.047341826243e-04       4.393396114839e+02 
       1.318525239892e-04       5.487587730277e+02 
       1.659924930592e-04       6.853664161302e+02 
       2.089721676792e-04       8.558583564572e+02 
       2.630803722491e-04       1.068523667609e+03 
       3.311985659687e-04       1.333574839245e+03 
       4.169542910477e-04       1.663507728718e+03 
       5.249143525566e-04       2.073467964922e+03 
       6.608280174490e-04       2.581587014813e+03 
       8.319331839921e-04       3.209228923613e+03 
       1.047341826243e-03       3.981016191981e+03 
       1.318525239892e-03       4.924341826882e+03 
       1.659924930592e-03       6.067833314069e+03 
       2.089721676792e-03       7.439149520188e+03 
       2.630803722491e-03       9.060334898210e+03 
       3.311985659687e-03       1.094137733768e+04 
       4.169542910477e-03       1.307091510418e+04 
       5.249143525566e-03       1.540381354122e+04 
       6.608280174490e-03       1.784667516914e+04 
       8.319331839921e-03       2.024116222863e+04 
       1.047341826243e-02       2.234644564222e+04 
       1.318525239892e-02       2.383363465241e+04 
       1.659924930589e-02       2.430359281822e+04 
       2.089721660966e-02       2.338009937573e+04 
       2.630791517064e-02       2.091638651757e+04 
       3.310278266545e-02       1.731196449346e+04 
       4.112178767552e-02       1.377482730346e+04 
       4.790628827007e-02       1.175218190555e+04 
       5.282242665187e-02       1.075136932182e+04 
       5.687266276680e-02       1.012306915451e+04 
       6.048713924368e-02       9.650073047727e+03 
       6.385726918410e-02       9.241421910283e+03 
       6.708422356736e-02       8.854280109276e+03 
       7.022860457005e-02       8.464215569136e+03 
       7.333018959056e-02       8.059578344641e+03 
       7.641699559410e-02       7.637677714012e+03 
       7.950991500338e-02       7.200862752287e+03 
       8.262529000559e-02       6.756589459830e+03 
       8.577643711185e-02       6.314580754547e+03 
       8.897459779263e-02       5.885216252297e+03 
       9.222955666815e-02       5.480510114251e+03 
       9.555005766204e-02       5.110120498714e+03 
       9.894409227589e-02       4.781298391438e+03 
       1.024191040344e-01       4.498468093864e+03 
       1.059821362664e-01       4.262083589479e+03 
       1.096399405347e-01       4.069065178451e+03 
       1.133990570783e-01       3.912332066439e+03 
       1.172658749375e-01       3.781621258194e+03 
       1.212466770795e-01       3.665099059040e+03 
       1.253476743179e-01       3.548824834145e+03 
       1.295750308144e-01       3.421123042238e+03 
       1.339348832875e-01       3.273077700620e+03 
       1.384333556058e-01       3.101577240119e+03 
       1.430765701509e-01       2.909979977857e+03 
       1.478706571398e-01       2.707499932408e+03 
       1.528217629711e-01       2.507278792629e+03 
       1.579360585777e-01       2.322631151299e+03 
       1.632197487220e-01       2.164114386475e+03 
       1.686790831324e-01       2.036782943091e+03 
       1.743203703668e-01       1.938868264616e+03 
       1.801499952696e-01       1.862126683997e+03 
       1.861744408844e-01       1.794728930414e+03 
       1.924003156767e-01       1.723322368487e+03 
       1.988343869261e-01       1.637537687940e+03 
       2.054836211606e-01       1.535791650818e+03 
       2.123552325365e-01       1.425168576936e+03 
       2.194567401281e-01       1.317457467989e+03 
       2.267960351861e-01       1.222973060229e+03 
       2.343814595738e-01       1.147127912029e+03 
       2.422218968055e-01       1.088543220770e+03 
       2.503268774194e-01       1.039028395696e+03 
       2.587067008331e-01       9.883737816194e+02 
       2.673725763982e-01       9.304887796147e+02 
       2.763367871231e-01       8.661796277611e+02 
       2.856128805309e-01       8.023852309531e+02 
       2.952158924385e-01       7.468484445286e+02 
       3.051626111909e-01       7.018375000403e+02 
       3.154718922124e-01       6.634851655376e+02 
       3.261650358600e-01       6.256154207169e+02 
       3.372662458022e-01       5.846342177018e+02 
       3.488031909594e-01       5.427884532893e+02 
       3.608077021238e-01       5.044647551080e+02 
       3.733166457798e-01       4.717287669953e+02 
       3.863730339830e-01       4.420406599535e+02 
       4.000274529746e-01       4.122694478559e+02 
       4.143399285751e-01       3.822279091027e+02 
       4.293823999897e-01       3.541670965479e+02 
       4.452420566722e-01       3.288712061895e+02 
       4.620259246691e-01       3.049727547272e+02 
       4.798673037780e-01       2.812835784020e+02 
       4.989350181030e-01       2.586455718477e+02 
       5.194470707474e-01       2.376787474301e+02 
       5.416914282045e-01       2.172813553549e+02 
       5.660588009166e-01       1.974974045440e+02 
       5.930965292408e-01       1.786109691542e+02 
       6.236015761018e-01       1.600657058741e+02 
       6.587904759211e-01       1.419305958244e+02 
       7.006315492442e-01       1.238684046473e+02 
       7.525461085357e-01       1.056604341441e+02 
       8.210079804976e-01       8.690508957649e+01 
       9.193237378170e-01       6.724230286076e+01 
       1.074684017740e+00       4.697230006257e+01 
       1.322179872172e+00       2.895115762583e+01 
       1.661679345453e+00       1.681964224545e+01 
       2.091875609933e+00       9.644855285077e+00 
       2.633515156926e+00       5.485264369699e+00 
       3.315399153289e+00       3.096291114913e+00 
       4.173840244316e+00       1.736044043572e+00 
       5.254553548339e+00       9.673824599270e-01 
