# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982885421e+01 
       1.318525239892e-05       5.930165090616e+01 
       1.659924930592e-05       7.408251714547e+01 
       2.089721676792e-05       9.254734938382e+01 
       2.630803722491e-05       1.156142048681e+02 
       3.311985659687e-05       1.444297875643e+02 
       4.169542910477e-05       1.804262675434e+02 
       5.249143525566e-05       2.253920935522e+02 
       6.608280174490e-05       2.815600986070e+02 
       8.319331839921e-05       3.517169551549e+02 
       1.047341826243e-04       4.393385664949e+02 
       1.318525239892e-04       5.487567043244e+02 
       1.659924930592e-04       6.853623214823e+02 
       2.089721676792e-04       8.558502526644e+02 
       2.630803722491e-04       1.068507633128e+03 
       3.311985659687e-04       1.333543125121e+03 
       4.169542910477e-04       1.663445036948e+03 
       5.249143525566e-04       2.073344139960e+03 
       6.608280174490e-04       2.581342743191e+03 
       8.319331839921e-04       3.208747866765e+03 
       1.047341826243e-03       3.980071063884e+03 
       1.318525239892e-03       4.922491033151e+03 
       1.659924930592e-03       6.064225162250e+03 
       2.089721676792e-03       7.432157940150e+03 
       2.630803722491e-03       9.046897871007e+03 
       3.311985659687e-03       1.091583610232e+04 
       4.169542910477e-03       1.302307770040e+04 
       5.249143525566e-03       1.531596555367e+04 
       6.608280174490e-03       1.768964959265e+04 
       8.319331839921e-03       1.997035493440e+04 
       1.047341826243e-02       2.190134677574e+04 
       1.318525239892e-02       2.314880393548e+04 
       1.659924930589e-02       2.333992264134e+04 
       2.089721660966e-02       2.217200788403e+04 
       2.630791517064e-02       1.960624977654e+04 
       3.310278266545e-02       1.610128362442e+04 
       4.112178767552e-02       1.279065703918e+04 
       4.790628827007e-02       1.094030185477e+04 
       5.282242665187e-02       1.003951022640e+04 
       5.687266276680e-02       9.480457860002e+03 
       6.048713924368e-02       9.062554223156e+03 
       6.385726918410e-02       8.702041352738e+03 
       6.708422356736e-02       8.358339656773e+03 
       7.022860457005e-02       8.009252189186e+03 
       7.333018959056e-02       7.644280994351e+03 
       7.641699559410e-02       7.260732806369e+03 
       7.950991500338e-02       6.860735411641e+03 
       8.262529000559e-02       6.451044275255e+03 
       8.577643711185e-02       6.040985053444e+03 
       8.897459779263e-02       5.641750924229e+03 
       9.222955666815e-02       5.263848381770e+03 
       9.555005766204e-02       4.917189169710e+03 
       9.894409227589e-02       4.609065968902e+03 
       1.024191040344e-01       4.343928782295e+03 
       1.059821362664e-01       4.122436982490e+03 
       1.096399405347e-01       3.942159326722e+03 
       1.133990570783e-01       3.796155103226e+03 
       1.172658749375e-01       3.675027173009e+03 
       1.212466770795e-01       3.566783552698e+03 
       1.253476743179e-01       3.458518784488e+03 
       1.295750308144e-01       3.338526912727e+03 
       1.339348832875e-01       3.198088215397e+03 
       1.384333556058e-01       3.034226915996e+03 
       1.430765701509e-01       2.850098894800e+03 
       1.478706571398e-01       2.654811241921e+03 
       1.528217629711e-01       2.461111273618e+03 
       1.579360585777e-01       2.282175126930e+03 
       1.632197487220e-01       2.128519130542e+03 
       1.686790831324e-01       2.005142847910e+03 
       1.743203703668e-01       1.910383269814e+03 
       1.801499952696e-01       1.836339377593e+03 
       1.861744408844e-01       1.771295539410e+03 
       1.924003156767e-01       1.702065896883e+03 
       1.988343869261e-01       1.618539943563e+03 
       2.054836211606e-01       1.519010811288e+03 
       2.123552325365e-01       1.410532791440e+03 
       2.194567401281e-01       1.304691744056e+03 
       2.267960351861e-01       1.211818321207e+03 
       2.343814595738e-01       1.137281612184e+03 
       2.422218968055e-01       1.079761317667e+03 
       2.503268774194e-01       1.031150222802e+03 
       2.587067008331e-01       9.813339382275e+02 
       2.673725763982e-01       9.242577694523e+02 
       2.763367871231e-01       8.607350971214e+02 
       2.856128805309e-01       7.976440201602e+02 
       2.952158924385e-01       7.427053665621e+02 
       3.051626111909e-01       6.981832049140e+02 
       3.154718922124e-01       6.602432414584e+02 
       3.261650358600e-01       6.227493478055e+02 
       3.372662458022e-01       5.821545343773e+02 
       3.488031909594e-01       5.406040603546e+02 
       3.608077021238e-01       5.025629065010e+02 
       3.733166457798e-01       4.700645766543e+02 
       3.863730339830e-01       4.405817152065e+02 
       4.000274529746e-01       4.109982822834e+02 
       4.143399285751e-01       3.811275015481e+02 
       4.293823999897e-01       3.532158770559e+02 
       4.452420566722e-01       3.280484688434e+02 
       4.620259246691e-01       3.042640683570e+02 
       4.798673037780e-01       2.806763013161e+02 
       4.989350181030e-01       2.581283264826e+02 
       5.194470707474e-01       2.372396863011e+02 
       5.416914282045e-01       2.169118165424e+02 
       5.660588009166e-01       1.971894674571e+02 
       5.930965292408e-01       1.783569989957e+02 
       6.236015761018e-01       1.598596203856e+02 
       6.587904759211e-01       1.417666852219e+02 
       7.006315492442e-01       1.237417918177e+02 
       7.525461085357e-01       1.055667183660e+02 
       8.210079804976e-01       8.684025499022e+01 
       9.193237378170e-01       6.720224536468e+01 
       1.074684017740e+00       4.695179737160e+01 
       1.322179872172e+00       2.894279910797e+01 
       1.661679345453e+00       1.681656456286e+01 
       2.091875609933e+00       9.643740581953e+00 
       2.633515156926e+00       5.484847689782e+00 
       3.315399153289e+00       3.096148716797e+00 
       4.173840244316e+00       1.735993661865e+00 
       5.254553548339e+00       9.673647514771e-01 
