# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652474110820e-10       7.656479145775e-15       2.360641935682e-13       0.000000000000e+00       8.505911742293e-11       8.857920020051e-12      -7.425423801626e-15 
   41       1.677393727119e-10       8.317585207250e-15       2.266200782398e-13       0.000000000000e+00       8.085486644403e-11       8.446085544093e-12      -6.842053737526e-15 
   42       1.702499424098e-10       9.014142937753e-15       2.157836069661e-13       0.000000000000e+00       7.693054142058e-11       8.062531377191e-12      -6.508378829489e-15 
   43       1.727687657608e-10       9.746609380371e-15       2.036345332413e-13       0.000000000000e+00       7.324381083107e-11       7.704764596764e-12      -6.535351925269e-15 
   44       1.753005968841e-10       1.051564283080e-14       1.901269616508e-13       0.000000000000e+00       6.978900464002e-11       7.371961456505e-12      -6.873839984145e-15 
   45       1.778532067312e-10       1.132194530795e-14       1.751719170561e-13       0.000000000000e+00       6.656260617675e-11       7.062821483158e-12      -7.412600738996e-15 
   46       1.804326380851e-10       1.216620217717e-14       1.586683664300e-13       0.000000000000e+00       6.354951813896e-11       6.774685158447e-12      -8.014763615570e-15 
   47       1.830429982276e-10       1.304908177943e-14       1.405024026215e-13       0.000000000000e+00       6.072215967321e-11       6.503432050658e-12      -8.516327987089e-15 
   48       1.856864435404e-10       1.397114712891e-14       1.205698593100e-13       0.000000000000e+00       5.804895796704e-11       6.244670742795e-12      -8.770992501843e-15 
   49       1.883636119480e-10       1.493256243679e-14       9.885359873513e-14       0.000000000000e+00       5.552476036820e-11       5.997942952761e-12      -8.803090247790e-15 
   50       1.910729561548e-10       1.593330322305e-14       7.536660804880e-14       0.000000000000e+00       5.314744375245e-11       5.763529481801e-12      -8.695183971019e-15 
   51       1.938103696774e-10       1.697323228763e-14       5.013084018489e-14       0.000000000000e+00       5.090885531468e-11       5.541226811810e-12      -8.546339818846e-15 
   52       1.965689893047e-10       1.805209485336e-14       2.317759309339e-14       0.000000000000e+00       4.879438896130e-11       5.330311144904e-12      -8.472989424667e-15 
   53       1.993418634872e-10       1.916963721454e-14      -5.465969229565e-15       0.000000000000e+00       4.678757219531e-11       5.129850280936e-12      -8.579089478663e-15 
   54       2.021312177712e-10       2.032600968189e-14      -3.582219572809e-14       0.000000000000e+00       4.488618658863e-11       4.939816178587e-12      -8.855607586671e-15 
   55       2.049412276214e-10       2.152145878677e-14      -6.792857723184e-14       0.000000000000e+00       4.308955428646e-11       4.760195807521e-12      -9.256692408627e-15 
   56       2.077752854044e-10       2.275621315907e-14      -1.018251069243e-13       0.000000000000e+00       4.139368163665e-11       4.590647457110e-12      -9.727698135397e-15 
   57       2.106359230140e-10       2.403048384850e-14      -1.375544821659e-13       0.000000000000e+00       3.979104566561e-11       4.430479360404e-12      -1.020475925647e-14 
   58       2.135247344965e-10       2.534446464594e-14      -1.751623063163e-13       0.000000000000e+00       3.827038055421e-11       4.278628318105e-12      -1.061436532768e-14 
   59       2.164426913943e-10       2.669821439414e-14      -2.146843435155e-13       0.000000000000e+00       3.681977866328e-11       4.133947642242e-12      -1.089090136186e-14 
   60       2.193913500312e-10       2.809127127428e-14      -2.561043683167e-13       0.000000000000e+00       3.543731951927e-11       3.996197622579e-12      -1.103499149895e-14 
   61       2.223717883437e-10       2.952294935398e-14      -2.993868667799e-13       0.000000000000e+00       3.412253620883e-11       3.865247705693e-12      -1.106797701492e-14 
   62       2.253841750586e-10       3.099244511821e-14      -3.444888906334e-13       0.000000000000e+00       3.287321876008e-11       3.740776731203e-12      -1.101532202876e-14 
   63       2.284277056301e-10       3.249883379022e-14      -3.913598202135e-13       0.000000000000e+00       3.168531297615e-11       3.622262041156e-12      -1.090679727438e-14 
   64       2.315005381775e-10       3.404106565256e-14      -4.399411274045e-13       0.000000000000e+00       3.055281926862e-11       3.508968589415e-12      -1.077666387244e-14 
   65       2.346007076680e-10       3.561808053694e-14      -4.901789548797e-13       0.000000000000e+00       2.946944809015e-11       3.400151064787e-12      -1.065612916087e-14 
   66       2.377292373876e-10       3.722918773981e-14      -5.420654827242e-13       0.000000000000e+00       2.843422095850e-11       3.295734475818e-12      -1.054844438000e-14 
   67       2.408875738557e-10       3.887376022745e-14      -5.956059246657e-13       0.000000000000e+00       2.744687829294e-11       3.195758659984e-12      -1.044884603453e-14 
   68       2.440766307116e-10       4.055112320012e-14      -6.508066039823e-13       0.000000000000e+00       2.650617642602e-11       3.100173148373e-12      -1.035178668322e-14 
   69       2.472967520157e-10       4.226055371845e-14      -7.076750749407e-13       0.000000000000e+00       2.560983557268e-11       3.008832233493e-12      -1.025090254461e-14 
   70       2.505476755509e-10       4.400128032980e-14      -7.662202442337e-13       0.000000000000e+00       2.475448779946e-11       2.921490037082e-12      -1.013898110266e-14 
   71       2.538284961228e-10       4.577248269468e-14      -8.264524924189e-13       0.000000000000e+00       2.393562499364e-11       2.837795577925e-12      -1.000792871245e-14 
   72       2.571382501044e-10       4.757325643150e-14      -8.883753093632e-13       0.000000000000e+00       2.314875846406e-11       2.757387837156e-12      -9.851183504005e-15 
   73       2.604778805201e-10       4.940250066864e-14      -9.519580719261e-13       0.000000000000e+00       2.239327105689e-11       2.680213040232e-12      -9.671562282006e-15 
   74       2.638485845945e-10       5.125900813234e-14      -1.017158236083e-12       0.000000000000e+00       2.166921386808e-11       2.606259647539e-12      -9.474868309214e-15 
   75       2.672512037982e-10       5.314149686804e-14      -1.083929288856e-12       0.000000000000e+00       2.097613617332e-11       2.535461149014e-12      -9.267602501194e-15 
   76       2.706862013327e-10       5.504860907268e-14      -1.152220676006e-12       0.000000000000e+00       2.031306106008e-11       2.467693415008e-12      -9.056986860713e-15 
   77       2.741536396146e-10       5.697890992699e-14      -1.221977729729e-12       0.000000000000e+00       1.967846105952e-11       2.402772047141e-12      -8.850987912139e-15 
   78       2.776531577605e-10       5.893088642777e-14      -1.293141596346e-12       0.000000000000e+00       1.907023377853e-11       2.340449729166e-12      -8.658340135844e-15 
   79       2.811839490716e-10       6.090294622019e-14      -1.365649164001e-12       0.000000000000e+00       1.848567753169e-11       2.280413577821e-12      -8.488569402605e-15 
   80       2.847452039970e-10       6.289346893027e-14      -1.439438413816e-12       0.000000000000e+00       1.792216238798e-11       2.222362653674e-12      -8.349748423158e-15 
   81       2.883375771515e-10       6.490097299761e-14      -1.514465702663e-12       0.000000000000e+00       1.737933113003e-11       2.166261823913e-12      -8.241262631093e-15 
   82       2.919619351597e-10       6.692397581981e-14      -1.590691363878e-12       0.000000000000e+00       1.685723783206e-11       2.112127357256e-12      -8.159824877220e-15 
   83       2.956189001246e-10       6.896094363322e-14      -1.668074578080e-12       0.000000000000e+00       1.635567508206e-11       2.059949533059e-12      -8.101613549846e-15 
   84       2.993088357317e-10       7.101029131747e-14      -1.746573401300e-12       0.000000000000e+00       1.587416249173e-11       2.009691476612e-12      -8.062254009450e-15 
   85       3.030318333543e-10       7.307038219996e-14      -1.826144793106e-12       0.000000000000e+00       1.541193520659e-11       1.961287994448e-12      -8.036800023373e-15 
   86       3.067876981575e-10       7.513952786040e-14      -1.906744644735e-12       0.000000000000e+00       1.496793241595e-11       1.914644409641e-12      -8.019715200492e-15 
   87       3.105759352030e-10       7.721598793532e-14      -1.988327807218e-12       0.000000000000e+00       1.454078586300e-11       1.869635397113e-12      -8.004854425907e-15 
   88       3.143957355537e-10       7.929796992258e-14      -2.070848119512e-12       0.000000000000e+00       1.412880835476e-11       1.826103818934e-12      -7.985445295619e-15 
   89       3.182462876375e-10       8.138365402440e-14      -2.154256972687e-12       0.000000000000e+00       1.373039558302e-11       1.783899508162e-12      -7.955541579399e-15 
   90       3.221277976037e-10       8.347127256857e-14      -2.238498683067e-12       0.000000000000e+00       1.334532886981e-11       1.743005131515e-12      -7.914685374291e-15 
   91       3.260406041707e-10       8.555904274367e-14      -2.323514441735e-12       0.000000000000e+00       1.297365656179e-11       1.703428016456e-12      -7.863945488529e-15 
   92       3.299848587192e-10       8.764514284671e-14      -2.409243719966e-12       0.000000000000e+00       1.261529368746e-11       1.665161401962e-12      -7.804513956814e-15 
   93       3.339605162694e-10       8.972771246279e-14      -2.495624275428e-12       0.000000000000e+00       1.227001665922e-11       1.628183872302e-12      -7.737709527854e-15 
   94       3.379673264584e-10       9.180485264474e-14      -2.582592158373e-12       0.000000000000e+00       1.193745797523e-11       1.592458790824e-12      -7.664981151904e-15 
   95       3.420048245176e-10       9.387462609269e-14      -2.670081717840e-12       0.000000000000e+00       1.161710092140e-11       1.557933733734e-12      -7.587911468303e-15 
   96       3.460723222501e-10       9.593505733378e-14      -2.758025607848e-12       0.000000000000e+00       1.130827427336e-11       1.524539923883e-12      -7.508220293013e-15 
   97       3.501688990079e-10       9.798413290172e-14      -2.846354793593e-12       0.000000000000e+00       1.101014699839e-11       1.492191664547e-12      -7.427768106156e-15 
   98       3.542933926695e-10       1.000198015164e-13      -2.934998557644e-12       0.000000000000e+00       1.072172295735e-11       1.460785773210e-12      -7.348559539554e-15 
   99       3.584446892868e-10       1.020400208324e-13      -3.023885882636e-12       0.000000000000e+00       1.044206921742e-11       1.430226203381e-12      -7.272341418540e-15 
  100       3.626226583400e-10       1.040429048508e-13      -3.112949809402e-12       0.000000000000e+00       1.017104934143e-11       1.400503113249e-12      -7.199324385741e-15 
  101       3.668273338089e-10       1.060265978181e-13      -3.202123710517e-12       0.000000000000e+00       9.908684603649e-12       1.371623996664e-12      -7.129285842748e-15 
  102       3.710586219864e-10       1.079892302541e-13      -3.291339991464e-12       0.000000000000e+00       9.654927209857e-12       1.343589236625e-12      -7.061957832968e-15 
  103       3.753162960772e-10       1.099289196970e-13      -3.380530113519e-12       0.000000000000e+00       9.409657830960e-12       1.316391844376e-12      -6.997025614669e-15 
  104       3.795999907945e-10       1.118437714463e-13      -3.469624616629e-12       0.000000000000e+00       9.172683136583e-12       1.290017198499e-12      -6.934126234026e-15 
  105       3.839091969582e-10       1.137318793082e-13      -3.558553142295e-12       0.000000000000e+00       8.943733328667e-12       1.264442784005e-12      -6.872847098161e-15 
  106       3.882432560924e-10       1.155913263387e-13      -3.647244456457e-12       0.000000000000e+00       8.722459675065e-12       1.239637931426e-12      -6.812724548196e-15 
  107       3.926013550229e-10       1.174201855880e-13      -3.735626472367e-12       0.000000000000e+00       8.508432043145e-12       1.215563555908e-12      -6.753242432287e-15 
  108       3.969825204747e-10       1.192165208447e-13      -3.823626273480e-12       0.000000000000e+00       8.301136433379e-12       1.192171896305e-12      -6.693830678679e-15 
  109       4.013856136699e-10       1.209783873800e-13      -3.911170136328e-12       0.000000000000e+00       8.099972512947e-12       1.169406254269e-12      -6.633863868745e-15 
  110       4.058095220856e-10       1.227038809916e-13      -3.998184066784e-12       0.000000000000e+00       7.904388958634e-12       1.147214105032e-12      -6.572788393047e-15 
  111       4.102537742106e-10       1.243912906748e-13      -4.084595437752e-12       0.000000000000e+00       7.714314463310e-12       1.125588896540e-12      -6.510525476418e-15 
  112       4.147179937203e-10       1.260389669732e-13      -4.170331604859e-12       0.000000000000e+00       7.529777529845e-12       1.104533136314e-12      -6.447117300850e-15 
  113       4.192017059235e-10       1.276452766307e-13      -4.255319439422e-12       0.000000000000e+00       7.350772493315e-12       1.084045369951e-12      -6.382602871797e-15 
  114       4.237043342987e-10       1.292086038096e-13      -4.339485356374e-12       0.000000000000e+00       7.177258408998e-12       1.064120051625e-12      -6.317017854933e-15 
  115       4.282251970282e-10       1.307273513097e-13      -4.422755342190e-12       0.000000000000e+00       7.009157940357e-12       1.044747414602e-12      -6.250394412917e-15 
  116       4.327635035347e-10       1.321999417871e-13      -4.505054982817e-12       0.000000000000e+00       6.846356247032e-12       1.025913341748e-12      -6.182761042147e-15 
  117       4.373183510154e-10       1.336248189730e-13      -4.586309491598e-12       0.000000000000e+00       6.688699872828e-12       1.007599236039e-12      -6.114142409526e-15 
  118       4.418887209783e-10       1.350004488921e-13      -4.666443737199e-12       0.000000000000e+00       6.535995633704e-12       9.897818910693e-13      -6.044559189215e-15 
  119       4.464734757768e-10       1.363253210822e-13      -4.745382271537e-12       0.000000000000e+00       6.388009505758e-12       9.724333615616e-13      -5.974027899398e-15 
  120       4.510713551454e-10       1.375979498122e-13      -4.823049357709e-12       0.000000000000e+00       6.244465513220e-12       9.555208338770e-13      -5.902560739043e-15 
  121       4.556809727349e-10       1.388168753012e-13      -4.899368997912e-12       0.000000000000e+00       6.105044616440e-12       9.390064965242e-13      -5.830165424655e-15 
  122       4.603008126476e-10       1.399806649375e-13      -4.974264961380e-12       0.000000000000e+00       5.969383599872e-12       9.228474106690e-13      -5.756845027043e-15 
  123       4.649294121119e-10       1.410879621134e-13      -5.047661774987e-12       0.000000000000e+00       5.837153459613e-12       9.070055577721e-13      -5.682626441100e-15 
  124       4.695659406479e-10       1.421376364881e-13      -5.119487764462e-12       0.000000000000e+00       5.708307131423e-12       8.914795653381e-13      -5.607649846258e-15 
  125       4.742096812179e-10       1.431286533647e-13      -5.189672416814e-12       0.000000000000e+00       5.582858259011e-12       8.762763988168e-13      -5.532089263635e-15 
  126       4.788598480668e-10       1.440600291970e-13      -5.258145484079e-12       0.000000000000e+00       5.460803762041e-12       8.614014620162e-13      -5.456124904946e-15 
  127       4.835155847222e-10       1.449308331830e-13      -5.324837018818e-12       0.000000000000e+00       5.342123349614e-12       8.468585476834e-13      -5.379943234540e-15 
  128       4.881759619941e-10       1.457401888583e-13      -5.389677409621e-12       0.000000000000e+00       5.226779033739e-12       8.326497880863e-13      -5.303737031441e-15 
  129       4.928399759747e-10       1.464872756893e-13      -5.452597416605e-12       0.000000000000e+00       5.114714642814e-12       8.187756055947e-13      -5.227705451383e-15 
  130       4.975065460382e-10       1.471713306670e-13      -5.513528206919e-12       0.000000000000e+00       5.005855335100e-12       8.052346632621e-13      -5.152054088857e-15 
  131       5.021745128409e-10       1.477916499001e-13      -5.572401390241e-12       0.000000000000e+00       4.900107112201e-12       7.920238154063e-13      -5.076995039142e-15 
  132       5.068426363205e-10       1.483475902088e-13      -5.629149054284e-12       0.000000000000e+00       4.797356332535e-12       7.791380581913e-13      -5.002746960352e-15 
  133       5.115095936964e-10       1.488385707179e-13      -5.683703800292e-12       0.000000000000e+00       4.697469224817e-12       7.665704802086e-13      -4.929535135469e-15 
  134       5.161739774692e-10       1.492640744502e-13      -5.735998778545e-12       0.000000000000e+00       4.600291401533e-12       7.543122130582e-13      -4.857591534386e-15 
  135       5.208342934207e-10       1.496236499203e-13      -5.785967723858e-12       0.000000000000e+00       4.505647372415e-12       7.423523819303e-13      -4.787154875947e-15 
  136       5.254889586137e-10       1.499169127276e-13      -5.833544991084e-12       0.000000000000e+00       4.413340057919e-12       7.306780561864e-13      -4.718470689984e-15 
  137       5.301364375372e-10       1.501435749821e-13      -5.878666207180e-12       0.000000000000e+00       4.323192611277e-12       7.192768280150e-13      -4.651731262714e-15 
  138       5.347756706770e-10       1.503035336443e-13      -5.921270228423e-12       0.000000000000e+00       4.235179798834e-12       7.081449541636e-13      -4.586888327925e-15 
  139       5.394056867070e-10       1.503967943903e-13      -5.961297453975e-12       0.000000000000e+00       4.149309355662e-12       6.972799669287e-13      -4.523821020631e-15 
  140       5.440254672107e-10       1.504234463535e-13      -5.998689266548e-12       0.000000000000e+00       4.065580680861e-12       6.866780892420e-13      -4.462393938020e-15 
  141       5.486339455571e-10       1.503836638950e-13      -6.033388071808e-12       0.000000000000e+00       3.983984619578e-12       6.763342019325e-13      -4.402456819935e-15 
  142       5.532300057777e-10       1.502777083733e-13      -6.065337337797e-12       0.000000000000e+00       3.904503245026e-12       6.662418109885e-13      -4.343844229329e-15 
