# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983029487e+01 
       1.318525239892e-05       5.930165375321e+01 
       1.659924930592e-05       7.408252278384e+01 
       2.089721676792e-05       9.254736055794e+01 
       2.630803722491e-05       1.156142269726e+02 
       3.311985659687e-05       1.444298313335e+02 
       4.169542910477e-05       1.804263542187e+02 
       5.249143525566e-05       2.253922651998e+02 
       6.608280174490e-05       2.815604383717e+02 
       8.319331839921e-05       3.517176278379e+02 
       1.047341826243e-04       4.393398982665e+02 
       1.318525239892e-04       5.487593407591e+02 
       1.659924930592e-04       6.853675398736e+02 
       2.089721676792e-04       8.558605805262e+02 
       2.630803722491e-04       1.068528068389e+03 
       3.311985659687e-04       1.333583543886e+03 
       4.169542910477e-04       1.663524937331e+03 
       5.249143525566e-04       2.073501958937e+03 
       6.608280174490e-04       2.581654089803e+03 
       8.319331839921e-04       3.209361062879e+03 
       1.047341826243e-03       3.981275944899e+03 
       1.318525239892e-03       4.924850916735e+03 
       1.659924930592e-03       6.068827145704e+03 
       2.089721676792e-03       7.441079409036e+03 
       2.630803722491e-03       9.064056482602e+03 
       3.311985659687e-03       1.094848916761e+04 
       4.169542910477e-03       1.308434732336e+04 
       5.249143525566e-03       1.542880582807e+04 
       6.608280174490e-03       1.789227082021e+04 
       8.319331839921e-03       2.032232061570e+04 
       1.047341826243e-02       2.248627514350e+04 
       1.318525239892e-02       2.406444427900e+04 
       1.659924930589e-02       2.466297878092e+04 
       2.089721660966e-02       2.389775029664e+04 
       2.630791517064e-02       2.159026087666e+04 
       3.310278266545e-02       1.808874222331e+04 
       4.112178767552e-02       1.457893038674e+04 
       4.790628827007e-02       1.254721606343e+04 
       5.282242665187e-02       1.153650103355e+04 
       5.687266276680e-02       1.089846436524e+04 
       6.048713924368e-02       1.041415348494e+04 
       6.385726918410e-02       9.990705385170e+03 
       6.708422356736e-02       9.584848530143e+03 
       7.022860457005e-02       9.170849997786e+03 
       7.333018959056e-02       8.738396399430e+03 
       7.641699559410e-02       8.284346116461e+03 
       7.950991500338e-02       7.812060007457e+03 
       8.262529000559e-02       7.329753858524e+03 
       8.577643711185e-02       6.848394318357e+03 
       8.897459779263e-02       6.380713571169e+03 
       9.222955666815e-02       5.938797767726e+03 
       9.555005766204e-02       5.533566436704e+03 
       9.894409227589e-02       5.173331475016e+03 
       1.024191040344e-01       4.862744531663e+03 
       1.059821362664e-01       4.602424559953e+03 
       1.096399405347e-01       4.388739813193e+03 
       1.133990570783e-01       4.214316841156e+03 
       1.172658749375e-01       4.068372855079e+03 
       1.212466770795e-01       3.937254988503e+03 
       1.253476743179e-01       3.806866426170e+03 
       1.295750308144e-01       3.664220971737e+03 
       1.339348832875e-01       3.500154902656e+03 
       1.384333556058e-01       3.311435784343e+03 
       1.430765701509e-01       3.101802829101e+03 
       1.478706571398e-01       2.881287267725e+03 
       1.528217629711e-01       2.663695445624e+03 
       1.579360585777e-01       2.463367712495e+03 
       1.632197487220e-01       2.291443701681e+03 
       1.686790831324e-01       2.153116351154e+03 
       1.743203703668e-01       2.046180781908e+03 
       1.801499952696e-01       1.961930729979e+03 
       1.861744408844e-01       1.887747467841e+03 
       1.924003156767e-01       1.809719391690e+03 
       1.988343869261e-01       1.717019249125e+03 
       2.054836211606e-01       1.607804861711e+03 
       2.123552325365e-01       1.489786059618e+03 
       2.194567401281e-01       1.375190493414e+03 
       2.267960351861e-01       1.274780591000e+03 
       2.343814595738e-01       1.194041097603e+03 
       2.422218968055e-01       1.131576161446e+03 
       2.503268774194e-01       1.078703759789e+03 
       2.587067008331e-01       1.024849104198e+03 
       2.673725763982e-01       9.636761085220e+02 
       2.763367871231e-01       8.960723479165e+02 
       2.856128805309e-01       8.291452398870e+02 
       2.952158924385e-01       7.709512493080e+02 
       3.051626111909e-01       7.237608443735e+02 
       3.154718922124e-01       6.835493204987e+02 
       3.261650358600e-01       6.439529517987e+02 
       3.372662458022e-01       6.012547477074e+02 
       3.488031909594e-01       5.577190432590e+02 
       3.608077021238e-01       5.179283170704e+02 
       3.733166457798e-01       4.839185777687e+02 
       3.863730339830e-01       4.531556050637e+02 
       4.000274529746e-01       4.223588211456e+02 
       4.143399285751e-01       3.912980220041e+02 
       4.293823999897e-01       3.623405314064e+02 
       4.452420566722e-01       3.362570469567e+02 
       4.620259246691e-01       3.116346371007e+02 
       4.798673037780e-01       2.872650530403e+02 
       4.989350181030e-01       2.640040728120e+02 
       5.194470707474e-01       2.424747595958e+02 
       5.416914282045e-01       2.215521044071e+02 
       5.660588009166e-01       2.012802190493e+02 
       5.930965292408e-01       1.819363301964e+02 
       6.236015761018e-01       1.629889063411e+02 
       6.587904759211e-01       1.444550510571e+02 
       7.006315492442e-01       1.260015669547e+02 
       7.525461085357e-01       1.074279324862e+02 
       8.210079804976e-01       8.831395185003e+01 
       9.193237378170e-01       6.829511935631e+01 
       1.074684017740e+00       4.767998962975e+01 
       1.322179872172e+00       2.937136550320e+01 
       1.661679345453e+00       1.705714185119e+01 
       2.091875609933e+00       9.778578506259e+00 
       2.633515156926e+00       5.560527649452e+00 
       3.315399153289e+00       3.138390285220e+00 
       4.173840244316e+00       1.759550548950e+00 
       5.254553548339e+00       9.804282456168e-01 
