# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982982284e+01 
       1.318525239892e-05       5.930165282039e+01 
       1.659924930592e-05       7.408252093645e+01 
       2.089721676792e-05       9.254735689678e+01 
       2.630803722491e-05       1.156142197301e+02 
       3.311985659687e-05       1.444298169927e+02 
       4.169542910477e-05       1.804263258198e+02 
       5.249143525566e-05       2.253922089600e+02 
       6.608280174490e-05       2.815603270488e+02 
       8.319331839921e-05       3.517174074348e+02 
       1.047341826243e-04       4.393394619131e+02 
       1.318525239892e-04       5.487584769298e+02 
       1.659924930592e-04       6.853658300504e+02 
       2.089721676792e-04       8.558571965232e+02 
       2.630803722491e-04       1.068521372479e+03 
       3.311985659687e-04       1.333570299649e+03 
       4.169542910477e-04       1.663498754553e+03 
       5.249143525566e-04       2.073450238470e+03 
       6.608280174490e-04       2.581552041698e+03 
       8.319331839921e-04       3.209160037248e+03 
       1.047341826243e-03       3.980880814257e+03 
       1.318525239892e-03       4.924076610938e+03 
       1.659924930592e-03       6.067315909455e+03 
       2.089721676792e-03       7.438145842943e+03 
       2.630803722491e-03       9.058402626663e+03 
       3.311985659687e-03       1.093769452294e+04 
       4.169542910477e-03       1.306398816841e+04 
       5.249143525566e-03       1.539100922787e+04 
       6.608280174490e-03       1.782355583505e+04 
       8.319331839921e-03       2.020067577325e+04 
       1.047341826243e-02       2.227847326299e+04 
       1.318525239892e-02       2.372568714554e+04 
       1.659924930589e-02       2.414524993584e+04 
       2.089721660966e-02       2.317145734565e+04 
       2.630791517064e-02       2.067965175809e+04 
       3.310278266545e-02       1.708720207542e+04 
       4.112178767552e-02       1.359614870309e+04 
       4.790628827007e-02       1.161506388413e+04 
       5.282242665187e-02       1.064123350890e+04 
       5.687266276680e-02       1.003317282557e+04 
       6.048713924368e-02       9.576973818467e+03 
       6.385726918410e-02       9.183160313579e+03 
       6.708422356736e-02       8.809446310962e+03 
       7.022860457005e-02       8.431252296127e+03 
       7.333018959056e-02       8.037675873364e+03 
       7.641699559410e-02       7.625612080382e+03 
       7.950991500338e-02       7.197510384672e+03 
       8.262529000559e-02       6.760799121348e+03 
       8.577643711185e-02       6.325236204958e+03 
       8.897459779263e-02       5.901260829477e+03 
       9.222955666815e-02       5.501009958455e+03 
       9.555005766204e-02       5.134262821938e+03 
       9.894409227589e-02       4.808533129567e+03 
       1.024191040344e-01       4.528324408630e+03 
       1.059821362664e-01       4.294294230900e+03 
       1.096399405347e-01       4.103412902621e+03 
       1.133990570783e-01       3.948694468140e+03 
       1.172658749375e-01       3.819905286982e+03 
       1.212466770795e-01       3.705180289015e+03 
       1.253476743179e-01       3.590371478674e+03 
       1.295750308144e-01       3.463730227717e+03 
       1.339348832875e-01       3.316145514454e+03 
       1.384333556058e-01       3.144609985309e+03 
       1.430765701509e-01       2.952301238439e+03 
       1.478706571398e-01       2.748635656689e+03 
       1.528217629711e-01       2.546918391822e+03 
       1.579360585777e-01       2.360715054973e+03 
       1.632197487220e-01       2.200828062281e+03 
       1.686790831324e-01       2.072544292944e+03 
       1.743203703668e-01       1.973825454869e+03 
       1.801499952696e-01       1.896622103494e+03 
       1.861744408844e-01       1.828805974120e+03 
       1.924003156767e-01       1.756774373812e+03 
       1.988343869261e-01       1.670064387294e+03 
       2.054836211606e-01       1.566908374753e+03 
       2.123552325365e-01       1.454579468286e+03 
       2.194567401281e-01       1.345141501401e+03 
       2.267960351861e-01       1.249081987766e+03 
       2.343814595738e-01       1.171985606105e+03 
       2.422218968055e-01       1.112476360578e+03 
       2.503268774194e-01       1.062173260822e+03 
       2.587067008331e-01       1.010657940658e+03 
       2.673725763982e-01       9.517105429313e+02 
       2.763367871231e-01       8.861679410152e+02 
       2.856128805309e-01       8.210772246961e+02 
       2.952158924385e-01       7.644074196820e+02 
       3.051626111909e-01       7.184863698403e+02 
       3.154718922124e-01       6.793522195406e+02 
       3.261650358600e-01       6.407039657997e+02 
       3.372662458022e-01       5.988501924008e+02 
       3.488031909594e-01       5.560487904376e+02 
       3.608077021238e-01       5.168709144926e+02 
       3.733166457798e-01       4.833724366761e+02 
       3.863730339830e-01       4.530382562673e+02 
       4.000274529746e-01       4.226004649311e+02 
       4.143399285751e-01       3.918323842298e+02 
       4.293823999897e-01       3.631108291452e+02 
       4.452420566722e-01       3.372320450380e+02 
       4.620259246691e-01       3.127395368084e+02 
       4.798673037780e-01       2.884761960153e+02 
       4.989350181030e-01       2.652832322627e+02 
       5.194470707474e-01       2.438036378787e+02 
       5.416914282045e-01       2.228977899498e+02 
       5.660588009166e-01       2.026189125329e+02 
       5.930965292408e-01       1.832610150589e+02 
       6.236015761018e-01       1.642429620934e+02 
       6.587904759211e-01       1.456462211084e+02 
       7.006315492442e-01       1.271213104080e+02 
       7.525461085357e-01       1.084439339622e+02 
       8.210079804976e-01       8.920293605833e+01 
       9.193237378170e-01       6.902648705343e+01 
       1.074684017740e+00       4.822282461678e+01 
       1.322179872172e+00       2.972454453980e+01 
       1.661679345453e+00       1.727012759775e+01 
       2.091875609933e+00       9.903540084296e+00 
       2.633515156926e+00       5.632638537272e+00 
       3.315399153289e+00       3.179440447510e+00 
       4.173840244316e+00       1.782685099634e+00 
       5.254553548339e+00       9.933617022425e-01 
