# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.650402285230e-10       7.679246902714e-15       2.359656570146e-13       6.527624719232e-17       8.517613500783e-11       8.779335556502e-12      -7.435826600248e-15 
   41       1.675018274675e-10       8.339836941926e-15       2.266650731745e-13       6.858603518484e-17       8.096641777584e-11       8.382602619067e-12      -6.838896989499e-15 
   42       1.699911520472e-10       9.035780574033e-15       2.159665442769e-13       7.197899804299e-17       7.703699462144e-11       8.013342341709e-12      -6.484723345298e-15 
   43       1.725079537401e-10       9.767619252362e-15       2.039163336742e-13       7.545517488444e-17       7.334547533375e-11       7.665227998826e-12      -6.492054365302e-15 
   44       1.750548959015e-10       1.053598492714e-14       1.904745727755e-13       7.901459702038e-17       6.988618185128e-11       7.337352210279e-12      -6.812860234549e-15 
   45       1.776332723157e-10       1.134151403324e-14       1.755721956054e-13       8.265729002668e-17       6.665559296739e-11       7.029580006961e-12      -7.335001814345e-15 
   46       1.802411920035e-10       1.218481398612e-14       1.591323239945e-13       8.638327457083e-17       6.363859158534e-11       6.740723020479e-12      -7.920495227063e-15 
   47       1.828732873051e-10       1.306646210919e-14       1.410696958043e-13       9.019256647024e-17       6.080756060709e-11       6.468456131848e-12      -8.403997126643e-15 
   48       1.855232402324e-10       1.398695370112e-14       1.213043392050e-13       9.408517394584e-17       5.813088565691e-11       6.210062250236e-12      -8.638408385548e-15 
   49       1.881928847827e-10       1.494653142942e-14       9.980848774442e-14       9.806108833102e-17       5.560340708619e-11       5.965109395174e-12      -8.650420753443e-15 
   50       1.908851689099e-10       1.594530600219e-14       7.657190768918e-14       1.021202908440e-16       5.322299865134e-11       5.733385044142e-12      -8.526214421649e-15 
   51       1.936014157930e-10       1.698329925212e-14       5.158895786567e-14       1.062627550811e-16       5.098149641418e-11       5.514093801004e-12      -8.369035212698e-15 
