# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982684205e+01 
       1.318525239892e-05       5.930164692967e+01 
       1.659924930592e-05       7.408250927036e+01 
       2.089721676792e-05       9.254733377692e+01 
       2.630803722491e-05       1.156141739947e+02 
       3.311985659687e-05       1.444297264318e+02 
       4.169542910477e-05       1.804261464844e+02 
       5.249143525566e-05       2.253918538134e+02 
       6.608280174490e-05       2.815596240629e+02 
       8.319331839921e-05       3.517160156362e+02 
       1.047341826243e-04       4.393367064674e+02 
       1.318525239892e-04       5.487530222025e+02 
       1.659924930592e-04       6.853550335503e+02 
       2.089721676792e-04       8.558358296262e+02 
       2.630803722491e-04       1.068479097154e+03 
       3.311985659687e-04       1.333486690971e+03 
       4.169542910477e-04       1.663333498934e+03 
       5.249143525566e-04       2.073123898667e+03 
       6.608280174490e-04       2.580908462459e+03 
       8.319331839921e-04       3.207893216779e+03 
       1.047341826243e-03       3.978393810397e+03 
       1.318525239892e-03       4.919212327892e+03 
       1.659924930592e-03       6.057851075130e+03 
       2.089721676792e-03       7.419860907625e+03 
       2.630803722491e-03       9.023427081921e+03 
       3.311985659687e-03       1.087170300453e+04 
       4.169542910477e-03       1.294179942245e+04 
       5.249143525566e-03       1.517053024875e+04 
       6.608280174490e-03       1.743972736318e+04 
       8.319331839921e-03       1.956360996341e+04 
       1.047341826243e-02       2.128649340341e+04 
       1.318525239892e-02       2.230577421357e+04 
       1.659924930589e-02       2.231724837355e+04 
       2.089721660966e-02       2.110117069518e+04 
       2.630791517064e-02       1.865411755816e+04 
       3.310278266545e-02       1.538164579272e+04 
       4.112178767552e-02       1.229770168821e+04 
       4.790628827007e-02       1.057215870038e+04 
       5.282242665187e-02       9.732871937768e+03 
       5.687266276680e-02       9.212302448075e+03 
       6.048713924368e-02       8.822864538402e+03 
       6.385726918410e-02       8.484796073767e+03 
       6.708422356736e-02       8.160520647767e+03 
       7.022860457005e-02       7.829221487190e+03 
       7.333018959056e-02       7.480403769129e+03 
       7.641699559410e-02       7.112076319647e+03 
       7.950991500338e-02       6.726196437254e+03 
       8.262529000559e-02       6.329675164153e+03 
       8.577643711185e-02       5.931919832169e+03 
       8.897459779263e-02       5.543630821230e+03 
       9.222955666815e-02       5.175883321324e+03 
       9.555005766204e-02       4.837836885474e+03 
       9.894409227589e-02       4.537282930679e+03 
       1.024191040344e-01       4.278585490978e+03 
       1.059821362664e-01       4.062498201751e+03 
       1.096399405347e-01       3.886638041964e+03 
       1.133990570783e-01       3.744314545655e+03 
       1.172658749375e-01       3.626385344959e+03 
       1.212466770795e-01       3.520981422593e+03 
       1.253476743179e-01       3.415392477557e+03 
       1.295750308144e-01       3.298042231294e+03 
       1.339348832875e-01       3.160340982762e+03 
       1.384333556058e-01       2.999345219058e+03 
       1.430765701509e-01       2.818155635820e+03 
       1.478706571398e-01       2.625794399080e+03 
       1.528217629711e-01       2.434815445669e+03 
       1.579360585777e-01       2.258350721545e+03 
       1.632197487220e-01       2.106770455642e+03 
       1.686790831324e-01       1.985070225143e+03 
       1.743203703668e-01       1.891682461265e+03 
       1.801499952696e-01       1.818697645290e+03 
       1.861744408844e-01       1.754600597055e+03 
       1.924003156767e-01       1.686304032945e+03 
       1.988343869261e-01       1.603812331701e+03 
       2.054836211606e-01       1.505415477624e+03 
       2.123552325365e-01       1.398104474831e+03 
       2.194567401281e-01       1.293363153999e+03 
       2.267960351861e-01       1.201449801703e+03 
       2.343814595738e-01       1.127680057514e+03 
       2.422218968055e-01       1.070760796601e+03 
       2.503268774194e-01       1.022663602693e+03 
       2.587067008331e-01       9.733564589720e+02 
       2.673725763982e-01       9.168231745509e+02 
       2.763367871231e-01       8.538879558115e+02 
       2.856128805309e-01       7.913575777002e+02 
       2.952158924385e-01       7.369078399884e+02 
       3.051626111909e-01       6.927816205197e+02 
       3.154718922124e-01       6.551775268740e+02 
       3.261650358600e-01       6.180071246697e+02 
       3.372662458022e-01       5.777285003409e+02 
       3.488031909594e-01       5.365522097193e+02 
       3.608077021238e-01       4.988211092117e+02 
       3.733166457798e-01       4.665885707995e+02 
       3.863730339830e-01       4.373428963115e+02 
       4.000274529746e-01       4.079958394784e+02 
       4.143399285751e-01       3.783587533370e+02 
       4.293823999897e-01       3.506628138594e+02 
       4.452420566722e-01       3.256892420407e+02 
       4.620259246691e-01       3.020872323171e+02 
       4.798673037780e-01       2.786774282085e+02 
       4.989350181030e-01       2.562981120450e+02 
       5.194470707474e-01       2.355648062991e+02 
       5.416914282045e-01       2.153867236781e+02 
       5.660588009166e-01       1.958084744596e+02 
       5.930965292408e-01       1.771127201288e+02 
       6.236015761018e-01       1.587486198949e+02 
       6.587904759211e-01       1.407851151695e+02 
       7.006315492442e-01       1.228882210952e+02 
       7.525461085357e-01       1.048413092723e+02 
       8.210079804976e-01       8.624591366555e+01 
       9.193237378170e-01       6.674427559328e+01 
       1.074684017740e+00       4.663328358285e+01 
       1.322179872172e+00       2.874728467506e+01 
       1.661679345453e+00       1.670328623844e+01 
       2.091875609933e+00       9.578875134125e+00 
       2.633515156926e+00       5.448023268237e+00 
       3.315399153289e+00       3.075386438795e+00 
       4.173840244316e+00       1.724358275862e+00 
       5.254553548339e+00       9.609216678147e-01 
