# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983031986e+01 
       1.318525239892e-05       5.930165380260e+01 
       1.659924930592e-05       7.408252288164e+01 
       2.089721676792e-05       9.254736075176e+01 
       2.630803722491e-05       1.156142273560e+02 
       3.311985659687e-05       1.444298320928e+02 
       4.169542910477e-05       1.804263557221e+02 
       5.249143525566e-05       2.253922681771e+02 
       6.608280174490e-05       2.815604442652e+02 
       8.319331839921e-05       3.517176395062e+02 
       1.047341826243e-04       4.393399213674e+02 
       1.318525239892e-04       5.487593864911e+02 
       1.659924930592e-04       6.853676303936e+02 
       2.089721676792e-04       8.558607596806e+02 
       2.630803722491e-04       1.068528422885e+03 
       3.311985659687e-04       1.333584245078e+03 
       4.169542910477e-04       1.663526323571e+03 
       5.249143525566e-04       2.073504697390e+03 
       6.608280174490e-04       2.581659493361e+03 
       8.319331839921e-04       3.209371708648e+03 
       1.047341826243e-03       3.981296873813e+03 
       1.318525239892e-03       4.924891941474e+03 
       1.659924930592e-03       6.068907252136e+03 
       2.089721676792e-03       7.441235023609e+03 
       2.630803722491e-03       9.064356747609e+03 
       3.311985659687e-03       1.094906350488e+04 
       4.169542910477e-03       1.308543369791e+04 
       5.249143525566e-03       1.543083193732e+04 
       6.608280174490e-03       1.789598084926e+04 
       8.319331839921e-03       2.032896302648e+04 
       1.047341826243e-02       2.249782225053e+04 
       1.318525239892e-02       2.408376677006e+04 
       1.659924930589e-02       2.469361055001e+04 
       2.089721660966e-02       2.394338182394e+04 
       2.630791517064e-02       2.165208592536e+04 
       3.310278266545e-02       1.816415585212e+04 
       4.112178767552e-02       1.466145586998e+04 
       4.790628827007e-02       1.263180435871e+04 
       5.282242665187e-02       1.162123602479e+04 
       5.687266276680e-02       1.098244378149e+04 
       6.048713924368e-02       1.049652726961e+04 
       6.385726918410e-02       1.007070007566e+04 
       6.708422356736e-02       9.661184553534e+03 
       7.022860457005e-02       9.242721721826e+03 
       7.333018959056e-02       8.805017217335e+03 
       7.641699559410e-02       8.345242958497e+03 
       7.950991500338e-02       7.865937710596e+03 
       8.262529000559e-02       7.376589425799e+03 
       8.577643711185e-02       6.888019327162e+03 
       8.897459779263e-02       6.413145635221e+03 
       9.222955666815e-02       5.964133231730e+03 
       9.555005766204e-02       5.552057583938e+03 
       9.894409227589e-02       5.185351398372e+03 
       1.024191040344e-01       4.868493199906e+03 
       1.059821362664e-01       4.602108818635e+03 
       1.096399405347e-01       4.382411635835e+03 
       1.133990570783e-01       4.202081900116e+03 
       1.172658749375e-01       4.049976710620e+03 
       1.212466770795e-01       3.912783874640e+03 
       1.253476743179e-01       3.776312876277e+03 
       1.295750308144e-01       3.627773506178e+03 
       1.339348832875e-01       3.458229334393e+03 
       1.384333556058e-01       3.264843319434e+03 
       1.430765701509e-01       3.051151037131e+03 
       1.478706571398e-01       2.827559808964e+03 
       1.528217629711e-01       2.607652082351e+03 
       1.579360585777e-01       2.405443562939e+03 
       1.632197487220e-01       2.231708609393e+03 
       1.686790831324e-01       2.091302425955e+03 
       1.743203703668e-01       1.982007217275e+03 
       1.801499952696e-01       1.895176064195e+03 
       1.861744408844e-01       1.818469886004e+03 
       1.924003156767e-01       1.738314211820e+03 
       1.988343869261e-01       1.644501896718e+03 
       2.054836211606e-01       1.535517151633e+03 
       2.123552325365e-01       1.418678590220e+03 
       2.194567401281e-01       1.305769306299e+03 
       2.267960351861e-01       1.206939199288e+03 
       2.343814595738e-01       1.127314328375e+03 
       2.422218968055e-01       1.065318660003e+03 
       2.503268774194e-01       1.012765833538e+03 
       2.587067008331e-01       9.595559849896e+02 
       2.673725763982e-01       8.998637266072e+02 
       2.763367871231e-01       8.345165190732e+02 
       2.856128805309e-01       7.702083892534e+02 
       2.952158924385e-01       7.143313703964e+02 
       3.051626111909e-01       6.689730864142e+02 
       3.154718922124e-01       6.302926309865e+02 
       3.261650358600e-01       5.924139487265e+02 
       3.372662458022e-01       5.518652911605e+02 
       3.488031909594e-01       5.108175874702e+02 
       3.608077021238e-01       4.733593914046e+02 
       3.733166457798e-01       4.413814190511e+02 
       3.863730339830e-01       4.124957336403e+02 
       4.000274529746e-01       3.837187938743e+02 
       4.143399285751e-01       3.548539901624e+02 
       4.293823999897e-01       3.279964823368e+02 
       4.452420566722e-01       3.038607926302e+02 
       4.620259246691e-01       2.811453602911e+02 
       4.798673037780e-01       2.587247168285e+02 
       4.989350181030e-01       2.374098881297e+02 
       5.194470707474e-01       2.177088743627e+02 
       5.416914282045e-01       1.986237379198e+02 
       5.660588009166e-01       1.801942482904e+02 
       5.930965292408e-01       1.626435641192e+02 
       6.236015761018e-01       1.454835054397e+02 
       6.587904759211e-01       1.287552726920e+02 
       7.006315492442e-01       1.121538157261e+02 
       7.525461085357e-01       9.547800427855e+01 
       8.210079804976e-01       7.836554351250e+01 
       9.193237378170e-01       6.049769519879e+01 
       1.074684017740e+00       4.215814222284e+01 
       1.322179872172e+00       2.592456506294e+01 
       1.661679345453e+00       1.503612261634e+01 
       2.091875609933e+00       8.613162247240e+00 
       2.633515156926e+00       4.895493379754e+00 
       3.315399153289e+00       2.762027892619e+00 
       4.173840244316e+00       1.548241603571e+00 
       5.254553548339e+00       8.625682533191e-01 
