# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.649352008260e-10       7.678181212290e-15       2.359695102815e-13       6.419881615691e-17       8.346714111533e-11       8.210068374092e-12      -7.436011589454e-15 
   41       1.673993741609e-10       8.338718503995e-15       2.266692125448e-13       6.745379736614e-17       7.933248183908e-11       7.832145340401e-12      -6.839055627689e-15 
   42       1.698911878313e-10       9.034608256529e-15       2.159709760430e-13       7.079055963087e-17       7.547379765234e-11       7.480988382455e-12      -6.484859467548e-15 
   43       1.724104042812e-10       9.766391933372e-15       2.039210635062e-13       7.420914093017e-17       7.184931080622e-11       7.150392036182e-12      -6.492170808863e-15 
   44       1.749596807071e-10       1.053470150953e-14       1.904796054723e-13       7.770957210642e-17       6.845337574338e-11       6.839410830580e-12      -6.812959589859e-15 
   45       1.775403043718e-10       1.134017345063e-14       1.755775349721e-13       8.129187866213e-17       6.528247844404e-11       6.547854433773e-12      -7.335086568799e-15 
   46       1.801503841560e-10       1.218341520563e-14       1.591379727653e-13       8.495608148931e-17       6.232170511723e-11       6.274518224445e-12      -7.920567672837e-15 
   47       1.827845591982e-10       1.306500413426e-14       1.410756555641e-13       8.870219693938e-17       5.954385372274e-11       6.017103390716e-12      -8.404059261906e-15 
   48       1.854365214609e-10       1.398543557246e-14       1.213106102607e-13       9.253023411775e-17       5.691779656734e-11       5.772943809827e-12      -8.638461874217e-15 
   49       1.881081041271e-10       1.494495221928e-14       9.981506882783e-14       9.644018570259e-17       5.443842874058e-11       5.541615416428e-12      -8.650467095502e-15 
   50       1.908022545218e-10       1.594366481359e-14       7.657879577817e-14       1.004320346581e-16       5.210363527143e-11       5.322925104149e-12      -8.526254960899e-15 
   51       1.935202997083e-10       1.698159521993e-14       5.159614804680e-14       1.045057567142e-16       4.990537089295e-11       5.116130379562e-12      -8.369071081317e-15 
   52       1.962617986954e-10       1.805867276107e-14       2.486623005176e-14       1.086613202946e-16       4.782924355782e-11       4.919900623333e-12      -8.300115911493e-15 
   53       1.990256889911e-10       1.917480359062e-14      -3.611838417584e-15       1.128986852817e-16       4.585902724531e-11       4.732771831064e-12      -8.426991965131e-15 
   54       2.018144125947e-10       2.033010819569e-14      -3.385490402935e-14       1.172177991013e-16       4.399252143849e-11       4.554737288475e-12      -8.737473096922e-15 
   55       2.046305933925e-10       2.152473857447e-14      -6.588363744498e-14       1.216185995063e-16       4.222904392549e-11       4.385998410717e-12      -9.179968617363e-15 
   56       2.074757442627e-10       2.275880995035e-14      -9.971805459683e-14       1.261010155347e-16       4.056465339077e-11       4.226489424019e-12      -9.693113915800e-15 
   57       2.103501735527e-10       2.403240016698e-14      -1.353775665405e-13       1.306649673887e-16       3.899193960956e-11       4.075859317819e-12      -1.020529947469e-14 
   58       2.132528915572e-10       2.534554908321e-14      -1.728810293071e-13       1.353103663147e-16       3.749981364240e-11       3.933453796893e-12      -1.063419988387e-14 
   59       2.161824428452e-10       2.669817567788e-14      -2.122407202762e-13       1.400371196805e-16       3.607655695866e-11       3.798495450746e-12      -1.090688342252e-14 
   60       2.191398413660e-10       2.808980825809e-14      -2.534425205458e-13       1.448451478575e-16       3.472027219562e-11       3.670714111361e-12      -1.102666394759e-14 
   61       2.221261528867e-10       2.951979041662e-14      -2.964612102461e-13       1.497343710530e-16       3.343049288861e-11       3.549831246401e-12      -1.102096919476e-14 
   62       2.251415682043e-10       3.098735448812e-14      -3.412659845236e-13       1.547047045121e-16       3.220504062938e-11       3.435363515812e-12      -1.092234728179e-14 
   63       2.281853410088e-10       3.249161815462e-14      -3.878202975125e-13       1.597560585730e-16       3.103992573272e-11       3.326611443173e-12      -1.076869336911e-14 
   64       2.312557257451e-10       3.403158105098e-14      -4.360817063066e-13       1.648883387232e-16       2.992924790314e-11       3.222648087057e-12      -1.060347632048e-14 
   65       2.343509374612e-10       3.560623160325e-14      -4.860110095414e-13       1.701014586172e-16       2.886682257590e-11       3.122562421810e-12      -1.046589254111e-14 
   66       2.374724071910e-10       3.721490146698e-14      -5.376022631040e-13       1.753953822103e-16       2.785168338820e-11       3.026274834855e-12      -1.035839470685e-14 
   67       2.406221069655e-10       3.885698030659e-14      -5.908588610982e-13       1.807700906742e-16       2.688357091189e-11       2.933874596920e-12      -1.027267103947e-14 
   68       2.438015557393e-10       4.053181188080e-14      -6.457849041717e-13       1.862255706323e-16       2.596125969818e-11       2.845376266903e-12      -1.019905725442e-14 
   69       2.470117858396e-10       4.223869373162e-14      -7.023853034762e-13       1.917618145782e-16       2.508250721493e-11       2.760715487969e-12      -1.012648146412e-14 
   70       2.502533094162e-10       4.397687687321e-14      -7.606658846284e-13       1.973788212943e-16       2.424400278388e-11       2.679744783651e-12      -1.004240908139e-14 
   71       2.535260848901e-10       4.574556548083e-14      -8.206334916709e-13       2.030765962695e-16       2.344131651797e-11       2.602229353948e-12      -9.932787722710e-15 
   72       2.568298982342e-10       4.754387828077e-14      -8.822882287081e-13       2.088551641665e-16       2.267003795577e-11       2.527913572309e-12      -9.785907345392e-15 
   73       2.601656660979e-10       4.937072483141e-14      -9.455982297103e-13       2.147146080622e-16       2.192955846760e-11       2.456744595715e-12      -9.604960904049e-15 
   74       2.635343233501e-10       5.122490482159e-14      -1.010520211100e-12       2.206550385305e-16       2.121992598404e-11       2.388684279277e-12      -9.397806368649e-15 
   75       2.669364067423e-10       5.310514310012e-14      -1.077006830710e-12       2.266765829428e-16       2.054069613429e-11       2.323639732731e-12      -9.173298826567e-15 
   76       2.703720308290e-10       5.501008849027e-14      -1.145006612245e-12       2.327793861614e-16       1.989090834543e-11       2.261460730714e-12      -8.941324774835e-15 
   77       2.738408638877e-10       5.693831260430e-14      -1.214463869727e-12       2.389636112331e-16       1.926906194173e-11       2.201937123036e-12      -8.712836412398e-15 
   78       2.773421038397e-10       5.888830865799e-14      -1.285318631961e-12       2.452294400820e-16       1.867309224396e-11       2.144796244957e-12      -8.499885932360e-15 
   79       2.808744541706e-10       6.085849028513e-14      -1.357506566985e-12       2.515770742037e-16       1.810034666872e-11       2.089700327453e-12      -8.315659814242e-15 
   80       2.844366568365e-10       6.284724388267e-14      -1.430964700908e-12       2.580067307366e-16       1.754824316705e-11       2.036329895415e-12      -8.171373135621e-15 
   81       2.880292505390e-10       6.485309872320e-14      -1.505649884382e-12       2.645186283667e-16       1.701642980965e-11       1.984656339269e-12      -8.066255926426e-15 
   82       2.916530752753e-10       6.687458435940e-14      -1.581523410238e-12       2.711130002294e-16       1.650495837306e-11       1.934712173820e-12      -7.995882243308e-15 
   83       2.953087289203e-10       6.891017952627e-14      -1.658545535217e-12       2.777900989121e-16       1.601362422076e-11       1.886508272758e-12      -7.955132203067e-15 
   84       2.989965534615e-10       7.095831194689e-14      -1.736675511728e-12       2.845501970619e-16       1.554195503838e-11       1.840032871293e-12      -7.938168127118e-15 
   85       3.027166212347e-10       7.301735813831e-14      -1.815871619608e-12       2.913935879939e-16       1.508919956890e-11       1.795250568803e-12      -7.938410685949e-15 
