# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.523576660286e-10       1.508267191595e-13      -6.040600295919e-12       8.362058891444e-16       3.824738034121e-12       6.201926911863e-13      -4.461283417193e-15 
  143       5.569275483221e-10       1.506825015849e-13      -6.069800922826e-12       8.488879316001e-16       3.749013949629e-12       6.111745651755e-13      -4.400454424377e-15 
  144       5.614825722254e-10       1.504735672608e-13      -6.096159538510e-12       8.616927583679e-16       3.675296952614e-12       6.023436375515e-13      -4.339278470253e-15 
  145       5.660214793227e-10       1.502004445246e-13      -6.119623409301e-12       8.746210600149e-16       3.603542459349e-12       5.936951536766e-13      -4.277766494082e-15 
  146       5.705429579847e-10       1.498637551194e-13      -6.140141021311e-12       8.876735245933e-16       3.533696448658e-12       5.852233083531e-13      -4.215927418463e-15 
  147       5.750456422547e-10       1.494642159517e-13      -6.157662119760e-12       9.008508374483e-16       3.465695248596e-12       5.769212217063e-13      -4.153768088500e-15 
  148       5.795281107364e-10       1.490026408495e-13      -6.172137748301e-12       9.141536810264e-16       3.399465323131e-12       5.687809150672e-13      -4.091293210959e-15 
  149       5.839888854800e-10       1.484799423205e-13      -6.183520288355e-12       9.275827346835e-16       3.334923058827e-12       5.607932868559e-13      -4.028505293443e-15 
  150       5.884264308693e-10       1.478971333100e-13      -6.191763498432e-12       9.411386744932e-16       3.271974551524e-12       5.529480884639e-13      -3.965404583551e-15 
  151       5.928391525085e-10       1.472553289588e-13      -6.196822553463e-12       9.548221730545e-16       3.210515393023e-12       5.452339001375e-13      -3.901989008048e-15 
  152       5.972253961091e-10       1.465557483612e-13      -6.198654084128e-12       9.686338993002e-16       3.150430457764e-12       5.376381068605e-13      -3.838254112027e-15 
  153       6.015835674794e-10       1.457997005663e-13      -6.197216439902e-12       9.825744626687e-16       3.091617707265e-12       5.301498236815e-13      -3.774203612370e-15 
  154       6.059125073829e-10       1.449885374168e-13      -6.192470422945e-12       9.966442401859e-16       3.034062541719e-12       5.227690283686e-13      -3.709882289790e-15 
  155       6.102111495581e-10       1.441236996589e-13      -6.184378697719e-12       1.010843532872e-15       2.977769983871e-12       5.154982354864e-13      -3.645346051924e-15 
  156       6.144784022543e-10       1.432067339682e-13      -6.172905613527e-12       1.025172619463e-15       2.922741192064e-12       5.083396142145e-13      -3.580651587054e-15 
  157       6.187131477356e-10       1.422392946283e-13      -6.158017244983e-12       1.039631755934e-15       2.868973369244e-12       5.012949792516e-13      -3.515856357336e-15 
  158       6.229142417845e-10       1.412231452084e-13      -6.139681432480e-12       1.054221175024e-15       2.816459671963e-12       4.943657817201e-13      -3.451018592017e-15 
  159       6.270805132051e-10       1.401601602404e-13      -6.117867822651e-12       1.068941085762e-15       2.765189119379e-12       4.875531000701e-13      -3.386197280665e-15 
  160       6.312107633273e-10       1.390523268977e-13      -6.092547908847e-12       1.083791672992e-15       2.715146502263e-12       4.808576309837e-13      -3.321452166387e-15 
  161       6.353037655099e-10       1.379017466722e-13      -6.063695071592e-12       1.098773096894e-15       2.666312291998e-12       4.742796802796e-13      -3.256843739056e-15 
  162       6.393582646445e-10       1.367106370521e-13      -6.031284619062e-12       1.113885492515e-15       2.618662549587e-12       4.678191538167e-13      -3.192433228533e-15 
  163       6.433729766589e-10       1.354813332003e-13      -5.995293827544e-12       1.129128969288e-15       2.572168834650e-12       4.614755483992e-13      -3.128282597892e-15 
  164       6.473465880210e-10       1.342162896313e-13      -5.955701981909e-12       1.144503610559e-15       2.526798114433e-12       4.552479426802e-13      -3.064454536641e-15 
  165       6.512777552422e-10       1.329180818896e-13      -5.912490416076e-12       1.160009473112e-15       2.482512672806e-12       4.491349880663e-13      -3.001012453949e-15 
