# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653438835578e-10       7.721227027276e-15       2.358719663099e-13       6.521022455858e-17       8.505911742293e-11       8.857920020051e-12      -7.425423801626e-15 
   41       1.678399044399e-10       8.385547218584e-15       2.264137818706e-13       6.851665574497e-17       8.085486644403e-11       8.446085544093e-12      -6.842053737526e-15 
   42       1.703545779369e-10       9.085389918155e-15       2.155628713725e-13       7.190625085395e-17       7.693054142058e-11       8.062531377191e-12      -6.508378829489e-15 
   43       1.728775461948e-10       9.821211206186e-15       2.033990348672e-13       7.537905299884e-17       7.324381083107e-11       7.704764596764e-12      -6.535351925269e-15 
   44       1.754135607113e-10       1.059366830488e-14       1.898764291380e-13       7.893509129903e-17       6.978900464002e-11       7.371961456505e-12      -6.873839984145e-15 
   45       1.779703900713e-10       1.140346208379e-14       1.749061370606e-13       8.257438592897e-17       6.656260617675e-11       7.062821483158e-12      -7.412600738996e-15 
   46       1.805540747327e-10       1.225127669541e-14       1.583871896304e-13       8.629694999671e-17       6.354951813896e-11       6.774685158447e-12      -8.014763615570e-15 
   47       1.831687196968e-10       1.313777920317e-14       1.402057499333e-13       9.010278946422e-17       6.072215967321e-11       6.503432050658e-12      -8.516327987089e-15 
   48       1.858164792618e-10       1.406353124683e-14       1.202577278732e-13       9.399190042370e-17       5.804895796704e-11       6.244670742795e-12      -8.770992501843e-15 
   49       1.884979899758e-10       1.502869546219e-14       9.852606666814e-14       9.796426020462e-17       5.552476036820e-11       5.997942952761e-12      -8.803090247790e-15 
   50       1.912117035113e-10       1.603324566541e-14       7.502384044042e-14       1.020198336230e-16       5.314744375245e-11       5.763529481801e-12      -8.695183971019e-15 
   51       1.939535125681e-10       1.707704284970e-14       4.977309566679e-14       1.061585751971e-16       5.090885531468e-11       5.541226811810e-12      -8.546339818846e-15 
   52       1.967165533431e-10       1.815983032540e-14       2.280523059547e-14       1.103804289328e-16       4.879438896130e-11       5.330311144904e-12      -8.472989424667e-15 
   53       1.994938737690e-10       1.928135236064e-14      -5.852485073458e-15       1.146853299027e-16       4.678757219531e-11       5.129850280936e-12      -8.579089478663e-15 
   54       2.022876984284e-10       2.044175710684e-14      -3.622229405272e-14       1.190732099516e-16       4.488618658863e-11       4.939816178587e-12      -8.855607586671e-15 
   55       2.051022017797e-10       2.164128881236e-14      -6.834157647009e-14       1.235439930844e-16       4.308955428646e-11       4.760195807521e-12      -9.256692408627e-15 
   56       2.079407752929e-10       2.288017370206e-14      -1.022502087975e-13       1.280975936643e-16       4.139368163665e-11       4.590647457110e-12      -9.727698135397e-15 
   57       2.108059500778e-10       2.415862029549e-14      -1.379907655549e-13       1.327339162741e-16       3.979104566561e-11       4.430479360404e-12      -1.020475925647e-14 
   58       2.136993195118e-10       2.547681972518e-14      -1.756087210143e-13       1.374528555761e-16       3.827038055421e-11       4.278628318105e-12      -1.061436532768e-14 
   59       2.166218542220e-10       2.683482811801e-14      -2.151397064076e-13       1.422543050507e-16       3.681977866328e-11       4.133947642242e-12      -1.089090136186e-14 
   60       2.195751081755e-10       2.823218111999e-14      -2.565673677679e-13       1.471381858967e-16       3.543731951927e-11       3.996197622579e-12      -1.103499149895e-14 
   61       2.225601564330e-10       2.966819025602e-14      -2.998560605151e-13       1.521044246075e-16       3.412253620883e-11       3.865247705693e-12      -1.106797701492e-14 
   62       2.255771646582e-10       3.114204939139e-14      -3.449627012059e-13       1.571529448426e-16       3.287321876008e-11       3.740776731203e-12      -1.101532202876e-14 
   63       2.286253250464e-10       3.265283105214e-14      -3.918365304415e-13       1.622836675889e-16       3.168531297615e-11       3.622262041156e-12      -1.090679727438e-14 
   64       2.317027922522e-10       3.419948274551e-14      -4.404188757753e-13       1.674965113221e-16       3.055281926862e-11       3.508968589415e-12      -1.077666387244e-14 
   65       2.348075974408e-10       3.578094160202e-14      -4.906557333905e-13       1.727914049748e-16       2.946944809015e-11       3.400151064787e-12      -1.065612916087e-14 
   66       2.379407593520e-10       3.739651478638e-14      -5.425391427084e-13       1.781683296690e-16       2.843422095850e-11       3.295734475818e-12      -1.054844438000e-14 
   67       2.411037195182e-10       3.904557331145e-14      -5.960741762715e-13       1.836272861365e-16       2.744687829294e-11       3.195758659984e-12      -1.044884603453e-14 
   68       2.442973862540e-10       4.072744046251e-14      -6.512670133675e-13       1.891682832028e-16       2.650617642602e-11       3.100173148373e-12      -1.035178668322e-14 
   69       2.475220979444e-10       4.244139142731e-14      -7.081250615027e-13       1.947913383065e-16       2.560983557268e-11       3.008832233493e-12      -1.025090254461e-14 
   70       2.507775863332e-10       4.418665292620e-14      -7.666570778773e-13       2.004964780192e-16       2.475448779946e-11       2.921490037082e-12      -1.013898110266e-14 
   71       2.540629398113e-10       4.596240284224e-14      -8.268732908598e-13       2.062837385653e-16       2.393562499364e-11       2.837795577925e-12      -1.000792871245e-14 
   72       2.573771884210e-10       4.776773515658e-14      -8.887770366159e-13       2.121531729825e-16       2.314875846406e-11       2.757387837156e-12      -9.851183504005e-15 
   73       2.607212704521e-10       4.960154778461e-14      -9.523375405269e-13       2.181048730407e-16       2.239327105689e-11       2.680213040232e-12      -9.671562282006e-15 
   74       2.640963787480e-10       5.146263244126e-14      -1.017512106364e-12       2.241389524891e-16       2.166921386808e-11       2.606259647539e-12      -9.474868309214e-15 
   75       2.675033503013e-10       5.334970628581e-14      -1.084254067198e-12       2.302555414485e-16       2.097613617332e-11       2.535461149014e-12      -9.267602501194e-15 
