# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983031095e+01 
       1.318525239892e-05       5.930165378499e+01 
       1.659924930592e-05       7.408252284676e+01 
       2.089721676792e-05       9.254736068264e+01 
       2.630803722491e-05       1.156142272193e+02 
       3.311985659687e-05       1.444298318220e+02 
       4.169542910477e-05       1.804263551860e+02 
       5.249143525566e-05       2.253922671154e+02 
       6.608280174490e-05       2.815604421636e+02 
       8.319331839921e-05       3.517176353453e+02 
       1.047341826243e-04       4.393399131298e+02 
       1.318525239892e-04       5.487593701834e+02 
       1.659924930592e-04       6.853675981147e+02 
       2.089721676792e-04       8.558606957950e+02 
       2.630803722491e-04       1.068528296473e+03 
       3.311985659687e-04       1.333583995033e+03 
       4.169542910477e-04       1.663525829233e+03 
       5.249143525566e-04       2.073503720829e+03 
       6.608280174490e-04       2.581657566340e+03 
       8.319331839921e-04       3.209367911969e+03 
       1.047341826243e-03       3.981289409229e+03 
       1.318525239892e-03       4.924877307727e+03 
       1.659924930592e-03       6.068878672444e+03 
       2.089721676792e-03       7.441179488463e+03 
       2.630803722491e-03       9.064249540285e+03 
       3.311985659687e-03       1.094885829088e+04 
       4.169542910477e-03       1.308504507615e+04 
       5.249143525566e-03       1.543010580652e+04 
       6.608280174490e-03       1.789464731478e+04 
       8.319331839921e-03       2.032656434162e+04 
       1.047341826243e-02       2.249362151685e+04 
       1.318525239892e-02       2.407665479377e+04 
       1.659924930589e-02       2.468208250687e+04 
       2.089721660966e-02       2.392576297607e+04 
       2.630791517064e-02       2.162705898512e+04 
       3.310278266545e-02       1.813130101528e+04 
       4.112178767552e-02       1.462134823926e+04 
       4.790628827007e-02       1.258579599315e+04 
       5.282242665187e-02       1.157056757589e+04 
       5.687266276680e-02       1.092769225014e+04 
       6.048713924368e-02       1.043809164219e+04 
       6.385726918410e-02       1.000882783840e+04 
       6.708422356736e-02       9.596678082932e+03 
       7.022860457005e-02       9.175970386759e+03 
       7.333018959056e-02       8.736525250396e+03 
       7.641699559410e-02       8.275361138769e+03 
       7.950991500338e-02       7.795924226119e+03 
       8.262529000559e-02       7.306781637260e+03 
       8.577643711185e-02       6.818736801809e+03 
       8.897459779263e-02       6.344705068526e+03 
       9.222955666815e-02       5.896847982503e+03 
       9.555005766204e-02       5.485973732116e+03 
       9.894409227589e-02       5.120182828313e+03 
       1.024191040344e-01       4.804098312127e+03 
       1.059821362664e-01       4.538044083772e+03 
       1.096399405347e-01       4.318485367655e+03 
       1.133990570783e-01       4.137943159221e+03 
       1.172658749375e-01       3.985097087475e+03 
       1.212466770795e-01       3.847430255089e+03 
       1.253476743179e-01       3.710244453538e+03 
       1.295750308144e-01       3.561564046218e+03 
       1.339348832875e-01       3.392422228761e+03 
       1.384333556058e-01       3.200181367805e+03 
       1.430765701509e-01       2.988255199483e+03 
       1.478706571398e-01       2.767024635762e+03 
       1.528217629711e-01       2.549744850423e+03 
       1.579360585777e-01       2.350087131067e+03 
       1.632197487220e-01       2.178516150715e+03 
       1.686790831324e-01       2.039736980378e+03 
       1.743203703668e-01       1.931539036838e+03 
       1.801499952696e-01       1.845337935247e+03 
       1.861744408844e-01       1.769181853853e+03 
       1.924003156767e-01       1.689832136818e+03 
       1.988343869261e-01       1.597283907987e+03 
       2.054836211606e-01       1.490217527007e+03 
       2.123552325365e-01       1.375738440105e+03 
       2.194567401281e-01       1.265204188696e+03 
       2.267960351861e-01       1.168524467561e+03 
       2.343814595738e-01       1.090603233437e+03 
       2.422218968055e-01       1.029844715520e+03 
       2.503268774194e-01       9.783241607745e+02 
       2.587067008331e-01       9.262602604589e+02 
       2.673725763982e-01       8.680327441134e+02 
       2.763367871231e-01       8.044392253471e+02 
       2.856128805309e-01       7.419446387916e+02 
       2.952158924385e-01       6.876783969119e+02 
       3.051626111909e-01       6.436042992480e+02 
       3.154718922124e-01       6.060690069807e+02 
       3.261650358600e-01       5.692447479654e+02 
       3.372662458022e-01       5.300077837280e+02 
       3.488031909594e-01       4.903291000002e+02 
       3.608077021238e-01       4.541594658952e+02 
       3.733166457798e-01       4.232323152155e+02 
       3.863730339830e-01       3.953940681842e+02 
       4.000274529746e-01       3.675789761801e+02 
       4.143399285751e-01       3.397808677914e+02 
       4.293823999897e-01       3.139241597702e+02 
       4.452420566722e-01       2.907309842821e+02 
       4.620259246691e-01       2.688595002645e+02 
       4.798673037780e-01       2.473187408568e+02 
       4.989350181030e-01       2.268603046829e+02 
       5.194470707474e-01       2.079641266615e+02 
       5.416914282045e-01       1.896541156625e+02 
       5.660588009166e-01       1.719947192501e+02 
       5.930965292408e-01       1.551998643763e+02 
       6.236015761018e-01       1.387765907885e+02 
       6.587904759211e-01       1.227775691392e+02 
       7.006315492442e-01       1.069083212962e+02 
       7.525461085357e-01       9.097976706613e+01 
       8.210079804976e-01       7.464490832102e+01 
       9.193237378170e-01       5.759754249057e+01 
       1.074684017740e+00       4.011930638128e+01 
       1.322179872172e+00       2.466048570114e+01 
       1.661679345453e+00       1.429868648958e+01 
       2.091875609933e+00       8.189192960644e+00 
       2.633515156926e+00       4.653557584102e+00 
       3.315399153289e+00       2.625603988741e+00 
       4.173840244316e+00       1.471651770529e+00 
       5.254553548339e+00       8.198623377888e-01 
