# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983007721e+01 
       1.318525239892e-05       5.930165332308e+01 
       1.659924930592e-05       7.408252193200e+01 
       2.089721676792e-05       9.254735886976e+01 
       2.630803722491e-05       1.156142236331e+02 
       3.311985659687e-05       1.444298247209e+02 
       4.169542910477e-05       1.804263411238e+02 
       5.249143525566e-05       2.253922392672e+02 
       6.608280174490e-05       2.815603870400e+02 
       8.319331839921e-05       3.517175262085e+02 
       1.047341826243e-04       4.393396970606e+02 
       1.318525239892e-04       5.487589424398e+02 
       1.659924930592e-04       6.853667514561e+02 
       2.089721676792e-04       8.558590201173e+02 
       2.630803722491e-04       1.068524980786e+03 
       3.311985659687e-04       1.333577436641e+03 
       4.169542910477e-04       1.663512863515e+03 
       5.249143525566e-04       2.073478107872e+03 
       6.608280174490e-04       2.581607027144e+03 
       8.319331839921e-04       3.209268344799e+03 
       1.047341826243e-03       3.981093673124e+03 
       1.318525239892e-03       4.924493647737e+03 
       1.659924930592e-03       6.068129588072e+03 
       2.089721676792e-03       7.439724516922e+03 
       2.630803722491e-03       9.061442716445e+03 
       3.311985659687e-03       1.094349131358e+04 
       4.169542910477e-03       1.307489875209e+04 
       5.249143525566e-03       1.541119911750e+04 
       6.608280174490e-03       1.786007255530e+04 
       8.319331839921e-03       2.026479000086e+04 
       1.047341826243e-02       2.238659073681e+04 
       1.318525239892e-02       2.389843718080e+04 
       1.659924930589e-02       2.440094588800e+04 
       2.089721660966e-02       2.351239587078e+04 
       2.630791517064e-02       2.107385861110e+04 
       3.310278266545e-02       1.746915194706e+04 
       4.112178767552e-02       1.390496346324e+04 
       4.790628827007e-02       1.185216917606e+04 
       5.282242665187e-02       1.082954520064e+04 
       5.687266276680e-02       1.018349335559e+04 
       6.048713924368e-02       9.694878477131e+03 
       6.385726918410e-02       9.271878663159e+03 
       6.708422356736e-02       8.871438060958e+03 
       7.022860457005e-02       8.469024977341e+03 
       7.333018959056e-02       8.053064057839e+03 
       7.641699559410e-02       7.620933669097e+03 
       7.950991500338e-02       7.175103279917e+03 
       8.262529000559e-02       6.723041366659e+03 
       8.577643711185e-02       6.274213631025e+03 
       8.897459779263e-02       5.839796067455e+03 
       9.222955666815e-02       5.430620989888e+03 
       9.555005766204e-02       5.056633024464e+03 
       9.894409227589e-02       4.724772717235e+03 
       1.024191040344e-01       4.439249456962e+03 
       1.059821362664e-01       4.200466389134e+03 
       1.096399405347e-01       4.004822536234e+03 
       1.133990570783e-01       3.845598067939e+03 
       1.172658749375e-01       3.712457769014e+03 
       1.212466770795e-01       3.593520554430e+03 
       1.253476743179e-01       3.475267964343e+03 
       1.295750308144e-01       3.346231590244e+03 
       1.339348832875e-01       3.197648660267e+03 
       1.384333556058e-01       3.026662941413e+03 
       1.430765701509e-01       2.836530126461e+03 
       1.478706571398e-01       2.636406506424e+03 
       1.528217629711e-01       2.438886129429e+03 
       1.579360585777e-01       2.257003708375e+03 
       1.632197487220e-01       2.100949796768e+03 
       1.686790831324e-01       1.975492763728e+03 
       1.743203703668e-01       1.878808255156e+03 
       1.801499952696e-01       1.802912884972e+03 
       1.861744408844e-01       1.736243931520e+03 
       1.924003156767e-01       1.665793743580e+03 
       1.988343869261e-01       1.581730023144e+03 
       2.054836211606e-01       1.482386263644e+03 
       2.123552325365e-01       1.374686581494e+03 
       2.194567401281e-01       1.269915964555e+03 
       2.267960351861e-01       1.178102656000e+03 
       2.343814595738e-01       1.104383333377e+03 
       2.422218968055e-01       1.047388775086e+03 
       2.503268774194e-01       9.992405976946e+02 
       2.587067008331e-01       9.500377075598e+02 
       2.673725763982e-01       8.939603414801e+02 
       2.763367871231e-01       8.317991402111e+02 
       2.856128805309e-01       7.701926490001e+02 
       2.952158924385e-01       7.165774061609e+02 
       3.051626111909e-01       6.731405425445e+02 
       3.154718922124e-01       6.361157137255e+02 
       3.261650358600e-01       5.995957723441e+02 
       3.372662458022e-01       5.601451712275e+02 
       3.488031909594e-01       5.198897353371e+02 
       3.608077021238e-01       4.830348024586e+02 
       3.733166457798e-01       4.515446001269e+02 
       3.863730339830e-01       4.230302599853e+02 
       4.000274529746e-01       3.944464500770e+02 
       4.143399285751e-01       3.656156308520e+02 
       4.293823999897e-01       3.386936403754e+02 
       4.452420566722e-01       3.144333818388e+02 
       4.620259246691e-01       2.915295268299e+02 
       4.798673037780e-01       2.688133854761e+02 
       4.989350181030e-01       2.471481820012e+02 
       5.194470707474e-01       2.270576338234e+02 
       5.416914282045e-01       2.075361174340e+02 
       5.660588009166e-01       1.886198803943e+02 
       5.930965292408e-01       1.705433677039e+02 
       6.236015761018e-01       1.528211214688e+02 
       6.587904759211e-01       1.354834202920e+02 
       7.006315492442e-01       1.182250165005e+02 
       7.525461085357e-01       1.008303316667e+02 
       8.210079804976e-01       8.291840418931e+01 
       9.193237378170e-01       6.414609564499e+01 
       1.074684017740e+00       4.480089118479e+01 
       1.322179872172e+00       2.760792816425e+01 
       1.661679345453e+00       1.603711082359e+01 
       2.091875609933e+00       9.195371718241e+00 
       2.633515156926e+00       5.229320827354e+00 
       3.315399153289e+00       2.951767404584e+00 
       4.173840244316e+00       1.654970459090e+00 
       5.254553548339e+00       9.221714356920e-01 
