# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982986254e+01 
       1.318525239892e-05       5.930165289884e+01 
       1.659924930592e-05       7.408252109182e+01 
       2.089721676792e-05       9.254735720470e+01 
       2.630803722491e-05       1.156142203393e+02 
       3.311985659687e-05       1.444298181988e+02 
       4.169542910477e-05       1.804263282083e+02 
       5.249143525566e-05       2.253922136899e+02 
       6.608280174490e-05       2.815603364113e+02 
       8.319331839921e-05       3.517174259711e+02 
       1.047341826243e-04       4.393394986108e+02 
       1.318525239892e-04       5.487585495774e+02 
       1.659924930592e-04       6.853659738419e+02 
       2.089721676792e-04       8.558574810969e+02 
       2.630803722491e-04       1.068521935526e+03 
       3.311985659687e-04       1.333571413217e+03 
       4.169542910477e-04       1.663500955621e+03 
       5.249143525566e-04       2.073454585234e+03 
       6.608280174490e-04       2.581560614594e+03 
       8.319331839921e-04       3.209176913929e+03 
       1.047341826243e-03       3.980913951866e+03 
       1.318525239892e-03       4.924141440167e+03 
       1.659924930592e-03       6.067442105082e+03 
       2.089721676792e-03       7.438389784668e+03 
       2.630803722491e-03       9.058869646742e+03 
       3.311985659687e-03       1.093857673482e+04 
       4.169542910477e-03       1.306562390262e+04 
       5.249143525566e-03       1.539396354459e+04 
       6.608280174490e-03       1.782869102882e+04 
       8.319331839921e-03       2.020911109712e+04 
       1.047341826243e-02       2.229114508245e+04 
       1.318525239892e-02       2.374199690061e+04 
       1.659924930589e-02       2.416007530304e+04 
       2.089721660966e-02       2.317122287407e+04 
       2.630791517064e-02       2.064141166336e+04 
       3.310278266545e-02       1.698721596792e+04 
       4.112178767552e-02       1.342703929669e+04 
       4.790628827007e-02       1.139563312982e+04 
       5.282242665187e-02       1.038908315457e+04 
       5.687266276680e-02       9.755849549351e+03 
       6.048713924368e-02       9.279391499126e+03 
       6.385726918410e-02       8.869523748349e+03 
       6.708422356736e-02       8.483090612589e+03 
       7.022860457005e-02       8.096534217836e+03 
       7.333018959056e-02       7.698002576004e+03 
       7.641699559410e-02       7.285388354618e+03 
       7.950991500338e-02       6.860137846984e+03 
       8.262529000559e-02       6.429063343850e+03 
       8.577643711185e-02       6.001246304794e+03 
       8.897459779263e-02       5.587434801421e+03 
       9.222955666815e-02       5.198012190457e+03 
       9.555005766204e-02       4.841799166376e+03 
       9.894409227589e-02       4.526033737099e+03 
       1.024191040344e-01       4.254501942369e+03 
       1.059821362664e-01       4.027409320189e+03 
       1.096399405347e-01       3.841834961991e+03 
       1.133990570783e-01       3.690979742626e+03 
       1.172658749375e-01       3.565249323906e+03 
       1.212466770795e-01       3.452840970453e+03 
       1.253476743179e-01       3.341160289284e+03 
       1.295750308144e-01       3.218904409716e+03 
       1.339348832875e-01       3.077661880607e+03 
       1.384333556058e-01       2.914705850648e+03 
       1.430765701509e-01       2.733120087916e+03 
       1.478706571398e-01       2.541659443434e+03 
       1.528217629711e-01       2.352470790518e+03 
       1.579360585777e-01       2.178104062361e+03 
       1.632197487220e-01       2.028574009803e+03 
       1.686790831324e-01       1.908417437187e+03 
       1.743203703668e-01       1.815923838750e+03 
       1.801499952696e-01       1.743369608881e+03 
       1.861744408844e-01       1.679706055250e+03 
       1.924003156767e-01       1.612229512468e+03 
       1.988343869261e-01       1.531488297034e+03 
       2.054836211606e-01       1.435939862425e+03 
       2.123552325365e-01       1.332139825931e+03 
       2.194567401281e-01       1.231073584197e+03 
       2.267960351861e-01       1.142496471691e+03 
       2.343814595738e-01       1.071366562557e+03 
       2.422218968055e-01       1.016473118082e+03 
       2.503268774194e-01       9.700482823599e+02 
       2.587067008331e-01       9.225084485915e+02 
       2.673725763982e-01       8.683169189039e+02 
       2.763367871231e-01       8.081539283874e+02 
       2.856128805309e-01       7.484847492306e+02 
       2.952158924385e-01       6.965597695104e+02 
       3.051626111909e-01       6.544844693106e+02 
       3.154718922124e-01       6.186322092402e+02 
       3.261650358600e-01       5.832634453792e+02 
       3.372662458022e-01       5.449704677285e+02 
       3.488031909594e-01       5.059110209969e+02 
       3.608077021238e-01       4.701307386167e+02 
       3.733166457798e-01       4.395588727207e+02 
       3.863730339830e-01       4.118664916544e+02 
       4.000274529746e-01       3.841002458460e+02 
       4.143399285751e-01       3.560714078141e+02 
       4.293823999897e-01       3.298947746369e+02 
       4.452420566722e-01       3.063121793809e+02 
       4.620259246691e-01       2.840338935345e+02 
       4.798673037780e-01       2.619372009337e+02 
       4.989350181030e-01       2.408506626463e+02 
       5.194470707474e-01       2.213000679461e+02 
       5.416914282045e-01       2.022958939295e+02 
       5.660588009166e-01       1.838737194248e+02 
       5.930965292408e-01       1.662713554604e+02 
       6.236015761018e-01       1.490058448550e+02 
       6.587904759211e-01       1.321160532463e+02 
       7.006315492442e-01       1.152963954969e+02 
       7.525461085357e-01       9.834259485122e+01 
       8.210079804976e-01       8.088105833193e+01 
       9.193237378170e-01       6.257711060796e+01 
       1.074684017740e+00       4.371036243556e+01 
       1.322179872172e+00       2.693894112250e+01 
       1.661679345453e+00       1.564963435235e+01 
       2.091875609933e+00       8.974017859426e+00 
       2.633515156926e+00       5.103520381588e+00 
       3.315399153289e+00       2.880828297630e+00 
       4.173840244316e+00       1.615226968305e+00 
       5.254553548339e+00       9.000542232893e-01 
