# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982969807e+01 
       1.318525239892e-05       5.930165257381e+01 
       1.659924930592e-05       7.408252044812e+01 
       2.089721676792e-05       9.254735592900e+01 
       2.630803722491e-05       1.156142178157e+02 
       3.311985659687e-05       1.444298132019e+02 
       4.169542910477e-05       1.804263183130e+02 
       5.249143525566e-05       2.253921940937e+02 
       6.608280174490e-05       2.815602976219e+02 
       8.319331839921e-05       3.517173491738e+02 
       1.047341826243e-04       4.393393465679e+02 
       1.318525239892e-04       5.487582485854e+02 
       1.659924930592e-04       6.853653780739e+02 
       2.089721676792e-04       8.558563019849e+02 
       2.630803722491e-04       1.068519602437e+03 
       3.311985659687e-04       1.333566798507e+03 
       4.169542910477e-04       1.663491832857e+03 
       5.249143525566e-04       2.073436564913e+03 
       6.608280174490e-04       2.581525060614e+03 
       8.319331839921e-04       3.209106880075e+03 
       1.047341826243e-03       3.980776308584e+03 
       1.318525239892e-03       4.923871751238e+03 
       1.659924930592e-03       6.066915877621e+03 
       2.089721676792e-03       7.437368683453e+03 
       2.630803722491e-03       9.056902887565e+03 
       3.311985659687e-03       1.093482534040e+04 
       4.169542910477e-03       1.305855948985e+04 
       5.249143525566e-03       1.538088026500e+04 
       6.608280174490e-03       1.780499703434e+04 
       8.319331839921e-03       2.016742865547e+04 
       1.047341826243e-02       2.222056860692e+04 
       1.318525239892e-02       2.362867487242e+04 
       1.659924930589e-02       2.399082927295e+04 
       2.089721660966e-02       2.294231716681e+04 
       2.630791517064e-02       2.036913654327e+04 
       3.310278266545e-02       1.670978677511e+04 
       4.112178767552e-02       1.318122658392e+04 
       4.790628827007e-02       1.118223867415e+04 
       5.282242665187e-02       1.019711717447e+04 
       5.687266276680e-02       9.579982515279e+03 
       6.048713924368e-02       9.117185201606e+03 
       6.385726918410e-02       8.719824538179e+03 
       6.708422356736e-02       8.345147833402e+03 
       7.022860457005e-02       7.969925681988e+03 
       7.333018959056e-02       7.582871269463e+03 
       7.641699559410e-02       7.181903487342e+03 
       7.950991500338e-02       6.766775083802e+03 
       8.262529000559e-02       6.345901038527e+03 
       8.577643711185e-02       5.927754078057e+03 
       8.897459779263e-02       5.522657399459e+03 
       9.222955666815e-02       5.141136398828e+03 
       9.555005766204e-02       4.791990742181e+03 
       9.894409227589e-02       4.482501872740e+03 
       1.024191040344e-01       4.216311445563e+03 
       1.059821362664e-01       3.993798941039e+03 
       1.096399405347e-01       3.812149213745e+03 
       1.133990570783e-01       3.664762595795e+03 
       1.172658749375e-01       3.541957894813e+03 
       1.212466770795e-01       3.432302806374e+03 
       1.253476743179e-01       3.323128974988e+03 
       1.295750308144e-01       3.203311999470e+03 
       1.339348832875e-01       3.064351410544e+03 
       1.384333556058e-01       2.903587416929e+03 
       1.430765701509e-01       2.724043521858e+03 
       1.478706571398e-01       2.534426931282e+03 
       1.528217629711e-01       2.346854055065e+03 
       1.579360585777e-01       2.173864041123e+03 
       1.632197487220e-01       2.025483489565e+03 
       1.686790831324e-01       1.906285910768e+03 
       1.743203703668e-01       1.814599877867e+03 
       1.801499952696e-01       1.742749175579e+03 
       1.861744408844e-01       1.679705426954e+03 
       1.924003156767e-01       1.612775760420e+03 
       1.988343869261e-01       1.532502242281e+03 
       2.054836211606e-01       1.437332042007e+03 
       2.123552325365e-01       1.333821270472e+03 
       2.194567401281e-01       1.232969908215e+03 
       2.267960351861e-01       1.144567929794e+03 
       2.343814595738e-01       1.073568126282e+03 
       2.422218968055e-01       1.018799028248e+03 
       2.503268774194e-01       9.724850408135e+02 
       2.587067008331e-01       9.250263829332e+02 
       2.673725763982e-01       8.708615091279e+02 
       2.763367871231e-01       8.106767290397e+02 
       2.856128805309e-01       7.509564000119e+02 
       2.952158924385e-01       6.989776874629e+02 
       3.051626111909e-01       6.568624933530e+02 
       3.154718922124e-01       6.209739608174e+02 
       3.261650358600e-01       5.855678807858e+02 
       3.372662458022e-01       5.471941488998e+02 
       3.488031909594e-01       5.080319856936e+02 
       3.608077021238e-01       4.721575551110e+02 
       3.733166457798e-01       4.415055040050e+02 
       3.863730339830e-01       4.137357689537e+02 
       4.000274529746e-01       3.858825605837e+02 
       4.143399285751e-01       3.577646250987e+02 
       4.293823999897e-01       3.314980534187e+02 
       4.452420566722e-01       3.078194408025e+02 
       4.620259246691e-01       2.854597476245e+02 
       4.798673037780e-01       2.632688913968e+02 
       4.989350181030e-01       2.420936312938e+02 
       5.194470707474e-01       2.224583978238e+02 
       5.416914282045e-01       2.033688982967e+02 
       5.660588009166e-01       1.848612649014e+02 
       5.930965292408e-01       1.671756728898e+02 
       6.236015761018e-01       1.498258715295e+02 
       6.587904759211e-01       1.328515753680e+02 
       7.006315492442e-01       1.159456483489e+02 
       7.525461085357e-01       9.890279336173e+01 
       8.210079804976e-01       8.134729589482e+01 
       9.193237378170e-01       6.294237856213e+01 
       1.074684017740e+00       4.396886775452e+01 
       1.322179872172e+00       2.710018460356e+01 
       1.661679345453e+00       1.574410533360e+01 
       2.091875609933e+00       9.028485207149e+00 
       2.633515156926e+00       5.134600911271e+00 
       3.315399153289e+00       2.898407968338e+00 
       4.173840244316e+00       1.625095135478e+00 
       5.254553548339e+00       9.055576145603e-01 
