# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.649436402669e-10       7.614430485420e-15       2.361577315153e-13       0.000000000000e+00       8.517613500783e-11       8.779335556502e-12      -7.435826600248e-15 
   41       1.674011731639e-10       8.271803241676e-15       2.268712182200e-13       0.000000000000e+00       8.096641777584e-11       8.382602619067e-12      -6.838896989499e-15 
   42       1.698863871778e-10       8.964458642799e-15       2.161871322165e-13       0.000000000000e+00       7.703699462144e-11       8.013342341709e-12      -6.484723345298e-15 
   43       1.723990372679e-10       9.692939068966e-15       2.041516907428e-13       0.000000000000e+00       7.334547533375e-11       7.665227998826e-12      -6.492054365302e-15 
   44       1.749417894281e-10       1.045787750876e-14       1.907249734633e-13       0.000000000000e+00       6.988618185128e-11       7.337352210279e-12      -6.812860234549e-15 
   45       1.775159398169e-10       1.125991150815e-14       1.758378568759e-13       0.000000000000e+00       6.665559296739e-11       7.029580006961e-12      -7.335001814345e-15 
   46       1.801195997842e-10       1.209964965225e-14       1.594133993170e-13       0.000000000000e+00       6.363859158534e-11       6.740723020479e-12      -7.920495227063e-15 
   47       1.827474039515e-10       1.297767049378e-14       1.413662689828e-13       0.000000000000e+00       6.080756060709e-11       6.468456131848e-12      -8.403997126643e-15 
   48       1.853930364065e-10       1.389447065781e-14       1.216164184041e-13       0.000000000000e+00       5.813088565691e-11       6.210062250236e-12      -8.638408385548e-15 
   49       1.880583324959e-10       1.485029435786e-14       1.001360006447e-13       0.000000000000e+00       5.560340708619e-11       5.965109395174e-12      -8.650420753443e-15 
   50       1.907462411663e-10       1.584525398142e-14       7.691469548153e-14       0.000000000000e+00       5.322299865134e-11       5.733385044142e-12      -8.526214421649e-15 
   51       1.934580863659e-10       1.687937314348e-14       5.194676869482e-14       0.000000000000e+00       5.098149641418e-11       5.514093801004e-12      -8.369035212698e-15 
   52       1.961934189069e-10       1.795258302192e-14       2.523122694919e-14       0.000000000000e+00       4.886427457125e-11       5.305816296230e-12      -8.300083851677e-15 
   53       1.989511668423e-10       1.906479174270e-14      -3.232912987784e-15       0.000000000000e+00       4.685483851844e-11       5.106994978892e-12      -8.426963130249e-15 
   54       2.017337748786e-10       2.021612191753e-14      -3.346260127029e-14       0.000000000000e+00       4.495096702320e-11       4.917632753834e-12      -8.737447012309e-15 
   55       2.045438711999e-10       2.140672780045e-14      -6.547861639115e-14       0.000000000000e+00       4.315198162775e-11       4.737959505881e-12      -9.179944885551e-15 
   56       2.073829705392e-10       2.263672699642e-14      -9.930108797383e-14       0.000000000000e+00       4.145388375031e-11       4.567924861026e-12      -9.693092235938e-15 
   57       2.102513804844e-10       2.390619985961e-14      -1.349495467406e-13       0.000000000000e+00       3.984914088067e-11       4.407179178551e-12      -1.020527966297e-14 
   58       2.131481077863e-10       2.521518889168e-14      -1.724429744806e-13       0.000000000000e+00       3.832647277587e-11       4.255054543155e-12      -1.063418189496e-14 
   59       2.160716927887e-10       2.656361577701e-14      -2.117937781712e-13       0.000000000000e+00       3.687395651295e-11       4.110751817353e-12      -1.090686733004e-14 
   60       2.190231518014e-10       2.795101135598e-14      -2.529879647182e-13       0.000000000000e+00       3.548966928559e-11       3.973995695166e-12      -1.102664978820e-14 
   61       2.220035536590e-10       2.937672176857e-14      -2.960004423291e-13       0.000000000000e+00       3.417314370533e-11       3.844498448045e-12      -1.102095691870e-14 
   62       2.250130907171e-10       3.083998197944e-14      -3.408005387440e-13       0.000000000000e+00       3.292216702566e-11       3.721755462740e-12      -1.092233674219e-14 
   63       2.280510166209e-10       3.233991238430e-14      -3.873518452427e-13       0.000000000000e+00       3.173267984119e-11       3.605033218524e-12      -1.076868431092e-14 
   64       2.311155840738e-10       3.387551541619e-14      -4.356120606521e-13       0.000000000000e+00       3.059867478689e-11       3.493357264411e-12      -1.060346836893e-14 
   65       2.342050066357e-10       3.544578221982e-14      -4.855421273953e-13       0.000000000000e+00       2.951385415709e-11       3.385769927819e-12      -1.046588523528e-14 
   66       2.373207206466e-10       3.705004655555e-14      -5.371362388981e-13       0.000000000000e+00       2.847723832867e-11       3.282193881554e-12      -1.035838768044e-14 
   67       2.404647049191e-10       3.868770000108e-14      -5.903979271573e-13       0.000000000000e+00       2.748856752990e-11       3.182730513926e-12      -1.027266408489e-14 
   68       2.436384847072e-10       4.035808818815e-14      -6.453314334462e-13       0.000000000000e+00       2.654659660167e-11       3.087401941067e-12      -1.019905034497e-14 
   69       2.468430981195e-10       4.206051048763e-14      -7.019418122383e-13       0.000000000000e+00       2.564904289726e-11       2.996146529086e-12      -1.012647477708e-14 
   70       2.500790625324e-10       4.379421969474e-14      -7.602350351322e-13       0.000000000000e+00       2.479253418211e-11       2.908814416224e-12      -1.004240302188e-14 
   71       2.533463410025e-10       4.555842171417e-14      -8.202180947761e-13       0.000000000000e+00       2.397255653360e-11       2.825163035010e-12      -9.932782948528e-15 
   72       2.566447237747e-10       4.735223685419e-14      -8.818912452810e-13       0.000000000000e+00       2.318461547785e-11       2.744926803260e-12      -9.785904714617e-15 
   73       2.599751322207e-10       4.917457580735e-14      -9.452227681635e-13       0.000000000000e+00       2.242809320861e-11       2.668051634757e-12      -9.604961172305e-15 
   74       2.633385056594e-10       5.102423918450e-14      -1.010169527983e-12       0.000000000000e+00       2.170304105531e-11       2.594497560298e-12      -9.397810090011e-15 
   75       2.667353847399e-10       5.289995262542e-14      -1.076684332362e-12       0.000000000000e+00       2.100900786232e-11       2.524165810178e-12      -9.173306327286e-15 
   76       2.701658873312e-10       5.480036560753e-14      -1.144715856374e-12       0.000000000000e+00       2.034501558828e-11       2.456896029697e-12      -8.941336126144e-15 
   77       2.736296844124e-10       5.672405025449e-14      -1.214208566942e-12       0.000000000000e+00       1.970953490528e-11       2.392463494666e-12      -8.712851402387e-15 
   78       2.771259759626e-10       5.866950014488e-14      -1.285102647226e-12       0.000000000000e+00       1.910046079816e-11       2.330576326915e-12      -8.499904036939e-15 
   79       2.806534668513e-10       6.063512912083e-14      -1.357333921015e-12       0.000000000000e+00       1.851508816375e-11       2.270872709799e-12      -8.315680167172e-15 
   80       2.842109003280e-10       6.261932375953e-14      -1.430839571032e-12       0.000000000000e+00       1.795078373386e-11       2.213010512603e-12      -8.171394586418e-15 
