# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983028684e+01 
       1.318525239892e-05       5.930165373736e+01 
       1.659924930592e-05       7.408252275244e+01 
       2.089721676792e-05       9.254736049571e+01 
       2.630803722491e-05       1.156142268495e+02 
       3.311985659687e-05       1.444298310898e+02 
       4.169542910477e-05       1.804263537360e+02 
       5.249143525566e-05       2.253922642438e+02 
       6.608280174490e-05       2.815604364795e+02 
       8.319331839921e-05       3.517176240916e+02 
       1.047341826243e-04       4.393398908497e+02 
       1.318525239892e-04       5.487593260763e+02 
       1.659924930592e-04       6.853675108109e+02 
       2.089721676792e-04       8.558605230063e+02 
       2.630803722491e-04       1.068527954573e+03 
       3.311985659687e-04       1.333583318757e+03 
       4.169542910477e-04       1.663524492252e+03 
       5.249143525566e-04       2.073501079692e+03 
       6.608280174490e-04       2.581652354826e+03 
       8.319331839921e-04       3.209357644614e+03 
       1.047341826243e-03       3.981269224438e+03 
       1.318525239892e-03       4.924837742190e+03 
       1.659924930592e-03       6.068801417085e+03 
       2.089721676792e-03       7.441029417861e+03 
       2.630803722491e-03       9.063959989387e+03 
       3.311985659687e-03       1.094830449810e+04 
       4.169542910477e-03       1.308399771495e+04 
       5.249143525566e-03       1.542815290969e+04 
       6.608280174490e-03       1.789107266134e+04 
       8.319331839921e-03       2.032016805355e+04 
       1.047341826243e-02       2.248251272088e+04 
       1.318525239892e-02       2.405809360304e+04 
       1.659924930589e-02       2.465275237613e+04 
       2.089721660966e-02       2.388220594324e+04 
       2.630791517064e-02       2.156842421466e+04 
       3.310278266545e-02       1.806058854496e+04 
       4.112178767552e-02       1.454535749964e+04 
       4.790628827007e-02       1.250951288046e+04 
       5.282242665187e-02       1.149571576814e+04 
       5.687266276680e-02       1.085502913812e+04 
       6.048713924368e-02       1.036838685534e+04 
       6.385726918410e-02       9.942989079478e+03 
       6.708422356736e-02       9.535546905161e+03 
       7.022860457005e-02       9.120544099135e+03 
       7.333018959056e-02       8.687286053314e+03 
       7.641699559410e-02       8.233050202449e+03 
       7.950991500338e-02       7.760891006957e+03 
       8.262529000559e-02       7.279340456142e+03 
       8.577643711185e-02       6.799052371175e+03 
       8.897459779263e-02       6.332422977458e+03 
       9.222955666815e-02       5.891858920371e+03 
       9.555005766204e-02       5.487954705964e+03 
       9.894409227589e-02       5.128952499570e+03 
       1.024191040344e-01       4.819317812405e+03 
       1.059821362664e-01       4.559775370662e+03 
       1.096399405347e-01       4.346585356132e+03 
       1.133990570783e-01       4.172614151784e+03 
       1.172658749375e-01       4.026501349403e+03 
       1.212466770795e-01       3.895520997288e+03 
       1.253476743179e-01       3.765271634530e+03 
       1.295750308144e-01       3.623004594358e+03 
       1.339348832875e-01       3.459646975629e+03 
       1.384333556058e-01       3.272183225415e+03 
       1.430765701509e-01       3.063952292052e+03 
       1.478706571398e-01       2.845232782369e+03 
       1.528217629711e-01       2.629563148564e+03 
       1.579360585777e-01       2.431068401380e+03 
       1.632197487220e-01       2.260731595377e+03 
       1.686790831324e-01       2.123539625182e+03 
       1.743203703668e-01       2.017458742395e+03 
       1.801499952696e-01       1.933947607144e+03 
       1.861744408844e-01       1.860393232396e+03 
       1.924003156767e-01       1.783035159538e+03 
       1.988343869261e-01       1.691245485195e+03 
       2.054836211606e-01       1.583325646335e+03 
       2.123552325365e-01       1.466732938094e+03 
       2.194567401281e-01       1.353618196083e+03 
       2.267960351861e-01       1.254489964154e+03 
       2.343814595738e-01       1.174819720037e+03 
       2.422218968055e-01       1.113129630907e+03 
       2.503268774194e-01       1.060930267709e+03 
       2.587067008331e-01       1.007768355714e+03 
       2.673725763982e-01       9.474592545659e+02 
       2.763367871231e-01       8.808212321307e+02 
       2.856128805309e-01       8.149230522334e+02 
       2.952158924385e-01       7.576041317079e+02 
       3.051626111909e-01       7.111235607173e+02 
       3.154718922124e-01       6.715232550898e+02 
       3.261650358600e-01       6.325402236105e+02 
       3.372662458022e-01       5.904905112060e+02 
       3.488031909594e-01       5.476992215351e+02 
       3.608077021238e-01       5.085625904345e+02 
       3.733166457798e-01       4.751421374487e+02 
       3.863730339830e-01       4.448659341890e+02 
       4.000274529746e-01       4.145708663320e+02 
       4.143399285751e-01       3.840672508473e+02 
       4.293823999897e-01       3.556111348053e+02 
       4.452420566722e-01       3.299805580384e+02 
       4.620259246691e-01       3.057955657728e+02 
       4.798673037780e-01       2.818606795441e+02 
       4.989350181030e-01       2.590155988684e+02 
       5.194470707474e-01       2.378765554226e+02 
       5.416914282045e-01       2.173365120830e+02 
       5.660588009166e-01       1.974366818917e+02 
       5.930965292408e-01       1.784581985417e+02 
       6.236015761018e-01       1.598426109090e+02 
       6.587904759211e-01       1.416569101995e+02 
       7.006315492442e-01       1.235629477298e+02 
       7.525461085357e-01       1.053417153207e+02 
       8.210079804976e-01       8.659282133246e+01 
       9.193237378170e-01       6.695908322712e+01 
       1.074684017740e+00       4.674348676168e+01 
       1.322179872172e+00       2.879231014880e+01 
       1.661679345453e+00       1.671989089546e+01 
       2.091875609933e+00       9.584891847177e+00 
       2.633515156926e+00       5.450197643019e+00 
       3.315399153289e+00       3.076156246551e+00 
       4.173840244316e+00       1.724630709911e+00 
       5.254553548339e+00       9.610175172306e-01 
