# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983023657e+01 
       1.318525239892e-05       5.930165363800e+01 
       1.659924930592e-05       7.408252255566e+01 
       2.089721676792e-05       9.254736010574e+01 
       2.630803722491e-05       1.156142260781e+02 
       3.311985659687e-05       1.444298295623e+02 
       4.169542910477e-05       1.804263507111e+02 
       5.249143525566e-05       2.253922582534e+02 
       6.608280174490e-05       2.815604246219e+02 
       8.319331839921e-05       3.517176006152e+02 
       1.047341826243e-04       4.393398443709e+02 
       1.318525239892e-04       5.487592340641e+02 
       1.659924930592e-04       6.853673286852e+02 
       2.089721676792e-04       8.558601625479e+02 
       2.630803722491e-04       1.068527241325e+03 
       3.311985659687e-04       1.333581907948e+03 
       4.169542910477e-04       1.663521703092e+03 
       5.249143525566e-04       2.073495569759e+03 
       6.608280174490e-04       2.581641482308e+03 
       8.319331839921e-04       3.209336223494e+03 
       1.047341826243e-03       3.981227109584e+03 
       1.318525239892e-03       4.924755181823e+03 
       1.659924930592e-03       6.068640184764e+03 
       2.089721676792e-03       7.440716140947e+03 
       2.630803722491e-03       9.063355301982e+03 
       3.311985659687e-03       1.094714724619e+04 
       4.169542910477e-03       1.308180686550e+04 
       5.249143525566e-03       1.542406137966e+04 
       6.608280174490e-03       1.788356447068e+04 
       8.319331839921e-03       2.030667944700e+04 
       1.047341826243e-02       2.245893759107e+04 
       1.318525239892e-02       2.401830339965e+04 
       1.659924930589e-02       2.458866195810e+04 
       2.089721660966e-02       2.378483109322e+04 
       2.630791517064e-02       2.143160508435e+04 
       3.310278266545e-02       1.788431237342e+04 
       4.112178767552e-02       1.433510515779e+04 
       4.790628827007e-02       1.227393886417e+04 
       5.282242665187e-02       1.124073631684e+04 
       5.687266276680e-02       1.058355881849e+04 
       6.048713924368e-02       1.008250582839e+04 
       6.385726918410e-02       9.644922205921e+03 
       6.708422356736e-02       9.227850511384e+03 
       7.022860457005e-02       8.805469533935e+03 
       7.333018959056e-02       8.368327152440e+03 
       7.641699559410e-02       7.912719768269e+03 
       7.950991500338e-02       7.442029341643e+03 
       8.262529000559e-02       6.964589345406e+03 
       8.577643711185e-02       6.490702214085e+03 
       8.897459779263e-02       6.031598605435e+03 
       9.222955666815e-02       5.599139664760e+03 
       9.555005766204e-02       5.203507325050e+03 
       9.894409227589e-02       4.852103224356e+03 
       1.024191040344e-01       4.549097377752e+03 
       1.059821362664e-01       4.294267526890e+03 
       1.096399405347e-01       4.084448278316e+03 
       1.133990570783e-01       3.912072075397e+03 
       1.172658749375e-01       3.766679891698e+03 
       1.212466770795e-01       3.636109439785e+03 
       1.253476743179e-01       3.506662731618e+03 
       1.295750308144e-01       3.366837062019e+03 
       1.339348832875e-01       3.207995577514e+03 
       1.384333556058e-01       3.027507046552e+03 
       1.430765701509e-01       2.828870176944e+03 
       1.478706571398e-01       2.621405595207e+03 
       1.528217629711e-01       2.417698479966e+03 
       1.579360585777e-01       2.230655901130e+03 
       1.632197487220e-01       2.070195738996e+03 
       1.686790831324e-01       1.940751150149e+03 
       1.743203703668e-01       1.840366767852e+03 
       1.801499952696e-01       1.760825311378e+03 
       1.861744408844e-01       1.690868172869e+03 
       1.924003156767e-01       1.617642605396e+03 
       1.988343869261e-01       1.531721189472e+03 
       2.054836211606e-01       1.431683570447e+03 
       2.123552325365e-01       1.324140350014e+03 
       2.194567401281e-01       1.220060676924e+03 
       2.267960351861e-01       1.129079548255e+03 
       2.343814595738e-01       1.055832992005e+03 
       2.422218968055e-01       9.991149013627e+02 
       2.503268774194e-01       9.510356418700e+02 
       2.587067008331e-01       9.021500741115e+02 
       2.673725763982e-01       8.471339350392e+02 
       2.763367871231e-01       7.866291473660e+02 
       2.856128805309e-01       7.269468535617e+02 
       2.952158924385e-01       6.751128980371e+02 
       3.051626111909e-01       6.330365281231e+02 
       3.154718922124e-01       5.972729275914e+02 
       3.261650358600e-01       5.619941226063e+02 
       3.372662458022e-01       5.242065735834e+02 
       3.488031909594e-01       4.858038451565e+02 
       3.608077021238e-01       4.507620303776e+02 
       3.733166457798e-01       4.207931752258e+02 
       3.863730339830e-01       3.937256072408e+02 
       4.000274529746e-01       3.666275869990e+02 
       4.143399285751e-01       3.394273773913e+02 
       4.293823999897e-01       3.140708049266e+02 
       4.452420566722e-01       2.912980107582e+02 
       4.620259246691e-01       2.697641331885e+02 
       4.798673037780e-01       2.484957262089e+02 
       4.989350181030e-01       2.282436718804e+02 
       5.194470707474e-01       2.095113726736e+02 
       5.416914282045e-01       1.913146083118e+02 
       5.660588009166e-01       1.737217521264e+02 
       5.930965292408e-01       1.569517859631e+02 
       6.236015761018e-01       1.405206033804e+02 
       6.587904759211e-01       1.244765617383e+02 
       7.006315492442e-01       1.085205787576e+02 
       7.525461085357e-01       9.247400542066e+01 
       8.210079804976e-01       7.597785674059e+01 
       9.193237378170e-01       5.871985565388e+01 
       1.074684017740e+00       4.096867561363e+01 
       1.322179872172e+00       2.522198134677e+01 
       1.661679345453e+00       1.464086950949e+01 
       2.091875609933e+00       8.391274531511e+00 
       2.633515156926e+00       4.770646451395e+00 
       3.315399153289e+00       2.692415638809e+00 
       4.173840244316e+00       1.509413635331e+00 
       5.254553548339e+00       8.409989601426e-01 
