# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983006354e+01 
       1.318525239892e-05       5.930165329605e+01 
       1.659924930592e-05       7.408252187846e+01 
       2.089721676792e-05       9.254735876366e+01 
       2.630803722491e-05       1.156142234232e+02 
       3.311985659687e-05       1.444298243053e+02 
       4.169542910477e-05       1.804263403008e+02 
       5.249143525566e-05       2.253922376375e+02 
       6.608280174490e-05       2.815603838139e+02 
       8.319331839921e-05       3.517175198214e+02 
       1.047341826243e-04       4.393396844155e+02 
       1.318525239892e-04       5.487589174070e+02 
       1.659924930592e-04       6.853667019076e+02 
       2.089721676792e-04       8.558589220541e+02 
       2.630803722491e-04       1.068524786751e+03 
       3.311985659687e-04       1.333577052858e+03 
       4.169542910477e-04       1.663512104835e+03 
       5.249143525566e-04       2.073476609291e+03 
       6.608280174490e-04       2.581604070610e+03 
       8.319331839921e-04       3.209262521543e+03 
       1.047341826243e-03       3.981082229732e+03 
       1.318525239892e-03       4.924471231267e+03 
       1.659924930592e-03       6.068085862622e+03 
       2.089721676792e-03       7.439639716796e+03 
       2.630803722491e-03       9.061279521150e+03 
       3.311985659687e-03       1.094318045976e+04 
       4.169542910477e-03       1.307431465084e+04 
       5.249143525566e-03       1.541012118426e+04 
       6.608280174490e-03       1.785813164045e+04 
       8.319331839921e-03       2.026140767902e+04 
       1.047341826243e-02       2.238095965846e+04 
       1.318525239892e-02       2.388964904489e+04 
       1.659924930589e-02       2.438850162906e+04 
       2.089721660966e-02       2.349725775546e+04 
       2.630791517064e-02       2.105974785476e+04 
       3.310278266545e-02       1.746259129998e+04 
       4.112178767552e-02       1.391203253630e+04 
       4.790628827007e-02       1.187207265629e+04 
       5.282242665187e-02       1.085901233262e+04 
       5.687266276680e-02       1.022095659881e+04 
       6.048713924368e-02       9.739239356519e+03 
       6.385726918410e-02       9.322373717067e+03 
       6.708422356736e-02       8.927265611950e+03 
       7.022860457005e-02       8.529371907996e+03 
       7.333018959056e-02       8.117272755062e+03 
       7.641699559410e-02       7.687968141356e+03 
       7.950991500338e-02       7.244131660365e+03 
       8.262529000559e-02       6.793194668361e+03 
       8.577643711185e-02       6.345056093175e+03 
       8.897459779263e-02       5.910089385080e+03 
       9.222955666815e-02       5.500382062752e+03 
       9.555005766204e-02       5.125555196746e+03 
       9.894409227589e-02       4.792916586486e+03 
       1.024191040344e-01       4.506886251747e+03 
       1.059821362664e-01       4.267405712426e+03 
       1.096399405347e-01       4.071779728398e+03 
       1.133990570783e-01       3.912699627229e+03 
       1.172658749375e-01       3.779845579978e+03 
       1.212466770795e-01       3.661308276440e+03 
       1.253476743179e-01       3.543274619873e+03 
       1.295750308144e-01       3.413964513112e+03 
       1.339348832875e-01       3.264541740846e+03 
       1.384333556058e-01       3.091912225420e+03 
       1.430765701509e-01       2.899435393483e+03 
       1.478706571398e-01       2.696471481458e+03 
       1.528217629711e-01       2.495921242315e+03 
       1.579360585777e-01       2.311071130524e+03 
       1.632197487220e-01       2.152433916344e+03 
       1.686790831324e-01       2.024953861021e+03 
       1.743203703668e-01       1.926835436566e+03 
       1.801499952696e-01       1.849862054626e+03 
       1.861744408844e-01       1.782259988242e+03 
       1.924003156767e-01       1.710707007358e+03 
       1.988343869261e-01       1.625044992849e+03 
       2.054836211606e-01       1.523590260729e+03 
       2.123552325365e-01       1.413442922938e+03 
       2.194567401281e-01       1.306207446190e+03 
       2.267960351861e-01       1.212190973631e+03 
       2.343814595738e-01       1.136712236501e+03 
       2.422218968055e-01       1.078395283911e+03 
       2.503268774194e-01       1.029101417734e+03 
       2.587067008331e-01       9.787161005050e+02 
       2.673725763982e-01       9.211951764085e+02 
       2.763367871231e-01       8.573610271691e+02 
       2.856128805309e-01       7.940568518885e+02 
       2.952158924385e-01       7.389629020884e+02 
       3.051626111909e-01       6.943074301414e+02 
       3.154718922124e-01       6.562582755254e+02 
       3.261650358600e-01       6.187038740235e+02 
       3.372662458022e-01       5.780951860317e+02 
       3.488031909594e-01       5.366433809494e+02 
       3.608077021238e-01       4.986869087940e+02 
       3.733166457798e-01       4.662696086992e+02 
       3.863730339830e-01       4.368723439693e+02 
       4.000274529746e-01       4.074057239673e+02 
       4.143399285751e-01       3.776786074338e+02 
       4.293823999897e-01       3.499154885664e+02 
       4.452420566722e-01       3.248921335651e+02 
       4.620259246691e-01       3.012573780201e+02 
       4.798673037780e-01       2.778320996904e+02 
       4.989350181030e-01       2.554505811704e+02 
       5.194470707474e-01       2.347242330144e+02 
       5.416914282045e-01       2.145580401750e+02 
       5.660588009166e-01       1.950129862218e+02 
       5.930965292408e-01       1.763515187283e+02 
       6.236015761018e-01       1.580297568100e+02 
       6.587904759211e-01       1.401155819524e+02 
       7.006315492442e-01       1.222758269296e+02 
       7.525461085357e-01       1.042945526403e+02 
       8.210079804976e-01       8.577530421170e+01 
       9.193237378170e-01       6.636288492719e+01 
       1.074684017740e+00       4.635408708844e+01 
       1.322179872172e+00       2.856789347383e+01 
       1.661679345453e+00       1.659600415119e+01 
       2.091875609933e+00       9.516248329926e+00 
       2.633515156926e+00       5.411991510923e+00 
       3.315399153289e+00       3.054924192112e+00 
       4.173840244316e+00       1.712835205413e+00 
       5.254553548339e+00       9.544269288307e-01 
