# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982693305e+01 
       1.318525239892e-05       5.930164710951e+01 
       1.659924930592e-05       7.408250962652e+01 
       2.089721676792e-05       9.254733448276e+01 
       2.630803722491e-05       1.156141753910e+02 
       3.311985659687e-05       1.444297291966e+02 
       4.169542910477e-05       1.804261519594e+02 
       5.249143525566e-05       2.253918646559e+02 
       6.608280174490e-05       2.815596455248e+02 
       8.319331839921e-05       3.517160581274e+02 
       1.047341826243e-04       4.393367905904e+02 
       1.318525239892e-04       5.487531887344e+02 
       1.659924930592e-04       6.853553631672e+02 
       2.089721676792e-04       8.558364819618e+02 
       2.630803722491e-04       1.068480387843e+03 
       3.311985659687e-04       1.333489243636e+03 
       4.169542910477e-04       1.663338544516e+03 
       5.249143525566e-04       2.073133862925e+03 
       6.608280174490e-04       2.580928114534e+03 
       8.319331839921e-04       3.207931904342e+03 
       1.047341826243e-03       3.978469775102e+03 
       1.318525239892e-03       4.919360948644e+03 
       1.659924930592e-03       6.058140391083e+03 
       2.089721676792e-03       7.420420236416e+03 
       2.630803722491e-03       9.024498197714e+03 
       3.311985659687e-03       1.087372765068e+04 
       4.169542910477e-03       1.294555900946e+04 
       5.249143525566e-03       1.517734496439e+04 
       6.608280174490e-03       1.745167595053e+04 
       8.319331839921e-03       1.958367372783e+04 
       1.047341826243e-02       2.131828388519e+04 
       1.318525239892e-02       2.235252899832e+04 
       1.659924930589e-02       2.238000002313e+04 
       2.089721660966e-02       2.117681980943e+04 
       2.630791517064e-02       1.873498934556e+04 
       3.310278266545e-02       1.545845215890e+04 
       4.112178767552e-02       1.236523290269e+04 
       4.790628827007e-02       1.063323107129e+04 
       5.282242665187e-02       9.790553450440e+03 
       5.687266276680e-02       9.267892065922e+03 
       6.048713924368e-02       8.876657978385e+03 
       6.385726918410e-02       8.536961609475e+03 
       6.708422356736e-02       8.211206985097e+03 
       7.022860457005e-02       7.878237697989e+03 
       7.333018959056e-02       7.527487767949e+03 
       7.641699559410e-02       7.157362430245e+03 
       7.950991500338e-02       6.768948804263e+03 
       8.262529000559e-02       6.370081749137e+03 
       8.577643711185e-02       5.969830262690e+03 
       8.897459779263e-02       5.579296364853e+03 
       9.222955666815e-02       5.209284442381e+03 
       9.555005766204e-02       4.869150814221e+03 
       9.894409227589e-02       4.566732460386e+03 
       1.024191040344e-01       4.306405646787e+03 
       1.059821362664e-01       4.088974791824e+03 
       1.096399405347e-01       3.912042896716e+03 
       1.133990570783e-01       3.768849445409e+03 
       1.172658749375e-01       3.650207638023e+03 
       1.212466770795e-01       3.544122339520e+03 
       1.253476743179e-01       3.437866609694e+03 
       1.295750308144e-01       3.319781441903e+03 
       1.339348832875e-01       3.181205156942e+03 
       1.384333556058e-01       3.019172378191e+03 
       1.430765701509e-01       2.836804276493e+03 
       1.478706571398e-01       2.643186266027e+03 
       1.528217629711e-01       2.450955424222e+03 
       1.579360585777e-01       2.273351915011e+03 
       1.632197487220e-01       2.120776587331e+03 
       1.686790831324e-01       1.998310182153e+03 
       1.743203703668e-01       1.904273772144e+03 
       1.801499952696e-01       1.830822818518e+03 
       1.861744408844e-01       1.766303483506e+03 
       1.924003156767e-01       1.697546666681e+03 
       1.988343869261e-01       1.614523965448e+03 
       2.054836211606e-01       1.515475528347e+03 
       2.123552325365e-01       1.407453385118e+03 
       2.194567401281e-01       1.302019398882e+03 
       2.267960351861e-01       1.209495312683e+03 
       2.343814595738e-01       1.135233596955e+03 
       2.422218968055e-01       1.077937903319e+03 
       2.503268774194e-01       1.029518356658e+03 
       2.587067008331e-01       9.798790551320e+02 
       2.673725763982e-01       9.229727370014e+02 
       2.763367871231e-01       8.596141628900e+02 
       2.856128805309e-01       7.966700044429e+02 
       2.952158924385e-01       7.418557799771e+02 
       3.051626111909e-01       6.974350372213e+02 
       3.154718922124e-01       6.595805292162e+02 
       3.261650358600e-01       6.221611076824e+02 
       3.372662458022e-01       5.816427139084e+02 
       3.488031909594e-01       5.401593694840e+02 
       3.608077021238e-01       5.021762075710e+02 
       3.733166457798e-01       4.697265971085e+02 
       3.863730339830e-01       4.402857314519e+02 
       4.000274529746e-01       4.107406580805e+02 
       4.143399285751e-01       3.809047001503e+02 
       4.293823999897e-01       3.530234582796e+02 
       4.452420566722e-01       3.278821840114e+02 
       4.620259246691e-01       3.041208292318e+02 
       4.798673037780e-01       2.805537617238e+02 
       4.989350181030e-01       2.580240308963e+02 
       5.194470707474e-01       2.371512198427e+02 
       5.416914282045e-01       2.168374090127e+02 
       5.660588009166e-01       1.971275036460e+02 
       5.930965292408e-01       1.783059278224e+02 
       6.236015761018e-01       1.598182037457e+02 
       6.587904759211e-01       1.417337646660e+02 
       7.006315492442e-01       1.237163779554e+02 
       7.525461085357e-01       1.055479194018e+02 
       8.210079804976e-01       8.682725793047e+01 
       9.193237378170e-01       6.719422081075e+01 
       1.074684017740e+00       4.694769316381e+01 
       1.322179872172e+00       2.894112704544e+01 
       1.661679345453e+00       1.681594919329e+01 
       2.091875609933e+00       9.643517769776e+00 
       2.633515156926e+00       5.484768366106e+00 
       3.315399153289e+00       3.096120262808e+00 
       4.173840244316e+00       1.735983595367e+00 
       5.254553548339e+00       9.673612134206e-01 
