# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982841093e+01 
       1.318525239892e-05       5.930165003013e+01 
       1.659924930592e-05       7.408251541057e+01 
       2.089721676792e-05       9.254734594560e+01 
       2.630803722491e-05       1.156141980666e+02 
       3.311985659687e-05       1.444297740967e+02 
       4.169542910477e-05       1.804262408739e+02 
       5.249143525566e-05       2.253920407373e+02 
       6.608280174490e-05       2.815599940641e+02 
       8.319331839921e-05       3.517167481770e+02 
       1.047341826243e-04       4.393381567264e+02 
       1.318525239892e-04       5.487558931424e+02 
       1.659924930592e-04       6.853607159241e+02 
       2.089721676792e-04       8.558470751979e+02 
       2.630803722491e-04       1.068501346455e+03 
       3.311985659687e-04       1.333530692107e+03 
       4.169542910477e-04       1.663420463433e+03 
       5.249143525566e-04       2.073295615711e+03 
       6.608280174490e-04       2.581247055637e+03 
       8.319331839921e-04       3.208559539861e+03 
       1.047341826243e-03       3.979701419163e+03 
       1.318525239892e-03       4.921768294006e+03 
       1.659924930592e-03       6.062819594303e+03 
       2.089721676792e-03       7.429444829889e+03 
       2.630803722491e-03       9.041715233546e+03 
       3.311985659687e-03       1.090607911865e+04 
       4.169542910477e-03       1.300507761968e+04 
       5.249143525566e-03       1.528368463223e+04 
       6.608280174490e-03       1.763404122665e+04 
       8.319331839921e-03       1.987977858811e+04 
       1.047341826243e-02       2.176490630866e+04 
       1.318525239892e-02       2.296482477667e+04 
       1.659924930589e-02       2.312733101991e+04 
       2.089721660966e-02       2.197439898121e+04 
       2.630791517064e-02       1.947493956623e+04 
       3.310278266545e-02       1.606132169733e+04 
       4.112178767552e-02       1.282523913513e+04 
       4.790628827007e-02       1.101196886114e+04 
       5.282242665187e-02       1.012925356442e+04 
       5.687266276680e-02       9.581546398728e+03 
       6.048713924368e-02       9.171594702604e+03 
       6.385726918410e-02       8.816703828856e+03 
       6.708422356736e-02       8.476840020488e+03 
       7.022860457005e-02       8.130111086656e+03 
       7.333018959056e-02       7.765904483709e+03 
       7.641699559410e-02       7.381047741855e+03 
       7.950991500338e-02       6.978749817704e+03 
       8.262529000559e-02       6.565921830229e+03 
       8.577643711185e-02       6.152011034927e+03 
       8.897459779263e-02       5.748271246985e+03 
       9.222955666815e-02       5.365809608541e+03 
       9.555005766204e-02       5.014702234594e+03 
       9.894409227589e-02       4.702417301651e+03 
       1.024191040344e-01       4.433541703699e+03 
       1.059821362664e-01       4.209280968201e+03 
       1.096399405347e-01       4.026387030340e+03 
       1.133990570783e-01       3.878625264745e+03 
       1.172658749375e-01       3.755861585682e+03 
       1.212466770795e-01       3.646363911481e+03 
       1.253476743179e-01       3.536543982674e+03 
       1.295750308144e-01       3.414689272178e+03 
       1.339348832875e-01       3.271873599671e+03 
       1.384333556058e-01       3.104926751150e+03 
       1.430765701509e-01       2.917151492801e+03 
       1.478706571398e-01       2.717758883504e+03 
       1.528217629711e-01       2.519946612959e+03 
       1.579360585777e-01       2.337160571053e+03 
       1.632197487220e-01       2.180138334288e+03 
       1.686790831324e-01       2.054205847497e+03 
       1.743203703668e-01       1.957376629507e+03 
       1.801499952696e-01       1.881738066599e+03 
       1.861744408844e-01       1.815314552140e+03 
       1.924003156767e-01       1.744575883413e+03 
       1.988343869261e-01       1.659160122172e+03 
       2.054836211606e-01       1.557298930890e+03 
       2.123552325365e-01       1.446193255642e+03 
       2.194567401281e-01       1.337850577804e+03 
       2.267960351861e-01       1.242713924953e+03 
       2.343814595738e-01       1.166383863009e+03 
       2.422218968055e-01       1.107484920809e+03 
       2.503268774194e-01       1.057699320023e+03 
       2.587067008331e-01       1.006655570888e+03 
       2.673725763982e-01       9.481794691379e+02 
       2.763367871231e-01       8.830822885759e+02 
       2.856128805309e-01       8.183953512428e+02 
       2.952158924385e-01       7.620657800785e+02 
       3.051626111909e-01       7.164227778615e+02 
       3.154718922124e-01       6.775221110576e+02 
       3.261650358600e-01       6.390870182336e+02 
       3.372662458022e-01       5.974091967358e+02 
       3.488031909594e-01       5.548187527649e+02 
       3.608077021238e-01       5.158000859654e+02 
       3.733166457798e-01       4.824366611447e+02 
       3.863730339830e-01       4.522177313428e+02 
       4.000274529746e-01       4.218859776386e+02 
       4.143399285751e-01       3.912143867419e+02 
       4.293823999897e-01       3.625766095877e+02 
       4.452420566722e-01       3.367592761170e+02 
       4.620259246691e-01       3.123417059710e+02 
       4.798673037780e-01       2.881354253618e+02 
       4.989350181030e-01       2.649934080156e+02 
       5.194470707474e-01       2.435572238928e+02 
       5.416914282045e-01       2.226907008618e+02 
       5.660588009166e-01       2.024465440351e+02 
       5.930965292408e-01       1.831075383349e+02 
       6.236015761018e-01       1.641276754447e+02 
       6.587904759211e-01       1.455545089349e+02 
       7.006315492442e-01       1.270505261555e+02 
       7.525461085357e-01       1.083915574258e+02 
       8.210079804976e-01       8.916670232913e+01 
       9.193237378170e-01       6.900410829095e+01 
       1.074684017740e+00       4.821136926878e+01 
       1.322179872172e+00       2.971987600334e+01 
       1.661679345453e+00       1.726840904168e+01 
       2.091875609933e+00       9.902918645284e+00 
       2.633515156926e+00       5.632415251651e+00 
       3.315399153289e+00       3.179360948576e+00 
       4.173840244316e+00       1.782656987524e+00 
       5.254553548339e+00       9.933518163128e-01 
